"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,3502830,-3393452,"BO",5780030,-5711831,0.988244076932081,16425120,-16200307,1.03295478227605
"2",1986-03-31,5780030,-5711831,"BO",5771700,-5749721,0.992003501711929,24966890,-23813427,1.18776096317839
"3",1986-06-30,5771700,-5749721,"BO",16255410,-16301347,0.988232929639448,25828100,-24142937,1.2881618933763
"4",1986-09-30,16255410,-16301347,"BO",16425120,-16200307,1.016655993297,29430070,-28589639,1.05452756959068
"5",1986-12-31,16425120,-16200307,"BO",24966890,-23813427,1.05653839971945,31966070,-29331418,1.14671667543373
"6",1987-03-31,24966890,-23813427,"BO",25828100,-24142937,1.0212962046935,34588740,-32011300,1.05703461664629
"7",1987-06-30,25828100,-24142937,"BO",29430070,-28589639,0.967294071186034,35508690,-33410161,1.01600450671943
"8",1987-09-30,29430070,-28589639,"BO",31966070,-29331418,1.06096557024839,40828000,-39177087,1.02753924812275
"9",1987-12-31,31966070,-29331418,"BO",34588740,-32011300,0.998210227281615,42086420,-40666279,0.962006245997709
"10",1988-03-31,34588740,-32011300,"BO",35508690,-33410161,0.986154135710061,44916690,-44328068,0.942500998879982
"11",1988-06-30,35508690,-33410161,"BO",40828000,-39177087,0.987394184353182,55527480,-55251977,0.948659722451039
"12",1988-09-30,40828000,-39177087,"BO",42086420,-40666279,0.994347702557069,61114000,-60515263,0.974229058489272
"13",1988-12-31,42086420,-40666279,"BO",44916690,-44328068,0.980242581811425,64722320,-63342623,0.999039024939636
"14",1989-03-31,44916690,-44328068,"BO",55527480,-55251977,0.993028894159387,71538230,-70708538,1.00536704730469
"15",1989-06-30,55527480,-55251977,"BO",61114000,-60515263,1.00582115377827,74499460,-73849397,1.00674548890027
"16",1989-09-30,61114000,-60515263,"BO",64722320,-63342623,1.01277874136859,79657150,-79176964,0.998060166246686
"17",1989-12-31,64722320,-63342623,"BO",71538230,-70708538,0.991502081507585,91326860,-86296398,1.0564065843128
"18",1990-03-31,71538230,-70708538,"BO",74499460,-73849397,0.997489048862405,96302540,-89934933,1.07741196560217
"19",1990-06-30,74499460,-73849397,"BO",79657150,-79176964,0.997719755284132,97897100,-95084714,1.02902468017889
