"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"DD",0,0,NA,0,0,NA
"2",1986-03-31,0,0,"DD",0,0,NA,0,0,NA
"3",1986-06-30,0,0,"DD",0,0,NA,0,0,NA
"4",1986-09-30,0,0,"DD",0,0,NA,0,0,NA
"5",1986-12-31,0,0,"DD",0,0,NA,0,0,NA
"6",1987-03-31,0,0,"DD",0,0,NA,0,0,NA
"7",1987-06-30,0,0,"DD",0,0,NA,0,0,NA
"8",1987-09-30,0,0,"DD",0,0,NA,0,0,NA
"9",1987-12-31,0,0,"DD",0,0,NA,0,0,NA
"10",1988-03-31,0,0,"DD",0,0,NA,0,0,NA
"11",1988-06-30,0,0,"DD",0,0,NA,0,0,NA
"12",1988-09-30,0,0,"DD",0,0,NA,0,0,NA
"13",1988-12-31,0,0,"DD",0,0,NA,0,0,NA
"14",1989-03-31,0,0,"DD",0,0,NA,0,0,NA
"15",1989-06-30,0,0,"DD",0,0,NA,0,0,NA
"16",1989-09-30,0,0,"DD",0,0,NA,0,0,NA
"17",1989-12-31,0,0,"DD",0,0,NA,2500000,-2500000,NA
"18",1990-03-31,0,0,"DD",0,0,NA,6180660,-4995000,Inf
"19",1990-06-30,0,0,"DD",0,0,NA,9876280,-7495000,Inf
"20",1990-09-30,0,0,"DD",2500000,-2500000,NA,13257080,-9995000,Inf
"21",1990-12-31,2500000,-2500000,"DD",6180660,-4995000,1.474264,18349150,-14995000,2.34166
"22",1991-03-31,6180660,-4995000,"DD",9876280,-7495000,1.19344536020425,23450400,-17995000,1.69082266295185
"23",1991-06-30,9876280,-7495000,"DD",13257080,-9995000,1.08918337673699,25805430,-18995000,1.44846338904932
"24",1991-09-30,13257080,-9995000,"DD",18349150,-14995000,1.00694496827356,29140010,-21016000,1.36674214834639
"25",1991-12-31,18349150,-14995000,"DD",23450400,-17995000,1.11451484128693,32251240,-22516000,1.34775943299826
"26",1992-03-31,23450400,-17995000,"DD",25805430,-18995000,1.05778280967489,35405590,-22516000,1.31701762016853
"27",1992-06-30,25805430,-18995000,"DD",29140010,-21016000,1.05090324013202,37130080,-22516000,1.30240340889495
"28",1992-09-30,29140010,-21016000,"DD",32251240,-22516000,1.05529270580209,37753480,-20346000,1.31858156534607
"29",1992-12-31,32251240,-22516000,"DD",35405590,-22516000,1.09780554174041,36428140,-16861000,1.3048533947842
"30",1993-03-31,35405590,-22516000,"DD",37130080,-22516000,1.04870671552148,30380120,-9101000,1.23695495541806
"31",1993-06-30,37130080,-22516000,"DD",37753480,-20346000,1.07523280316121,26852060,-5946000,1.16945775500618
"32",1993-09-30,37753480,-20346000,"DD",36428140,-16861000,1.05720426302423,30338600,-8136000,1.12701133776277
"33",1993-12-31,36428140,-16861000,"DD",30380120,-9101000,1.04699608599286,31980000,-9616000,1.07677745830558
"34",1994-03-31,30380120,-9101000,"DD",26852060,-5946000,0.987720259169483,28454600,-3001000,1.13740827883498
"35",1994-06-30,26852060,-5946000,"DD",30338600,-8136000,1.04828456364242,30147060,-2946000,1.23443266550127
"36",1994-09-30,30338600,-8136000,"DD",31980000,-9616000,1.00531995543631,26948770,-1071000,1.12113841772527
"37",1994-12-31,31980000,-9616000,"DD",28454600,-3001000,1.09661038148843,26167140,429000,1.13233708567855
"38",1995-03-31,28454600,-3001000,"DD",30147060,-2946000,1.06141221454528,26943560,1942,1.05243096019624
"39",1995-06-30,30147060,-2946000,"DD",26948770,-1071000,0.95610550415198,28107720,-896077,1.00035104583996
"40",1995-09-30,26948770,-1071000,"DD",26167140,429000,1.02665687524885,31048350,-2971888,1.08158784241359
"41",1995-12-31,26167140,429000,"DD",26943560,1942,1.01335117250108,37560010,-8190469,1.10598792989987
"42",1996-03-31,26943560,1942,"DD",28107720,-896077,1.00987772217183,39571770,-7911004,1.17500523316147
"43",1996-06-30,28107720,-896077,"DD",31048350,-2971888,1.03076802387387,39279240,-9204727,1.10185351213119
"44",1996-09-30,31048350,-2971888,"DD",37560010,-8190469,1.04164726950063,40650810,-10830651,1.05616069775044
"45",1996-12-31,37560010,-8190469,"DD",39571770,-7911004,1.06100171432329,46889660,-11450981,1.16158510074944
"46",1997-03-31,39571770,-7911004,"DD",39279240,-9204727,0.959914529979326,50609800,-16527447,1.06119481135163
"47",1997-06-30,39279240,-9204727,"DD",40650810,-10830651,0.993524467377678,49833460,-21381275,0.958697571541608
"48",1997-09-30,40650810,-10830651,"DD",46889660,-11450981,1.13821422008565,44928580,-18902415,0.906668674006742
"49",1997-12-31,46889660,-11450981,"DD",50609800,-16527447,0.971074091814699,61415150,-21473266,1.09603833766336
"50",1998-03-31,50609800,-16527447,"DD",49833460,-21381275,0.888753403491023,62714780,-27026934,1.03172296669815
"51",1998-06-30,49833460,-21381275,"DD",44928580,-18902415,0.951317448156319,67348820,-30217318,1.17416645362373
"52",1998-09-30,44928580,-18902415,"DD",61415150,-21473266,1.30972977556825,69063560,-33133020,1.22044709625811
