"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"FOF",0,-3e+06,-Inf,0,-6500000,-Inf
"2",1986-03-31,0,-3e+06,"FOF",0,-3e+06,NA,0,-6500000,-Inf
"3",1986-06-30,0,-3e+06,"FOF",0,-3e+06,NA,0,-6500000,-Inf
"4",1986-09-30,0,-3e+06,"FOF",0,-6500000,-Inf,0,-6500000,-Inf
"5",1986-12-31,0,-6500000,"FOF",0,-6500000,NA,0,-1e+07,-Inf
"6",1987-03-31,0,-6500000,"FOF",0,-6500000,NA,0,-1e+07,-Inf
"7",1987-06-30,0,-6500000,"FOF",0,-6500000,NA,0,-1e+07,-Inf
"8",1987-09-30,0,-6500000,"FOF",0,-1e+07,-Inf,0,-1e+07,-Inf
"9",1987-12-31,0,-1e+07,"FOF",0,-1e+07,NA,1111110,-11111111,-Inf
"10",1988-03-31,0,-1e+07,"FOF",0,-1e+07,NA,1111110,-11111111,-Inf
"11",1988-06-30,0,-1e+07,"FOF",0,-1e+07,NA,1111110,-11111111,-Inf
"12",1988-09-30,0,-1e+07,"FOF",1111110,-11111111,-Inf,1111110,-11111111,-Inf
"13",1988-12-31,1111110,-11111111,"FOF",1111110,-11111111,1,1111110,-10568513,1.48833868833869
"14",1989-03-31,1111110,-11111111,"FOF",1111110,-11111111,1,1111110,-10568513,1.48833868833869
"15",1989-06-30,1111110,-11111111,"FOF",1111110,-11111111,1,2222220,-11679624,1.48833778833779
"16",1989-09-30,1111110,-11111111,"FOF",1111110,-10568513,1.48833868833869,2222220,-11679624,1.48833778833779
"17",1989-12-31,1111110,-10568513,"FOF",1111110,-10568513,1,3333330,-12312591,1.43032823032823
"18",1990-03-31,1111110,-10568513,"FOF",2222220,-11679624,0.9999990999991,3279880,-12259147,1.43032283032283
"19",1990-06-30,2222220,-11679624,"FOF",2222220,-11679624,1,6376880,-14893453,1.42337437337437
"20",1990-09-30,2222220,-11679624,"FOF",3333330,-12312591,1.21516456516457,8970100,-17452667,1.43867708867709
"21",1990-12-31,3333330,-12312591,"FOF",3279880,-12259147,0.9999981999982,8845880,-16491007,1.4002406002406
"22",1991-03-31,3279880,-12259147,"FOF",6376880,-14893453,1.14107040501482,8684250,-16379382,1.39151889703282
"23",1991-06-30,6376880,-14893453,"FOF",8970100,-17452667,1.00533270188556,8469260,-15169416,1.28484415576269
"24",1991-09-30,8970100,-17452667,"FOF",8845880,-16491007,1.09335904839411,8815370,-15564519,1.19324399950948
"25",1991-12-31,8845880,-16491007,"FOF",8684250,-16379382,0.994347085875006,8972850,-14944978,1.18912748081593
"26",1992-03-31,8684250,-16379382,"FOF",8469260,-15169416,1.11457247315542,9358090,-15109864,1.22377960100181
"27",1992-06-30,8469260,-15169416,"FOF",8815370,-15564519,0.994215197077431,9725520,-14620798,1.21310929172088
"28",1992-09-30,8815370,-15564519,"FOF",8972850,-14944978,1.08814388959284,9827330,-14013605,1.29072789911257
"29",1992-12-31,8972850,-14944978,"FOF",9358090,-15109864,1.02455786065743,10224860,-13628834,1.28621385624411
"30",1993-03-31,9358090,-15109864,"FOF",9725520,-14620798,1.09152465941234,10605860,-13958834,1.2563343588275
"31",1993-06-30,9725520,-14620798,"FOF",9827330,-14013605,1.07290129473797,11439640,-13720612,1.26880886574702
"32",1993-09-30,9827330,-14013605,"FOF",10224860,-13628834,1.07960463320149,11787030,-14767996,1.12264867466545
"33",1993-12-31,10224860,-13628834,"FOF",10605860,-13958834,1.00498784335433,13295910,-14124884,1.25183718896885
"34",1994-03-31,10605860,-13958834,"FOF",11439640,-13720612,1.10107638607336,14596510,-14579481,1.31774914999821
"35",1994-06-30,11439640,-13720612,"FOF",11787030,-14767996,0.938809787720593,13471820,-11898791,1.33689880101122
"36",1994-09-30,11787030,-14767996,"FOF",13295910,-14124884,1.18257287883377,13413790,-10592288,1.49227566231697
"37",1994-12-31,13295910,-14124884,"FOF",14596510,-14579481,1.063628815177,22904560,-7424387,2.22662886556843
"38",1995-03-31,14596510,-14579481,"FOF",13471820,-11898791,1.10660082444365,21724890,-5983152,2.07729238016485
"39",1995-06-30,13471820,-11898791,"FOF",13413790,-10592288,1.0926729276371,23604620,-2307174,2.464124149521
"40",1995-09-30,13413790,-10592288,"FOF",22904560,-7424387,1.94370576846663,23100970,-133785,2.50186360454428
"41",1995-12-31,22904560,-7424387,"FOF",21724890,-5983152,1.01141977841967,16544710,3741615,1.20983384967884
"42",1996-03-31,21724890,-5983152,"FOF",23604620,-2307174,1.2557300865505,15422710,5370743,1.23253121189566
"43",1996-06-30,23604620,-2307174,"FOF",23100970,-133785,1.07073780471789,14037630,7003490,0.989140854629306
"44",1996-09-30,23100970,-133785,"FOF",16544710,3741615,0.883950327626935,13351630,9188552,0.981515797821477
"45",1996-12-31,16544710,3741615,"FOF",15422710,5370743,1.03065197274537,12042530,10916686,1.16155562714608
"46",1997-03-31,15422710,5370743,"FOF",14037630,7003490,1.01605859151861,11799990,11476686,1.16101080808755
"47",1997-06-30,14037630,7003490,"FOF",13351630,9188552,1.10678882403939,10914730,13021494,1.20623880241893
"48",1997-09-30,13351630,9188552,"FOF",12042530,10916686,1.03138448264369,10786550,13667420,1.14333740524565
"49",1997-12-31,12042530,10916686,"FOF",11799990,11476686,1.02636157020161,9774520,15258534,1.17220949418436
"50",1998-03-31,11799990,11476686,"FOF",10914730,13021494,1.05589394567284,9621700,15471401,1.15393445248682
"51",1998-06-30,10914730,13021494,"FOF",10786550,13667420,1.04743552978406,13692910,12585672,1.21460521698659
"52",1998-09-30,10786550,13667420,"FOF",9774520,15258534,1.05368574752817,15581420,11510421,1.24455187247081
"53",1998-12-31,9774520,15258534,"FOF",9621700,15471401,1.00614321726284,19685620,10765636,1.55431898446164
"54",1999-03-31,9621700,15471401,"FOF",13692910,12585672,1.12320910026295,23963820,8611157,1.77760437344752
"55",1999-06-30,13692910,12585672,"FOF",15581420,11510421,1.05939270761292,25562340,6596604,1.42944574966169
"56",1999-09-30,15581420,11510421,"FOF",19685620,10765636,1.21560390516397,26053000,5136308,1.26297134664235
"57",1999-12-31,19685620,10765636,"FOF",23963820,8611157,1.10788184471711,28851040,-4382822,0.696070634300571
"58",2000-03-31,23963820,8611157,"FOF",25562340,6596604,0.982639120140278,28457920,-9465778,0.433194081744897
"59",2000-06-30,25562340,6596604,"FOF",26053000,5136308,0.962067791915764,30055290,-13648930,0.383758137948247
"60",2000-09-30,26053000,5136308,"FOF",28851040,-4382822,0.742022415844624,31193840,-17048295,0.345804206809197
"61",2000-12-31,28851040,-4382822,"FOF",28457920,-9465778,0.810194849128489,31759330,-21317467,0.513835376471697
"62",2001-03-31,28457920,-9465778,"FOF",30055290,-13648930,0.909136648075474,32046820,-25815238,0.551598992477314
"63",2001-06-30,30055290,-13648930,"FOF",31193840,-17048295,0.924778133899224,32860190,-29850317,0.55427191020283
"64",2001-09-30,31193840,-17048295,"FOF",31759330,-21317467,0.881268801789071,35574500,-36728682,0.509527297697238
"65",2001-12-31,31759330,-21317467,"FOF",32046820,-25815238,0.867431680706111,44903460,-39404870,0.844352100626808
"66",2002-03-31,32046820,-25815238,"FOF",32860190,-29850317,0.899468683632261,52215120,-51655046,0.823024312552696
"67",2002-06-30,32860190,-29850317,"FOF",35574500,-36728682,0.873279643240042,58031830,-62141993,0.783323346578337
"68",2002-09-30,35574500,-36728682,"FOF",44903460,-39404870,1.18700957146271,58901440,-68202757,0.770983850792
"69",2002-12-31,44903460,-39404870,"FOF",52215120,-51655046,0.890019254640956,67566020,-75192248,0.707710318982101
"70",2003-03-31,52215120,-51655046,"FOF",58031830,-62141993,0.910557765643362,79766890,-81389762,0.958193220660989
"71",2003-06-30,58031830,-62141993,"FOF",58901440,-68202757,0.910546436326409,86833250,-84802430,1.10582094343742
"72",2003-09-30,58901440,-68202757,"FOF",67566020,-75192248,1.02843884631683,98550530,-98233059,1.16330310430441
"73",2003-12-31,67566020,-75192248,"FOF",79766890,-81389762,1.08885170385943,116005290,-106634482,1.25156189457363
"74",2004-03-31,79766890,-81389762,"FOF",86833250,-84802430,1.045804618934,126459320,-114059709,1.17579327713541
"75",2004-06-30,86833250,-84802430,"FOF",98550530,-98233059,0.980268514653085,142759240,-124361538,1.18848634595619
"76",2004-09-30,98550530,-98233059,"FOF",116005290,-106634482,1.09186492452146,163677110,-142353259,1.21315339450737
"77",2004-12-31,116005290,-106634482,"FOF",126459320,-114059709,1.02610918002101,187795660,-155361302,1.19881464026339
"78",2005-03-31,126459320,-114059709,"FOF",142759240,-124361538,1.0474309920376,213016300,-171601866,1.22943997326571
"79",2005-06-30,142759240,-124361538,"FOF",163677110,-142353259,1.02049709006576,234211520,-195445711,1.14267452670664
"80",2005-09-30,163677110,-142353259,"FOF",187795660,-155361302,1.06788064012127,266522960,-220059289,1.15359398757713
"81",2005-12-31,187795660,-155361302,"FOF",213016300,-171601866,1.04781833616389,307814810,-240503366,1.18571827485257
"82",2006-03-31,213016300,-171601866,"FOF",234211520,-195445711,0.987566092360068,330355710,-250635655,1.17982483500089
"83",2006-06-30,234211520,-195445711,"FOF",266522960,-220059289,1.03286713650977,380208400,-286606254,1.23413168148176
"84",2006-09-30,266522960,-220059289,"FOF",307814810,-240503366,1.07822130220976,421134910,-328334653,1.17385588843828
"85",2006-12-31,307814810,-240503366,"FOF",330355710,-250635655,1.04031193625804,465956040,-353290035,1.14734366094991
"86",2007-03-31,330355710,-250635655,"FOF",380208400,-286606254,1.04202164690902,513114700,-396980842,1.11022604392096
"87",2007-06-30,380208400,-286606254,"FOF",421134910,-328334653,0.997890922452003,560793580,-439646724,1.07244634784502
"88",2007-09-30,421134910,-328334653,"FOF",465956040,-353290035,1.0471719335735,581327250,-495439604,0.983585756402859
"89",2007-12-31,465956040,-353290035,"FOF",513114700,-396980842,1.00744244671665,571474810,-540782746,0.824073659394994
"90",2008-03-31,513114700,-396980842,"FOF",560793580,-439646724,1.00976974154122,567407710,-559715339,0.788660338516905
"91",2008-06-30,560793580,-439646724,"FOF",581327250,-495439604,0.937126223877242,587461830,-587451311,0.783991220084937
"92",2008-09-30,581327250,-495439604,"FOF",571474810,-540782746,0.90505247775672,632766060,-627980429,0.860488193182067
"93",2008-12-31,571474810,-540782746,"FOF",567407710,-559715339,0.959753793872384,690115960,-659296682,1.00022260648724
"94",2009-03-31,567407710,-559715339,"FOF",587461830,-587451311,0.986461495209503,766060510,-682999502,1.13282977244
"95",2009-06-30,587461830,-587451311,"FOF",632766060,-627980429,1.00812837831523,768089250,-713529378,1.09285599542697
"96",2009-09-30,632766060,-627980429,"FOF",690115960,-659296682,1.04114260963997,834025650,-752544170,1.12120727366446
"97",2009-12-31,690115960,-659296682,"FOF",766060510,-682999502,1.07569993019724,915097710,-787651779,1.14001509688314
"98",2010-03-31,766060510,-682999502,"FOF",768089250,-713529378,0.962795189638479,985011740,-809509367,1.12067110077244
"99",2010-06-30,768089250,-713529378,"FOF",834025650,-752544170,1.0350501038779,1058832820,-836992766,1.21778742769802
"100",2010-09-30,834025650,-752544170,"FOF",915097710,-787651779,1.05511155562182,1083192880,-862390982,1.16704572335395
"101",2010-12-31,915097710,-787651779,"FOF",985011740,-809509367,1.05251509371606,1117247130,-894213502,1.10445627385517
"102",2011-03-31,985011740,-809509367,"FOF",1058832820,-836992766,1.04704277027196,1188744940,-928970455,1.08555442395032
"103",2011-06-30,1058832820,-836992766,"FOF",1083192880,-862390982,0.999019527936431,1237457810,-949273242,1.06265815787614
