"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"2",1986-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"3",1986-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"4",1986-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"5",1986-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"6",1987-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"7",1987-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"8",1987-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"9",1987-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"10",1988-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"11",1988-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"12",1988-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"13",1988-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"14",1989-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"15",1989-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"16",1989-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"17",1989-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"18",1990-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"19",1990-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"20",1990-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"21",1990-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"22",1991-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"23",1991-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"24",1991-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"25",1991-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"26",1992-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"27",1992-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"28",1992-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"29",1992-12-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"30",1993-03-31,0,0,"Infrastructure",0,0,NA,0,0,NA
"31",1993-06-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"32",1993-09-30,0,0,"Infrastructure",0,0,NA,0,0,NA
"33",1993-12-31,0,0,"Infrastructure",0,0,NA,0,-1269338,-Inf
"34",1994-03-31,0,0,"Infrastructure",0,0,NA,0,-1269338,-Inf
"35",1994-06-30,0,0,"Infrastructure",0,0,NA,0,-1269338,-Inf
"36",1994-09-30,0,0,"Infrastructure",0,-1269338,-Inf,0,-4186700,-Inf
"37",1994-12-31,0,-1269338,"Infrastructure",0,-1269338,NA,0,-4186700,-Inf
"38",1995-03-31,0,-1269338,"Infrastructure",0,-1269338,NA,0,-4186700,-Inf
"39",1995-06-30,0,-1269338,"Infrastructure",0,-4186700,-Inf,0,-4186700,-Inf
"40",1995-09-30,0,-4186700,"Infrastructure",0,-4186700,NA,0,-5110803,-Inf
"41",1995-12-31,0,-4186700,"Infrastructure",0,-4186700,NA,0,-5110803,-Inf
"42",1996-03-31,0,-4186700,"Infrastructure",0,-4186700,NA,0,-5110803,-Inf
"43",1996-06-30,0,-4186700,"Infrastructure",0,-5110803,-Inf,0,-5110803,-Inf
"44",1996-09-30,0,-5110803,"Infrastructure",0,-5110803,NA,0,-6637892,-Inf
"45",1996-12-31,0,-5110803,"Infrastructure",0,-5110803,NA,0,-7852007,-Inf
"46",1997-03-31,0,-5110803,"Infrastructure",0,-5110803,NA,0,-7852007,-Inf
"47",1997-06-30,0,-5110803,"Infrastructure",0,-6637892,-Inf,0,-7852007,-Inf
"48",1997-09-30,0,-6637892,"Infrastructure",0,-7852007,-Inf,0,-10643924,-Inf
"49",1997-12-31,0,-7852007,"Infrastructure",0,-7852007,NA,0,-11471819,-Inf
"50",1998-03-31,0,-7852007,"Infrastructure",0,-7852007,NA,0,-11471819,-Inf
