"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"MEZZ",0,0,NA,0,-219850,-Inf
"2",1986-03-31,0,0,"MEZZ",0,0,NA,4223330,-4176333,Inf
"3",1986-06-30,0,0,"MEZZ",0,0,NA,4785830,-4752833,Inf
"4",1986-09-30,0,0,"MEZZ",0,-219850,-Inf,5650660,-5656333,-Inf
"5",1986-12-31,0,-219850,"MEZZ",4223330,-4176333,Inf,5762000,-5695833,Inf
"6",1987-03-31,4223330,-4176333,"MEZZ",4785830,-4752833,0.996685080256575,12275000,-8920499,1.78315073650413
"7",1987-06-30,4785830,-4752833,"MEZZ",5650660,-5656333,0.991919896862195,12001330,-8927999,1.63527831118113
"8",1987-09-30,5650660,-5656333,"MEZZ",5762000,-5695833,1.01271355912407,17001330,-13309499,1.65434904949156
"9",1987-12-31,5762000,-5695833,"MEZZ",12275000,-8920499,1.57069316209649,14774330,-13197999,1.26209024644221
"10",1988-03-31,12275000,-8920499,"MEZZ",12001330,-8927999,0.977094093686354,18317330,-16240665,0.895899307535642
"11",1988-06-30,12001330,-8927999,"MEZZ",17001330,-13309499,1.05153595476501,18535330,-19039165,0.701935868774544
"12",1988-09-30,17001330,-13309499,"MEZZ",14774330,-13197999,0.875568558459838,18135330,-18399832,0.767292735333059
"13",1988-12-31,14774330,-13197999,"MEZZ",18317330,-16240665,1.03386508897527,17011330,-16707832,0.913848343715079
"14",1989-03-31,18317330,-16240665,"MEZZ",18535330,-19039165,0.859122481278658,16727660,-16069999,0.9225321594359
"15",1989-06-30,18535330,-19039165,"MEZZ",18135330,-18399832,1.01291225999213,15445830,-14647332,1.07026219657271
"16",1989-09-30,18135330,-18399832,"MEZZ",17011330,-16707832,1.03132008074846,14998000,-14211999,1.05792577251145
"17",1989-12-31,17011330,-16707832,"MEZZ",16727660,-16069999,1.02081924223444,15156660,-15662999,0.952394257239146
"18",1990-03-31,16727660,-16069999,"MEZZ",15445830,-14647332,1.00841940833326,15147000,-15206666,0.95711731347959
"19",1990-06-30,15445830,-14647332,"MEZZ",14998000,-14211999,0.9991909143115,15427330,-14190499,1.02837872746236
