"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"2",1986-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"3",1986-06-30,0,0,"NatRes",0,0,NA,0,0,NA
"4",1986-09-30,0,0,"NatRes",0,0,NA,0,0,NA
"5",1986-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"6",1987-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"7",1987-06-30,0,0,"NatRes",0,0,NA,0,0,NA
"8",1987-09-30,0,0,"NatRes",0,0,NA,0,0,NA
"9",1987-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"10",1988-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"11",1988-06-30,0,0,"NatRes",0,0,NA,0,0,NA
"12",1988-09-30,0,0,"NatRes",0,0,NA,0,0,NA
"13",1988-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"14",1989-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"15",1989-06-30,0,0,"NatRes",0,0,NA,0,0,NA
"16",1989-09-30,0,0,"NatRes",0,0,NA,0,0,NA
"17",1989-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"18",1990-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"19",1990-06-30,0,0,"NatRes",0,0,NA,0,0,NA
"20",1990-09-30,0,0,"NatRes",0,0,NA,0,0,NA
"21",1990-12-31,0,0,"NatRes",0,0,NA,0,0,NA
"22",1991-03-31,0,0,"NatRes",0,0,NA,0,0,NA
"23",1991-06-30,0,0,"NatRes",0,0,NA,223720,-223723,-Inf
"24",1991-09-30,0,0,"NatRes",0,0,NA,704630,-714821,-Inf
"25",1991-12-31,0,0,"NatRes",0,0,NA,714820,-714821,-Inf
"26",1992-03-31,0,0,"NatRes",223720,-223723,-Inf,649280,-714821,-Inf
"27",1992-06-30,223720,-223723,"NatRes",704630,-714821,0.954460933309494,638200,-714821,0.657527266225639
"28",1992-09-30,704630,-714821,"NatRes",714820,-714821,1.0144614904276,633080,-747561,0.851993244681606
"29",1992-12-31,714820,-714821,"NatRes",649280,-714821,0.908312582188523,1549190,-6630934,-6.10912257631292
