"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,0,0,"RE",0,0,NA,0,0,NA
"2",1986-03-31,0,0,"RE",0,0,NA,0,0,NA
"3",1986-06-30,0,0,"RE",0,0,NA,0,0,NA
"4",1986-09-30,0,0,"RE",0,0,NA,0,0,NA
"5",1986-12-31,0,0,"RE",0,0,NA,0,0,NA
"6",1987-03-31,0,0,"RE",0,0,NA,0,0,NA
"7",1987-06-30,0,0,"RE",0,0,NA,0,0,NA
"8",1987-09-30,0,0,"RE",0,0,NA,0,0,NA
"9",1987-12-31,0,0,"RE",0,0,NA,0,0,NA
"10",1988-03-31,0,0,"RE",0,0,NA,0,0,NA
"11",1988-06-30,0,0,"RE",0,0,NA,0,0,NA
"12",1988-09-30,0,0,"RE",0,0,NA,0,0,NA
"13",1988-12-31,0,0,"RE",0,0,NA,0,0,NA
"14",1989-03-31,0,0,"RE",0,0,NA,0,0,NA
"15",1989-06-30,0,0,"RE",0,0,NA,0,0,NA
"16",1989-09-30,0,0,"RE",0,0,NA,0,0,NA
"17",1989-12-31,0,0,"RE",0,0,NA,0,0,NA
"18",1990-03-31,0,0,"RE",0,0,NA,0,0,NA
"19",1990-06-30,0,0,"RE",0,0,NA,0,0,NA
"20",1990-09-30,0,0,"RE",0,0,NA,0,0,NA
"21",1990-12-31,0,0,"RE",0,0,NA,0,0,NA
"22",1991-03-31,0,0,"RE",0,0,NA,2500000,-2500000,NA
"23",1991-06-30,0,0,"RE",0,0,NA,2530210,-2500000,Inf
"24",1991-09-30,0,0,"RE",0,0,NA,5039300,-4971980,Inf
"25",1991-12-31,0,0,"RE",2500000,-2500000,NA,5069330,-4938021,Inf
"26",1992-03-31,2500000,-2500000,"RE",2530210,-2500000,1.012084,10118640,-9909443,1.0836788
"27",1992-06-30,2530210,-2500000,"RE",5039300,-4971980,1.01466676679011,10213350,-9879710,1.11992285225337
"28",1992-09-30,5039300,-4971980,"RE",5069330,-4938021,1.01269799376898,10779810,-9717553,1.19743555652571
"29",1992-12-31,5069330,-4938021,"RE",10118640,-9909443,1.01536455507927,10692050,-9549287,1.19952419747777
"30",1993-03-31,10118640,-9909443,"RE",10213350,-9879710,1.01229839187875,10804450,-9439932,1.11417749816181
