"","Date","AggNAV.ad","AggNCF.ad","AMT","AggNAV.fd.q","AggNCF.fd.q","NAVret.q","AggNAV.fd.y","AggNCF.fd.y","NAVret.y"
"1",1985-12-31,9823320,-9809999,"VC",13063320,-13143332,0.990498833388305,33338140,-33729998,0.958753354263121
"2",1986-03-31,13063320,-13143332,"VC",27397480,-27623331,0.988835992687923,39518990,-39314998,1.02174056824758
"3",1986-06-30,27397480,-27623331,"VC",27241650,-27623331,0.99431225061575,40671000,-40570777,1.01190160554912
"4",1986-09-30,27241650,-27623331,"VC",33338140,-33729998,0.99962641763623,46336760,-45838656,1.03229558415147
"5",1986-12-31,33338140,-33729998,"VC",39518990,-39314998,1.01787292272454,60203630,-62266656,0.949872188430428
"6",1987-03-31,39518990,-39314998,"VC",40671000,-40570777,0.997374199087578,68214620,-67792323,1.00552405311978
"7",1987-06-30,40671000,-40570777,"VC",46336760,-45838656,1.00978291657446,69197350,-71216204,0.947897101128568
"8",1987-09-30,46336760,-45838656,"VC",60203630,-62266656,0.944727900699143,73551140,-74991074,0.958174934976032
"9",1987-12-31,60203630,-62266656,"VC",68214620,-67792323,1.04128194595575,85612790,-87460615,1.00357455189994
"10",1988-03-31,68214620,-67792323,"VC",69197350,-71216204,0.964213668565478,92823860,-91407070,1.01457888352966
"11",1988-06-30,69197350,-71216204,"VC",73551140,-74991074,1.00836621633632,97973170,-94904433,1.07352291670129
"12",1988-09-30,73551140,-74991074,"VC",85612790,-87460615,0.994454321170277,99143990,-98298742,1.03106929409932
"13",1988-12-31,85612790,-87460615,"VC",92823860,-91407070,1.03813232812527,108611380,-106106025,1.05084730914622
"14",1989-03-31,92823860,-91407070,"VC",97973170,-94904433,1.01779657730243,114593460,-115542860,0.97450881702183
"15",1989-06-30,97973170,-94904433,"VC",99143990,-98298742,0.977305123433283,122245080,-121674868,0.974497865078776
"16",1989-09-30,99143990,-98298742,"VC",108611380,-106106025,1.01674440377072,124502720,-135835079,0.877172514440865
"17",1989-12-31,108611380,-106106025,"VC",114593460,-115542860,0.968191592814676,132216110,-146325431,0.847026379740318
"18",1990-03-31,114593460,-115542860,"VC",122245080,-121674868,1.01326089638972,130425510,-144357336,0.886708840103091
"19",1990-06-30,122245080,-121674868,"VC",124502720,-135835079,0.902633537480609,135427840,-151590428,0.863120871612993
"20",1990-09-30,124502720,-135835079,"VC",132216110,-146325431,0.977695571630885,143942880,-161580161,0.949359162595002
"21",1990-12-31,132216110,-146325431,"VC",130425510,-144357336,1.00134246121747,149926560,-164333201,0.997751257392159
"22",1991-03-31,130425510,-144357336,"VC",135427840,-151590428,0.982896275429554,154103720,-166863138,1.00898910036848
"23",1991-06-30,135427840,-151590428,"VC",143942880,-161580161,0.98911085785611,161236390,-173152761,1.03135409233434
"24",1991-09-30,143942880,-161580161,"VC",149926560,-164333201,1.02244390274809,174554540,-192302175,0.999233348672751
"25",1991-12-31,149926560,-164333201,"VC",154103720,-166863138,1.01098686583618,187697860,-194185714,1.05281777291495
"26",1992-03-31,154103720,-166863138,"VC",161236390,-173152761,1.00547064665279,189233430,-196893960,1.03308737777388
"27",1992-06-30,161236390,-173152761,"VC",174554540,-192302175,0.963834069963983,200287950,-197376550,1.09196293094878
