"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF"
"1";1988-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";1989-12-31;1e+05;-141667;0;141667;-141667;1e+05;-41667;-Inf;0,70588069204543;0,70588069204543;0;0,70588069204543
"3";1990-12-31;1e+05;-343692;0;343692;-202025;0;-202025;-1,02025;0,290958183489869;0,290958183489869;0;0,290958183489869
"4";1991-12-31;364640;-820369;80;820449;-476677;264640;-212037;-1,12037;0,444537076649493;0,444439569065231;9,75075842617884e-05;0,444482909519984
"5";1992-12-31;2696080;-3300594;80;3300674;-2480225;2331440;-148785;0,591967419921018;0,816851346119005;0,816827108645083;2,42374739219929e-05;0,816846906950688
"6";1993-12-31;7615070;-8492644;80;8492724;-5192050;4918990;-273060;0,898719622563129;0,896667547420592;0,896658127592513;9,41982807871774e-06;0,896666574037485
"7";1994-12-31;7324700;-7609459;883265;8492724;883185;-290370;592815;1,07784761006793;0,966470239701655;0,862467684102297;0,104002555599358;0,962578285788779
"8";1995-12-31;7826370;-5996679;4715800;10712479;1612780;501670;2114450;1,28867393886439;1,17079996142816;0,730584396011418;0,440215565416744;1,3051173824712
"9";1996-12-31;6653290;-5199964;5400277;10600241;796715;-1173080;-376365;0,951910655897945;1,1371031092595;0,627654597664336;0,509448511595161;1,27948770414564
"10";1997-12-31;6582740;-5194485;5458682;10653167;5479;-70550;-65071;0,990219725879978;1,13031383061957;0,617913902973642;0,512399927645929;1,26725556046461
"11";1998-12-31;2947880;2639887;13303445;10663558;7834372;-3634860;4199512;1,63795805394106;1,52400587121109;0,276444316240414;1,24756155497068;-1,11666900893864
"12";1999-12-31;2980280;6242752;16906310;10663558;3602865;32400;3635265;2,23317943742622;1,86491131759212;0,279482701739888;1,58542861585223;-0,477398429410619
"13";2000-12-31;1062400;6242752;16906310;10663558;0;-1917880;-1917880;0,356476572671024;1,68505765148931;0,0996290356370735;1,58542861585223;-0,170181355914827
"14";2001-12-31;570790;6381979;17045537;10663558;139227;-491610;-352383;0,668314194277108;1,65201211453063;0,0535271623223693;1,59848495220826;-0,0894377747090675
"15";2002-12-31;447770;6499234;17318992;10819758;117255;-123020;-5765;0,989899963208886;1,64206648614507;0,0413844745880638;1,60068201155701;-0,0688958114140836
"16";2003-12-31;445970;6499201;17318959;10819758;-33;-1800;-1833;0,99590638050785;1,64189707385322;0,041218112272012;1,60067896158121;-0,068619204114475
"17";2004-12-31;42020;6893193;17543631;10650438;393992;-403950;-9958;0,97767114379891;1,65116692853383;0,00394537764550153;1,64722155088833;-0,00609586877953366
"18";2005-12-31;41560;6893193;17543631;10650438;0;-460;-460;0,989052831984769;1,65112373782186;0,00390218693353269;1,64722155088833;-0,00602913627980531
"19";2006-12-31;0;6890552;17540552;10650000;-2641;-41560;-44201;-0,0635466794995188;1,64700018779343;0;1,64700018779343;0
"20";2007-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"21";2008-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"22";2009-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"23";2010-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"24";2011-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"25";2012-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"26";2013-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"27";2014-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
"28";2015-12-31;0;6890552;17540552;10650000;0;0;0;NA;1,64700018779343;0;1,64700018779343;0
