"";"Date";"NAV";"NCF";"CD";"CC";"World";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return.NAV";"Return.World";"TVPI";"NAV2CC";"CD2CC";"NAV2Com";"Fuel.Level"
"1";1994-12-31;NA;NA;NA;NA;618,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";1995-12-31;29700;-29700;0;29700;734,28;NA;NA;NA;NA;1,187;1;1;0;0,003;1
"3";1996-12-31;209970;-247501;0;247501;820,36;-217801;180270;-37531;-0,2637;1,1172;0,8484;0,8484;0;0,021;0,9958
"4";1997-12-31;276340;-700426;0;700426;936,59;-452925;66370;-386555;-0,841;1,1417;0,3945;0,3945;0;0,0276;0,9523
"5";1998-12-31;3613890;-2383426;0;2383426;1149,95;-1683000;3337550;1654550;6,9874;1,2278;1,5163;1,5163;0;0,3614;1,1383
"6";1999-12-31;5969340;-5041601;0;5041601;1420,89;-2658175;2355450;-302725;0,9162;1,2356;1,184;1,184;0;0,5969;1,1042
"7";2000-12-31;1429490;-6900301;0;6900301;1221,25;-1858700;-4539850;-6398550;-0,0719;0,8595;0,2072;0,2072;0;0,1429;0,3853
"8";2001-12-31;6124740;-7224526;512325;7736851;1003,52;-324225;4695250;4371025;4,0578;0,8217;0,8579;0,7916;0,0662;0,6125;0,8189
"9";2002-12-31;4678240;-5153081;2864460;8017541;792,22;2071445;-1446500;624945;1,102;0,7894;0,9408;0,5835;0,3573;0,4678;0,6248
"10";2003-12-31;3262840;-2502905;6103661;8606566;1036,32;2650176;-1415400;1234776;1,2639;1,3081;1,0883;0,3791;0,7092;0,3263;0,3996
"11";2004-12-31;3090950;-2096295;6618429;8714724;1169,34;406610;-171890;234720;1,0719;1,1284;1,1141;0,3547;0,7595;0,3091;0,3681
"12";2005-12-31;2917960;-1423480;7409550;8833030;1257,78;672815;-172990;499825;1,1617;1,0756;1,1692;0,3303;0,8388;0,2918;0,3354
"13";2006-12-31;2953290;-1099372;7785014;8884386;1483,58;324108;35330;359438;1,1232;1,1795;1,2087;0,3324;0,8763;0,2953;0,3336
"14";2007-12-31;89460;2784284;11668670;8884386;1588,8;3883656;-2863830;1019826;1,3453;1,0709;1,3235;0,0101;1,3134;0,0089;0,0118
"15";2008-12-31;50820;2726459;11668670;8942211;920,23;-57825;-38640;-96465;-0,0783;0,5792;1,3106;0,0057;1,3049;0,0051;0,001
"16";2009-12-31;30000;2736468;11620854;8884386;1168,47;10009;-20820;-10811;0,7873;1,2698;1,3114;0,0034;1,308;0,003;0,0051
"17";2010-12-31;18950;2760568;11644954;8884386;1280,07;24100;-11050;13050;1,435;1,0955;1,3129;0,0021;1,3107;0,0019;0,0039
"18";2011-12-31;0;3203998;12104000;8900002;1182,6;443430;-18950;424480;23,4;0,9239;1,36;0;1,36;0;0
"19";2012-12-31;0;3203998;12104000;8900002;1338,5;0;0;0;NA;1,1318;1,36;0;1,36;0;0
"20";2013-12-31;0;3203998;12104000;8900002;1661,07;0;0;0;NA;1,241;1,36;0;1,36;0;0
