"";"Date";"NAV";"NCF";"CD";"CC";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";1993-12-31;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1
"2";1994-12-31;2e+05;-2e+05;0;2e+05;-2e+05;2e+05;0;NA;1;1;0;1;1
"3";1995-12-31;1607360;-1607269;11420;1618689;-1407269;1407360;91;1,0005;1,0001;0,993;0,0071;1,0001;0,9989
"4";1996-12-31;3926390;-4446337;51308;4497645;-2839068;2319030;-520038;0,6765;0,8844;0,873;0,0114;0,8831;0,9459
"5";1997-12-31;9143340;-6910116;51308;6961424;-2463779;5216950;2753171;1,7012;1,3208;1,3134;0,0074;1,3232;1,2068
"6";1998-12-31;10451050;-9161910;51360;9213270;-2251794;1307710;-944084;0,8967;1,1399;1,1343;0,0056;1,1407;1,1173
"7";1999-12-31;8318410;-7589696;2052737;9642433;1572214;-2132640;-560426;0,9464;1,0756;0,8627;0,2129;1,096;0,8745
"8";2000-12-31;7235030;-8260863;2074931;10335794;-671167;-1083380;-1754547;0,7891;0,9007;0,7;0,2008;0,8758;0,7061
"9";2001-12-31;5036620;-6533940;3801854;10335794;1726923;-2198410;-471487;0,9348;0,8551;0,4873;0,3678;0,7708;0,4977
"10";2002-12-31;3410980;-5334082;5121463;10455545;1199858;-1625640;-425782;0,9155;0,8161;0,3262;0,4898;0,6395;0,3323
"11";2003-12-31;1583710;-3128716;7422638;10551354;2205366;-1827270;378096;1,1108;0,8536;0,1501;0,7035;0,5062;0,15
"12";2004-12-31;1529430;-3055010;7496344;10551354;73706;-54280;19426;1,0123;0,8554;0,145;0,7105;0,5006;0,1448
"13";2005-12-31;43380;-3029921;7521433;10551354;25089;-1486050;-1460961;0,0448;0,717;0,0041;0,7128;0,0143;0,004
"14";2006-12-31;41860;-3029921;7521433;10551354;0;-1520;-1520;0,965;0,7168;0,004;0,7128;0,0138;0,0038
"15";2007-12-31;17230;-3005450;7545904;10551354;24471;-24630;-159;0,9962;0,7168;0,0016;0,7152;0,0057;0,0015
"16";2008-12-31;6030;-2988208;7563146;10551354;17242;-11200;6042;1,3507;0,7174;6e-04;0,7168;0,002;4e-04
"17";2009-12-31;6030;-2985652;7564348;10550000;2556;0;2556;1,4239;0,7176;6e-04;0,717;0,002;6e-04
"18";2010-12-31;0;-2985652;7564348;10550000;0;-6030;-6030;0;0,717;0;0,717;0;0
"19";2011-12-31;0;-2985652;7564348;10550000;0;0;0;NA;0,717;0;0,717;0;0
"20";2012-12-31;0;-2985652;7564348;10550000;0;0;0;NA;0,717;0;0,717;0;0
