"";"Date";"NAV";"NCF";"CD";"CC";"World";"delta.NCF";"delta.NAV";"delta.NAV.NCF";"Return.NAV";"Return.World";"TVPI";"NAV2CC";"CD2CC";"NAV2minus.NCF";"Fuel.Level"
"1";2001-12-31;NA;NA;NA;NA;1003,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2002-12-31;2963640;-5500000;0;5500000;792,22;NA;NA;NA;NA;0,7894;0,5388;0,5388;0;0,5388;0,7464
"3";2003-12-31;7868220;-8400000;0;8400000;1036,32;-2900000;4904580;2004580;1,6764;1,3081;0,9367;0,9367;0;0,9367;0,9468
"4";2004-12-31;3639740;-8098616;1901384;10000000;1169,34;301384;-4228480;-3927096;0,5009;1,1284;0,5541;0,364;0,1901;0,4494;0,364
"5";2005-12-31;3364160;-8098616;1901384;10000000;1257,78;0;-275580;-275580;0,9243;1,0756;0,5266;0,3364;0,1901;0,4154;0,3364
"6";2006-12-31;2511130;-316790;9683210;10000000;1483,58;7781826;-853030;6928796;3,0596;1,1795;1,2194;0,2511;0,9683;7,9268;0,2511
"7";2007-12-31;1506620;1465132;11465132;10000000;1588,8;1781922;-1004510;777412;1,3096;1,0709;1,2972;0,1507;1,1465;-1,0283;0,1507
"8";2008-12-31;0;1857333;11857333;10000000;920,23;392201;-1506620;-1114419;0,2603;0,5792;1,1857;0;1,1857;0;0
"9";2009-12-31;0;1857333;11857333;10000000;1168,47;0;0;0;NA;1,2698;1,1857;0;1,1857;0;0
"10";2010-12-31;0;1857333;11857333;10000000;1280,07;0;0;0;NA;1,0955;1,1857;0;1,1857;0;0
