Date,Value
2016-02-29,46.1
2016-01-31,45.3
2015-12-31,47.1
2015-11-30,52.2
2015-10-31,57.8
2015-09-30,58.1
2015-08-31,61.9
2015-07-31,65.8
2015-06-30,72.0
2015-05-31,73.1
2015-04-30,74.5
2015-03-31,66.7
2015-02-28,72.7
2015-01-31,62.1
2014-12-31,72.1
2014-11-30,80.8
2014-10-31,92.0
2014-09-30,98.0
2014-08-31,104.6
2014-07-31,107.7
2014-06-30,111.4
2014-05-31,109.9
2014-04-30,110.3
2014-03-31,110.7
2014-02-28,111.1
2014-01-31,109.2
2013-12-31,114.5
2013-11-30,113.6
2013-10-31,113.6
2013-09-30,111.1
2013-08-31,115.1
2013-07-31,110.0
2013-06-30,108.6
2013-05-31,110.5
2013-04-30,112.7
2013-03-31,117.6
2013-02-28,119.6
2013-01-31,123.6
2012-12-31,120.5
2012-11-30,118.0
2012-10-31,116.1
2012-09-30,119.8
2012-08-31,117.4
2012-07-31,114.6
2012-06-30,108.2
2012-05-31,113.9
2012-04-30,127.2
2012-03-31,130.7
2012-02-29,133.3
2012-01-31,126.7
2011-12-31,121.4
2011-11-30,122.5
2011-10-31,122.4
2011-09-30,121.1
2011-08-31,132.7
2011-07-31,134.0
2011-06-30,129.8
2011-05-31,132.6
2011-04-30,141.8
2011-03-31,133.9
2011-02-28,135.2
2011-01-31,124.4
2010-12-31,119.3
2010-11-30,109.2
2010-10-31,103.4
2010-09-30,100.1
2010-08-31,94.7
2010-07-31,95.3
2010-06-30,93.1
2010-05-31,94.5
2010-04-30,107.0
2010-03-31,99.1
2010-02-28,93.8
2010-01-31,90.5
2009-12-31,94.5
2009-11-30,94.7
2009-10-31,93.0
2009-09-30,81.6
2009-08-31,86.9
2009-07-31,84.9
2009-06-30,85.2
2009-05-31,78.3
2009-04-30,65.1
2009-03-31,61.2
2009-02-28,58.3
2009-01-31,57.2
2008-12-31,49.2
2008-11-30,61.5
2008-10-31,71.8
2008-09-30,106.8
2008-08-31,128.5
2008-07-31,141.2
2008-06-30,153.6
2008-05-31,138.5
2008-04-30,128.6
2008-03-31,120.6
2008-02-29,121.0
2008-01-31,109.0
2007-12-31,109.0
2007-11-30,104.7
2007-10-31,102.6
2007-09-30,99.0
2007-08-31,90.4
2007-07-31,93.0
2007-06-30,89.9
2007-05-31,88.6
2007-04-30,88.5
2007-03-31,86.6
2007-02-28,80.4
2007-01-31,75.5
2006-12-31,78.9
2006-11-30,80.5
2006-10-31,76.9
2006-09-30,78.6
2006-08-31,86.1
2006-07-31,87.6
2006-06-30,87.2
2006-05-31,86.2
2006-04-30,84.2
2006-03-31,77.4
2006-02-28,73.9
2006-01-31,78.0
2005-12-31,68.4
2005-11-30,65.9
2005-10-31,67.4
2005-09-30,70.8
2005-08-31,72.5
2005-07-31,68.8
2005-06-30,66.5
2005-05-31,62.1
2005-04-30,61.1
2005-03-31,63.0
2005-02-28,58.3
2005-01-31,53.6
2004-12-31,51.6
2004-11-30,52.9
2004-10-31,52.2
2004-09-30,54.2
2004-08-31,52.8
2004-07-31,52.8
2004-06-30,49.3
2004-05-31,52.4
2004-04-30,50.9
2004-03-31,50.2
2004-02-29,48.3
2004-01-31,45.6
2003-12-31,45.0
2003-11-30,44.1
2003-10-31,42.8
2003-09-30,40.6
2003-08-31,42.4
2003-07-31,41.0
2003-06-30,39.5
2003-05-31,39.2
2003-04-30,36.3
2003-03-31,38.0
2003-02-28,43.1
2003-01-31,42.9
2002-12-31,39.7
2002-11-30,37.3
2002-10-31,37.1
2002-09-30,39.0
2002-08-31,38.0
2002-07-31,37.2
2002-06-30,37.1
2002-05-31,35.8
2002-04-30,37.5
2002-03-31,36.9
2002-02-28,32.3
2002-01-31,30.8
2001-12-31,30.9
2001-11-30,29.5
2001-10-31,30.3
2001-09-30,32.8
2001-08-31,36.2
2001-07-31,35.8
2001-06-30,36.3
2001-05-31,39.8
2001-04-30,38.0
2001-03-31,35.3
2001-02-28,36.4
2001-01-31,37.6
2000-12-31,33.9
2000-11-30,41.2
2000-10-31,42.1
2000-09-30,41.0
2000-08-31,41.6
2000-07-31,37.8
2000-06-30,40.8
2000-05-31,40.1
2000-04-30,37.0
2000-03-31,38.4
2000-02-29,39.1
2000-01-31,39.0
1999-12-31,39.0
1999-11-30,38.2
1999-10-31,36.0
1999-09-30,37.1
1999-08-31,35.1
1999-07-31,33.5
1999-06-30,31.3
1999-05-31,29.5
1999-04-30,31.6
1999-03-31,29.5
1999-02-28,25.5
1999-01-31,26.0
1998-12-31,25.4
1998-11-30,27.1
1998-10-31,28.2
1998-09-30,29.3
1998-08-31,28.0
1998-07-31,28.9
1998-06-30,27.8
1998-05-31,29.1
1998-04-30,30.1
1998-03-31,29.9
1998-02-28,29.1
1998-01-31,32.2
1997-12-31,33.7
1997-11-30,36.3
1997-10-31,37.6
1997-09-30,37.8
1997-08-31,37.4
1997-07-31,38.3
1997-06-30,37.7
1997-05-31,40.6
1997-04-30,39.1
1997-03-31,39.4
1997-02-28,38.8
1997-01-31,40.9
1996-12-31,40.8
1996-11-30,40.8
1996-10-31,40.2
1996-09-30,39.7
1996-08-31,40.0
1996-07-31,37.4
1996-06-30,38.3
1996-05-31,38.8
1996-04-30,39.8
1996-03-31,38.8
1996-02-29,37.3
1996-01-31,36.8
1995-12-31,38.5
1995-11-30,37.4
1995-10-31,36.8
1995-09-30,36.6
1995-08-31,36.9
1995-07-31,36.4
1995-06-30,36.8
1995-05-31,37.5
1995-04-30,39.0
1995-03-31,38.1
1995-02-28,38.3
1995-01-31,38.9
1994-12-31,38.2
1994-11-30,37.9
1994-10-31,36.9
1994-09-30,35.8
1994-08-31,35.2
1994-07-31,36.9
1994-06-30,35.5
1994-05-31,35.0
1994-04-30,32.5
1994-03-31,30.9
1994-02-28,31.6
1994-01-31,32.0
1993-12-31,30.5
1993-11-30,30.1
1993-10-31,31.3
1993-09-30,31.5
1993-08-31,32.0
1993-07-31,32.0
1993-06-30,31.8
1993-05-31,32.5
1993-04-30,33.6
1993-03-31,34.0
1993-02-28,35.0
1993-01-31,33.5
1992-12-31,34.1
1992-11-30,34.0
1992-10-31,33.8
1992-09-30,35.0
1992-08-31,35.4
1992-07-31,35.6
1992-06-30,36.7
1992-05-31,35.9
1992-04-30,34.6
1992-03-31,33.9
1992-02-29,33.5
1992-01-31,33.1
1991-12-31,31.4
1991-11-30,34.1
1991-10-31,36.3
1991-09-30,36.0
1991-08-31,33.9
1991-07-31,33.6
1991-06-30,33.0
1991-05-31,33.6
1991-04-30,33.7
1991-03-31,32.3
1991-02-28,32.0
1991-01-31,33.7
1990-12-31,40.2
1990-11-30,43.6
1990-10-31,47.4
1990-09-30,51.8
1990-08-31,43.6
1990-07-31,37.0
1990-06-30,33.2
1990-05-31,33.7
1990-04-30,33.9
1990-03-31,35.3
1990-02-28,35.5
1990-01-31,35.1
