Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,8.91,8.91,8.91,8.91,0.0,8.91
2016-03-14,8.9,8.9,8.9,8.9,0.0,8.9
2016-03-11,8.88,8.88,8.88,8.88,0.0,8.88
2016-03-10,8.91,8.91,8.91,8.91,0.0,8.91
2016-03-09,8.92,8.92,8.92,8.92,0.0,8.92
2016-03-08,8.94,8.94,8.94,8.94,0.0,8.94
2016-03-07,8.91,8.91,8.91,8.91,0.0,8.91
2016-03-04,8.92,8.92,8.92,8.92,0.0,8.92
2016-03-03,8.93,8.93,8.93,8.93,0.0,8.93
2016-03-02,8.93,8.93,8.93,8.93,0.0,8.93
2016-03-01,8.93,8.93,8.93,8.93,0.0,8.93
2016-02-29,8.96,8.96,8.96,8.96,0.0,8.96
2016-02-26,8.95,8.95,8.95,8.95,0.0,8.95
2016-02-25,8.96,8.96,8.96,8.96,0.0,8.96
2016-02-24,8.94,8.94,8.94,8.94,0.0,8.94
2016-02-23,8.93,8.93,8.93,8.93,0.0,8.93
2016-02-22,8.92,8.92,8.92,8.92,0.0,8.905
2016-02-19,8.94,8.94,8.94,8.94,0.0,8.924966
2016-02-18,8.94,8.94,8.94,8.94,0.0,8.924966
2016-02-17,8.92,8.92,8.92,8.92,0.0,8.905
2016-02-16,8.93,8.93,8.93,8.93,0.0,8.914983
2016-02-12,8.93,8.93,8.93,8.93,0.0,8.914983
2016-02-11,8.98,8.98,8.98,8.98,0.0,8.964899
2016-02-10,8.95,8.95,8.95,8.95,0.0,8.934949
2016-02-09,8.94,8.94,8.94,8.94,0.0,8.924966
2016-02-08,8.93,8.93,8.93,8.93,0.0,8.914983
2016-02-05,8.9,8.9,8.9,8.9,0.0,8.885033
2016-02-04,8.9,8.9,8.9,8.9,0.0,8.885033
2016-02-03,8.91,8.91,8.91,8.91,0.0,8.895017
2016-02-02,8.9,8.9,8.9,8.9,0.0,8.885033
2016-02-01,8.88,8.88,8.88,8.88,0.0,8.865067
2016-01-29,8.88,8.88,8.88,8.88,0.0,8.865067
2016-01-28,8.86,8.86,8.86,8.86,0.0,8.8451
2016-01-27,8.85,8.85,8.85,8.85,0.0,8.835118
2016-01-26,8.85,8.85,8.85,8.85,0.0,8.835118
2016-01-25,8.84,8.84,8.84,8.84,0.0,8.825135
2016-01-22,8.82,8.82,8.82,8.82,0.0,8.805168
2016-01-21,8.82,8.82,8.82,8.82,0.0,8.790193
2016-01-20,8.84,8.84,8.84,8.84,0.0,8.810126
2016-01-19,8.85,8.85,8.85,8.85,0.0,8.820092
2016-01-15,8.85,8.85,8.85,8.85,0.0,8.820092
2016-01-14,8.86,8.86,8.86,8.86,0.0,8.830058
2016-01-13,8.88,8.88,8.88,8.88,0.0,8.84999
2016-01-12,8.87,8.87,8.87,8.87,0.0,8.840024
2016-01-11,8.86,8.86,8.86,8.86,0.0,8.830058
2016-01-08,8.87,8.87,8.87,8.87,0.0,8.840024
2016-01-07,8.85,8.85,8.85,8.85,0.0,8.820092
2016-01-06,8.85,8.85,8.85,8.85,0.0,8.820092
2016-01-05,8.82,8.82,8.82,8.82,0.0,8.790193
2016-01-04,8.82,8.82,8.82,8.82,0.0,8.790193
2015-12-31,8.82,8.82,8.82,8.82,0.0,8.790193
2015-12-30,8.8,8.8,8.8,8.8,0.0,8.770261
2015-12-29,8.79,8.79,8.79,8.79,0.0,8.760294
2015-12-28,8.82,8.82,8.82,8.82,0.0,8.790193
2015-12-24,8.81,8.81,8.81,8.81,0.0,8.780227
2015-12-23,8.79,8.79,8.79,8.79,0.0,8.760294
2015-12-22,8.79,8.79,8.79,8.79,0.0,8.760294
2015-12-21,8.8,8.8,8.8,8.8,0.0,8.770261
2015-12-18,8.8,8.8,8.8,8.8,0.0,8.770261
2015-12-17,8.8,8.8,8.8,8.8,0.0,8.770261
2015-12-16,8.77,8.77,8.77,8.77,0.0,8.740363
2015-12-15,8.77,8.77,8.77,8.77,0.0,8.740363
2015-12-14,8.78,8.78,8.78,8.78,0.0,8.750328
2015-12-11,8.82,8.82,8.82,8.82,0.0,8.790193
2015-12-10,8.81,8.81,8.81,8.81,0.0,8.780227
2015-12-09,8.83,8.83,8.83,8.83,0.0,8.800159
2015-12-08,8.84,8.84,8.84,8.84,0.0,8.810126
2015-12-07,8.88,8.88,8.88,8.88,0.0,8.835041
2015-12-04,8.87,8.87,8.87,8.87,0.0,8.825092
2015-12-03,8.85,8.85,8.85,8.85,0.0,8.805193
2015-12-02,8.91,8.91,8.91,8.91,0.0,8.864889
2015-12-01,8.92,8.92,8.92,8.92,0.0,8.874839
2015-11-30,8.9,8.9,8.9,8.9,0.0,8.854939
2015-11-27,8.89,8.89,8.89,8.89,0.0,8.844991
2015-11-25,8.89,8.89,8.89,8.89,0.0,8.844991
2015-11-24,8.87,8.87,8.87,8.87,0.0,8.825092
2015-11-23,8.88,8.88,8.88,8.88,0.0,8.835041
2015-11-20,8.88,8.88,8.88,8.88,0.0,8.835041
2015-11-19,8.9,8.9,8.9,8.9,0.0,8.840015
2015-11-18,8.88,8.88,8.88,8.88,0.0,8.820151
2015-11-17,8.88,8.88,8.88,8.88,0.0,8.820151
2015-11-16,8.86,8.86,8.86,8.86,0.0,8.800285
2015-11-13,8.86,8.86,8.86,8.86,0.0,8.800285
2015-11-12,8.84,8.84,8.84,8.84,0.0,8.78042
2015-11-11,8.85,8.85,8.85,8.85,0.0,8.790353
2015-11-10,8.85,8.85,8.85,8.85,0.0,8.790353
2015-11-09,8.85,8.85,8.85,8.85,0.0,8.790353
2015-11-06,8.86,8.86,8.86,8.86,0.0,8.800285
2015-11-05,8.9,8.9,8.9,8.9,0.0,8.840015
2015-11-04,8.91,8.91,8.91,8.91,0.0,8.849948
2015-11-03,8.89,8.89,8.89,8.89,0.0,8.830084
2015-11-02,8.89,8.89,8.89,8.89,0.0,8.830084
2015-10-30,8.9,8.9,8.9,8.9,0.0,8.840015
2015-10-29,8.9,8.9,8.9,8.9,0.0,8.840015
2015-10-28,8.94,8.94,8.94,8.94,0.0,8.879746
2015-10-27,8.93,8.93,8.93,8.93,0.0,8.869814
2015-10-26,8.93,8.93,8.93,8.93,0.0,8.869814
2015-10-23,8.91,8.91,8.91,8.91,0.0,8.849948
2015-10-22,8.94,8.94,8.94,8.94,0.0,8.861867
2015-10-21,8.94,8.94,8.94,8.94,0.0,8.861867
2015-10-20,8.93,8.93,8.93,8.93,0.0,8.851955
2015-10-19,8.93,8.93,8.93,8.93,0.0,8.851955
2015-10-16,8.93,8.93,8.93,8.93,0.0,8.851955
2015-10-15,8.92,8.92,8.92,8.92,0.0,8.842042
2015-10-14,8.95,8.95,8.95,8.95,0.0,8.87178
2015-10-13,8.92,8.92,8.92,8.92,0.0,8.842042
2015-10-12,8.9,8.9,8.9,8.9,0.0,8.822217
2015-10-09,8.9,8.9,8.9,8.9,0.0,8.822217
2015-10-08,8.87,8.87,8.87,8.87,0.0,8.792479
2015-10-07,8.9,8.9,8.9,8.9,0.0,8.822217
2015-10-06,8.88,8.88,8.88,8.88,0.0,8.802392
2015-10-05,8.86,8.86,8.86,8.86,0.0,8.782566
2015-10-02,8.89,8.89,8.89,8.89,0.0,8.812305
2015-10-01,8.88,8.88,8.88,8.88,0.0,8.802392
2015-09-30,8.87,8.87,8.87,8.87,0.0,8.792479
2015-09-29,8.9,8.9,8.9,8.9,0.0,8.822217
2015-09-28,8.89,8.89,8.89,8.89,0.0,8.812305
2015-09-25,8.87,8.87,8.87,8.87,0.0,8.792479
2015-09-24,8.86,8.86,8.86,8.86,0.0,8.782566
2015-09-23,8.85,8.85,8.85,8.85,0.0,8.772654
2015-09-22,8.88,8.88,8.88,8.88,0.0,8.78455
2015-09-21,8.87,8.87,8.87,8.87,0.0,8.774657
2015-09-18,8.89,8.89,8.89,8.89,0.0,8.794442
2015-09-17,8.85,8.85,8.85,8.85,0.0,8.754872
2015-09-16,8.84,8.84,8.84,8.84,0.0,8.74498
2015-09-15,8.84,8.84,8.84,8.84,0.0,8.74498
2015-09-14,8.87,8.87,8.87,8.87,0.0,8.774657
2015-09-11,8.87,8.87,8.87,8.87,0.0,8.774657
2015-09-10,8.86,8.86,8.86,8.86,0.0,8.764764
2015-09-09,8.87,8.87,8.87,8.87,0.0,8.774657
2015-09-08,8.85,8.85,8.85,8.85,0.0,8.754872
2015-09-04,8.86,8.86,8.86,8.86,0.0,8.764764
2015-09-03,8.84,8.84,8.84,8.84,0.0,8.74498
2015-09-02,8.84,8.84,8.84,8.84,0.0,8.74498
2015-09-01,8.86,8.86,8.86,8.86,0.0,8.764764
2015-08-31,8.85,8.85,8.85,8.85,0.0,8.754872
2015-08-28,8.85,8.85,8.85,8.85,0.0,8.754872
2015-08-27,8.84,8.84,8.84,8.84,0.0,8.74498
2015-08-26,8.81,8.81,8.81,8.81,0.0,8.715302
2015-08-25,8.83,8.83,8.83,8.83,0.0,8.735087
2015-08-24,8.85,8.85,8.85,8.85,0.0,8.754872
2015-08-21,8.87,8.87,8.87,8.87,0.0,8.75685
2015-08-20,8.87,8.87,8.87,8.87,0.0,8.75685
2015-08-19,8.87,8.87,8.87,8.87,0.0,8.75685
2015-08-18,8.87,8.87,8.87,8.87,0.0,8.75685
2015-08-17,8.89,8.89,8.89,8.89,0.0,8.776595
2015-08-14,8.9,8.9,8.9,8.9,0.0,8.786467
2015-08-13,8.89,8.89,8.89,8.89,0.0,8.776595
2015-08-12,8.9,8.9,8.9,8.9,0.0,8.786467
2015-08-11,8.91,8.91,8.91,8.91,0.0,8.79634
2015-08-10,8.89,8.89,8.89,8.89,0.0,8.776595
