DATE,VALUE
2016-03-11,4.47
2016-03-10,4.58
2016-03-09,4.61
2016-03-08,4.6
2016-03-07,4.6
2016-03-04,4.61
2016-03-03,4.71
2016-03-02,4.75
2016-03-01,4.82
2016-02-29,4.84
2016-02-26,4.9
2016-02-25,4.84
2016-02-24,4.61
2016-02-23,4.58
2016-02-22,4.62
2016-02-19,4.66
2016-02-18,4.66
2016-02-17,4.72
2016-02-16,4.8
2016-02-15,4.8
2016-02-12,4.85
2016-02-11,4.83
2016-02-10,4.77
2016-02-09,4.76
2016-02-08,4.68
2016-02-05,4.65
2016-02-04,4.66
2016-02-03,4.7
2016-02-02,4.71
2016-02-01,4.69
2016-01-31,4.68
2016-01-29,4.65
2016-01-28,4.71
2016-01-27,4.84
2016-01-26,4.9
2016-01-25,4.91
2016-01-22,4.92
2016-01-21,5.02
2016-01-20,4.98
2016-01-19,4.88
2016-01-18,4.92
2016-01-15,4.81
2016-01-14,4.74
2016-01-13,4.64
2016-01-12,4.61
2016-01-11,4.57
2016-01-08,4.52
2016-01-07,4.59
2016-01-06,4.52
2016-01-05,4.58
2016-01-04,4.61
2015-12-31,4.61
2015-12-30,4.61
2015-12-29,4.59
2015-12-28,4.62
2015-12-24,4.59
2015-12-23,4.61
2015-12-22,4.6
2015-12-21,4.57
2015-12-18,4.53
2015-12-17,4.46
2015-12-16,4.49
2015-12-15,4.52
2015-12-14,4.54
2015-12-11,4.47
2015-12-10,4.3
2015-12-09,4.18
2015-12-08,4.1
2015-12-07,3.98
2015-12-04,3.97
2015-12-03,3.95
2015-12-02,3.85
2015-12-01,3.75
2015-11-30,3.7
2015-11-27,3.6
2015-11-26,3.59
2015-11-25,3.55
2015-11-24,3.54
2015-11-23,3.51
2015-11-20,3.5
2015-11-19,3.57
2015-11-18,3.6
2015-11-17,3.64
2015-11-16,3.69
2015-11-13,3.68
2015-11-12,3.65
2015-11-11,3.64
2015-11-10,3.65
2015-11-09,3.62
2015-11-06,3.61
2015-11-05,3.57
2015-11-04,3.56
2015-11-03,3.63
2015-11-02,3.72
2015-10-31,3.73
2015-10-30,3.74
2015-10-29,3.77
2015-10-28,3.78
2015-10-27,3.83
2015-10-26,3.84
2015-10-23,3.93
2015-10-22,4.02
2015-10-21,4.09
2015-10-20,4.04
2015-10-19,3.98
2015-10-16,3.99
2015-10-15,4.03
2015-10-14,4.03
2015-10-13,3.98
2015-10-12,3.92
2015-10-09,3.96
2015-10-08,4.06
2015-10-07,4.02
2015-10-06,4.13
2015-10-05,4.23
2015-10-02,4.33
2015-10-01,4.35
2015-09-30,4.44
2015-09-29,4.47
2015-09-28,4.31
2015-09-25,4.24
2015-09-24,4.26
2015-09-23,4.07
2015-09-22,3.91
2015-09-21,3.79
2015-09-18,3.65
2015-09-17,3.68
2015-09-16,3.68
2015-09-15,3.71
2015-09-14,3.69
2015-09-11,3.7
2015-09-10,3.65
2015-09-09,3.56
2015-09-08,3.54
2015-09-07,3.51
2015-09-04,3.49
2015-09-03,3.49
2015-09-02,3.49
2015-09-01,3.47
2015-08-31,3.46
2015-08-28,3.41
2015-08-27,3.45
2015-08-26,3.52
2015-08-25,3.52
2015-08-24,3.49
2015-08-21,3.34
2015-08-20,3.3
2015-08-19,3.24
2015-08-18,3.21
2015-08-17,3.18
2015-08-14,3.18
2015-08-13,3.16
2015-08-12,3.17
2015-08-11,3.15
2015-08-10,3.22
2015-08-07,3.2
2015-08-06,3.18
2015-08-05,3.08
2015-08-04,3.05
2015-08-03,3.06
2015-07-31,3.06
2015-07-30,3.16
2015-07-29,3.17
2015-07-28,3.18
2015-07-27,3.16
2015-07-24,3.07
2015-07-23,3.04
2015-07-22,3.03
2015-07-21,3.02
2015-07-20,3.01
2015-07-17,3.04
2015-07-16,3.08
2015-07-15,3.11
2015-07-14,3.13
2015-07-13,3.15
2015-07-10,3.18
2015-07-09,3.18
2015-07-08,3.18
2015-07-07,3.13
2015-07-06,3.12
2015-07-03,3.1
2015-07-02,3.11
2015-07-01,3.13
2015-06-30,3.15
2015-06-29,3.12
2015-06-26,3.09
2015-06-25,3.08
2015-06-24,3.08
2015-06-23,3.11
2015-06-22,3.15
2015-06-19,3.16
2015-06-18,3.17
2015-06-17,3.17
2015-06-16,3.14
2015-06-15,3.1
2015-06-12,3.06
2015-06-11,3.06
2015-06-10,3.08
2015-06-09,3.05
2015-06-08,3.02
2015-06-05,2.99
2015-06-04,2.97
2015-06-03,2.91
2015-06-02,2.87
2015-06-01,2.83
2015-05-31,2.81
2015-05-29,2.76
2015-05-28,2.75
2015-05-27,2.73
2015-05-26,2.72
2015-05-22,2.72
2015-05-21,2.74
2015-05-20,2.75
2015-05-19,2.75
2015-05-18,2.79
2015-05-15,2.82
2015-05-14,2.86
2015-05-13,2.85
2015-05-12,2.91
2015-05-11,2.87
2015-05-08,2.9
2015-05-07,2.93
2015-05-06,2.89
2015-05-05,2.86
2015-05-04,2.85
2015-05-01,2.83
2015-04-30,2.83
2015-04-29,2.82
2015-04-28,2.78
2015-04-27,2.8
2015-04-24,2.82
2015-04-23,2.84
2015-04-22,2.89
2015-04-21,2.89
2015-04-20,2.85
2015-04-17,2.84
2015-04-16,2.81
2015-04-15,2.8
2015-04-14,2.8
2015-04-13,2.82
2015-04-10,2.83
2015-04-09,2.82
2015-04-08,2.87
2015-04-07,2.93
2015-04-06,2.95
2015-04-02,2.96
2015-04-01,2.98
2015-03-31,3.03
2015-03-30,3.06
2015-03-27,3.06
2015-03-26,3.06
2015-03-25,3.05
2015-03-24,3.1
2015-03-23,3.14
2015-03-20,3.15
2015-03-19,3.18
2015-03-18,3.2
2015-03-17,3.19
2015-03-16,3.12
2015-03-13,3.08
2015-03-12,3.03
2015-03-11,3.04
2015-03-10,3.05
2015-03-09,3.01
2015-03-06,2.99
2015-03-05,3.03
2015-03-04,3.08
2015-03-03,3.1
2015-03-02,3.17
2015-02-28,3.22
