Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,11.7,11.7,11.7,11.7,0.0,11.7
2016-03-14,11.69,11.69,11.69,11.69,0.0,11.69
2016-03-11,11.68,11.68,11.68,11.68,0.0,11.68
2016-03-10,11.7,11.7,11.7,11.7,0.0,11.7
2016-03-09,11.71,11.71,11.71,11.71,0.0,11.71
2016-03-08,11.73,11.73,11.73,11.73,0.0,11.73
2016-03-07,11.69,11.69,11.69,11.69,0.0,11.69
2016-03-04,11.7,11.7,11.7,11.7,0.0,11.7
2016-03-03,11.72,11.72,11.72,11.72,0.0,11.72
2016-03-02,11.7,11.7,11.7,11.7,0.0,11.7
2016-03-01,11.71,11.71,11.71,11.71,0.0,11.71
2016-02-29,11.75,11.75,11.75,11.75,0.0,11.75
2016-02-26,11.73,11.73,11.73,11.73,0.0,11.73
2016-02-25,11.77,11.77,11.77,11.77,0.0,11.77
2016-02-24,11.76,11.76,11.76,11.76,0.0,11.741
2016-02-23,11.76,11.76,11.76,11.76,0.0,11.741
2016-02-22,11.75,11.75,11.75,11.75,0.0,11.731016
2016-02-19,11.76,11.76,11.76,11.76,0.0,11.741
2016-02-18,11.75,11.75,11.75,11.75,0.0,11.731016
2016-02-17,11.72,11.72,11.72,11.72,0.0,11.701065
2016-02-16,11.74,11.74,11.74,11.74,0.0,11.721032
2016-02-12,11.76,11.76,11.76,11.76,0.0,11.741
2016-02-11,11.8,11.8,11.8,11.8,0.0,11.780936
2016-02-10,11.78,11.78,11.78,11.78,0.0,11.760967
2016-02-09,11.77,11.77,11.77,11.77,0.0,11.750984
2016-02-08,11.77,11.77,11.77,11.77,0.0,11.750984
2016-02-05,11.72,11.72,11.72,11.72,0.0,11.701065
2016-02-04,11.72,11.72,11.72,11.72,0.0,11.701065
2016-02-03,11.71,11.71,11.71,11.71,0.0,11.691081
2016-02-02,11.72,11.72,11.72,11.72,0.0,11.701065
2016-02-01,11.67,11.67,11.67,11.67,0.0,11.651146
2016-01-29,11.69,11.69,11.69,11.69,0.0,11.671113
2016-01-28,11.66,11.66,11.66,11.66,0.0,11.641161
2016-01-27,11.65,11.65,11.65,11.65,0.0,11.631177
2016-01-26,11.68,11.68,11.68,11.68,0.0,11.64216
2016-01-25,11.67,11.67,11.67,11.67,0.0,11.632192
2016-01-22,11.66,11.66,11.66,11.66,0.0,11.622224
2016-01-21,11.67,11.67,11.67,11.67,0.0,11.632192
2016-01-20,11.69,11.69,11.69,11.69,0.0,11.652127
2016-01-19,11.67,11.67,11.67,11.67,0.0,11.632192
2016-01-15,11.67,11.67,11.67,11.67,0.0,11.632192
2016-01-14,11.64,11.64,11.64,11.64,0.0,11.60229
2016-01-13,11.67,11.67,11.67,11.67,0.0,11.632192
2016-01-12,11.65,11.65,11.65,11.65,0.0,11.612257
2016-01-11,11.62,11.62,11.62,11.62,0.0,11.582354
2016-01-08,11.63,11.63,11.63,11.63,0.0,11.592322
2016-01-07,11.62,11.62,11.62,11.62,0.0,11.582354
2016-01-06,11.6,11.6,11.6,11.6,0.0,11.562419
2016-01-05,11.57,11.57,11.57,11.57,0.0,11.532516
2016-01-04,11.57,11.57,11.57,11.57,0.0,11.532516
2015-12-31,11.55,11.55,11.55,11.55,0.0,11.512581
2015-12-30,11.53,11.53,11.53,11.53,0.0,11.492645
2015-12-29,11.53,11.53,11.53,11.53,0.0,11.492645
2015-12-28,11.59,11.59,11.59,11.59,0.0,11.53152
2015-12-24,11.58,11.58,11.58,11.58,0.0,11.52157
2015-12-23,11.57,11.57,11.57,11.57,0.0,11.51162
2015-12-22,11.58,11.58,11.58,11.58,0.0,11.52157
2015-12-21,11.6,11.6,11.6,11.6,0.0,11.541469
2015-12-18,11.61,11.61,11.61,11.61,0.0,11.551418
2015-12-17,11.59,11.59,11.59,11.59,0.0,11.53152
2015-12-16,11.57,11.57,11.57,11.57,0.0,11.51162
2015-12-15,11.59,11.59,11.59,11.59,0.0,11.53152
2015-12-14,11.61,11.61,11.61,11.61,0.0,11.551418
2015-12-11,11.65,11.65,11.65,11.65,0.0,11.591216
2015-12-10,11.63,11.63,11.63,11.63,0.0,11.548434
2015-12-09,11.65,11.65,11.65,11.65,0.0,11.568293
2015-12-08,11.63,11.63,11.63,11.63,0.0,11.548434
2015-12-07,11.64,11.64,11.64,11.64,0.0,11.558364
2015-12-04,11.62,11.62,11.62,11.62,0.0,11.538504
2015-12-03,11.59,11.59,11.59,11.59,0.0,11.508714
2015-12-02,11.67,11.67,11.67,11.67,0.0,11.588153
2015-12-01,11.68,11.68,11.68,11.68,0.0,11.598083
2015-11-30,11.64,11.64,11.64,11.64,0.0,11.558364
2015-11-27,11.64,11.64,11.64,11.64,0.0,11.558364
2015-11-25,11.64,11.64,11.64,11.64,0.0,11.558364
2015-11-24,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-23,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-20,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-19,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-18,11.64,11.64,11.64,11.64,0.0,11.537529
2015-11-17,11.64,11.64,11.64,11.64,0.0,11.537529
2015-11-16,11.63,11.63,11.63,11.63,0.0,11.527617
2015-11-13,11.63,11.63,11.63,11.63,0.0,11.527617
2015-11-12,11.61,11.61,11.61,11.61,0.0,11.507793
2015-11-11,11.6,11.6,11.6,11.6,0.0,11.497881
2015-11-10,11.61,11.61,11.61,11.61,0.0,11.507793
2015-11-09,11.6,11.6,11.6,11.6,0.0,11.497881
2015-11-06,11.6,11.6,11.6,11.6,0.0,11.497881
2015-11-05,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-04,11.65,11.65,11.65,11.65,0.0,11.54744
2015-11-03,11.66,11.66,11.66,11.66,0.0,11.557353
2015-11-02,11.68,11.68,11.68,11.68,0.0,11.577177
2015-10-30,11.69,11.69,11.69,11.69,0.0,11.587088
2015-10-29,11.68,11.68,11.68,11.68,0.0,11.577177
2015-10-28,11.72,11.72,11.72,11.72,0.0,11.616825
2015-10-27,11.78,11.78,11.78,11.78,0.0,11.651516
2015-10-26,11.76,11.76,11.76,11.76,0.0,11.631735
2015-10-23,11.75,11.75,11.75,11.75,0.0,11.621844
2015-10-22,11.77,11.77,11.77,11.77,0.0,11.641626
2015-10-21,11.77,11.77,11.77,11.77,0.0,11.641626
2015-10-20,11.75,11.75,11.75,11.75,0.0,11.621844
2015-10-19,11.77,11.77,11.77,11.77,0.0,11.641626
2015-10-16,11.78,11.78,11.78,11.78,0.0,11.651516
2015-10-15,11.78,11.78,11.78,11.78,0.0,11.651516
2015-10-14,11.8,11.8,11.8,11.8,0.0,11.671298
2015-10-13,11.76,11.76,11.76,11.76,0.0,11.631735
2015-10-12,11.76,11.76,11.76,11.76,0.0,11.631735
2015-10-09,11.74,11.74,11.74,11.74,0.0,11.611952
2015-10-08,11.73,11.73,11.73,11.73,0.0,11.602061
2015-10-07,11.75,11.75,11.75,11.75,0.0,11.621844
2015-10-06,11.76,11.76,11.76,11.76,0.0,11.631735
2015-10-05,11.75,11.75,11.75,11.75,0.0,11.621844
2015-10-02,11.78,11.78,11.78,11.78,0.0,11.651516
2015-10-01,11.74,11.74,11.74,11.74,0.0,11.611952
2015-09-30,11.74,11.74,11.74,11.74,0.0,11.611952
2015-09-29,11.75,11.75,11.75,11.75,0.0,11.621844
2015-09-28,11.73,11.73,11.73,11.73,0.0,11.602061
2015-09-25,11.72,11.72,11.72,11.72,0.0,11.571401
2015-09-24,11.74,11.74,11.74,11.74,0.0,11.591146
2015-09-23,11.73,11.73,11.73,11.73,0.0,11.581273
2015-09-22,11.74,11.74,11.74,11.74,0.0,11.591146
2015-09-21,11.69,11.69,11.69,11.69,0.0,11.54178
2015-09-18,11.73,11.73,11.73,11.73,0.0,11.581273
2015-09-17,11.69,11.69,11.69,11.69,0.0,11.54178
2015-09-16,11.64,11.64,11.64,11.64,0.0,11.492415
2015-09-15,11.65,11.65,11.65,11.65,0.0,11.502287
2015-09-14,11.7,11.7,11.7,11.7,0.0,11.551654
2015-09-11,11.7,11.7,11.7,11.7,0.0,11.551654
2015-09-10,11.68,11.68,11.68,11.68,0.0,11.531908
2015-09-09,11.7,11.7,11.7,11.7,0.0,11.551654
2015-09-08,11.69,11.69,11.69,11.69,0.0,11.54178
