Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,15.3,15.3,15.3,15.3,0.0,15.3
2016-03-14,15.31,15.31,15.31,15.31,0.0,15.31
2016-03-11,15.3,15.3,15.3,15.3,0.0,15.3
2016-03-10,15.26,15.26,15.26,15.26,0.0,15.26
2016-03-09,15.19,15.19,15.19,15.19,0.0,15.19
2016-03-08,15.25,15.25,15.25,15.25,0.0,15.25
2016-03-07,15.21,15.21,15.21,15.21,0.0,15.21
2016-03-04,15.17,15.17,15.17,15.17,0.0,15.17
2016-03-03,15.13,15.13,15.13,15.13,0.0,15.13
2016-03-02,15.07,15.07,15.07,15.07,0.0,15.07
2016-03-01,15.05,15.05,15.05,15.05,0.0,15.05
2016-02-29,15.05,15.05,15.05,15.05,0.0,15.05
2016-02-26,15.0,15.0,15.0,15.0,0.0,15.0
2016-02-25,15.06,15.06,15.06,15.06,0.0,15.06
2016-02-24,15.05,15.05,15.05,15.05,0.0,15.05
2016-02-23,15.05,15.05,15.05,15.05,0.0,15.05
2016-02-22,15.04,15.04,15.04,15.04,0.0,15.04
2016-02-19,15.06,15.06,15.06,15.06,0.0,15.06
2016-02-18,15.03,15.03,15.03,15.03,0.0,15.03
2016-02-17,14.98,14.98,14.98,14.98,0.0,14.98
2016-02-16,14.95,14.95,14.95,14.95,0.0,14.95
2016-02-12,14.99,14.99,14.99,14.99,0.0,14.99
2016-02-11,15.08,15.08,15.08,15.08,0.0,15.08
2016-02-10,15.09,15.09,15.09,15.09,0.0,15.09
2016-02-09,15.04,15.04,15.04,15.04,0.0,15.04
2016-02-08,15.03,15.03,15.03,15.03,0.0,15.03
2016-02-05,15.01,15.01,15.01,15.01,0.0,15.01
2016-02-04,15.06,15.06,15.06,15.06,0.0,15.06
2016-02-03,15.0,15.0,15.0,15.0,0.0,15.0
2016-02-02,14.87,14.87,14.87,14.87,0.0,14.87
2016-02-01,14.86,14.86,14.86,14.86,0.0,14.86
2016-01-29,14.84,14.84,14.84,14.84,0.0,14.84
2016-01-28,14.86,14.86,14.86,14.86,0.0,14.86
2016-01-27,14.82,14.82,14.82,14.82,0.0,14.804
2016-01-26,14.81,14.81,14.81,14.81,0.0,14.794011
2016-01-25,14.79,14.79,14.79,14.79,0.0,14.774032
2016-01-22,14.76,14.76,14.76,14.76,0.0,14.744065
2016-01-21,14.78,14.78,14.78,14.78,0.0,14.764043
2016-01-20,14.79,14.79,14.79,14.79,0.0,14.774032
2016-01-19,14.82,14.82,14.82,14.82,0.0,14.804
2016-01-15,14.85,14.85,14.85,14.85,0.0,14.833968
