Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,18.799999,18.799999,18.799999,18.799999,0.0,18.799999
2016-03-14,18.82,18.82,18.82,18.82,0.0,18.82
2016-03-11,18.82,18.82,18.82,18.82,0.0,18.82
2016-03-10,18.76,18.76,18.76,18.76,0.0,18.76
2016-03-09,18.639999,18.639999,18.639999,18.639999,0.0,18.639999
2016-03-08,18.67,18.67,18.67,18.67,0.0,18.67
2016-03-07,18.67,18.67,18.67,18.67,0.0,18.67
2016-03-04,18.629999,18.629999,18.629999,18.629999,0.0,18.629999
2016-03-03,18.530001,18.530001,18.530001,18.530001,0.0,18.530001
2016-03-02,18.440001,18.440001,18.440001,18.440001,0.0,18.440001
2016-03-01,18.370001,18.370001,18.370001,18.370001,0.0,18.370001
2016-02-29,18.34,18.34,18.34,18.34,0.0,18.34
2016-02-26,18.280001,18.280001,18.280001,18.280001,0.0,18.280001
2016-02-25,18.34,18.34,18.34,18.34,0.0,18.34
2016-02-24,18.299999,18.299999,18.299999,18.299999,0.0,18.299999
2016-02-23,18.32,18.32,18.32,18.32,0.0,18.32
2016-02-22,18.32,18.32,18.32,18.32,0.0,18.32
2016-02-19,18.309999,18.309999,18.309999,18.309999,0.0,18.309999
2016-02-18,18.290001,18.290001,18.290001,18.290001,0.0,18.290001
2016-02-17,18.23,18.23,18.23,18.23,0.0,18.23
2016-02-16,18.15,18.15,18.15,18.15,0.0,18.15
2016-02-12,18.17,18.17,18.17,18.17,0.0,18.17
2016-02-11,18.209999,18.209999,18.209999,18.209999,0.0,18.209999
2016-02-10,18.27,18.27,18.27,18.27,0.0,18.27
2016-02-09,18.209999,18.209999,18.209999,18.209999,0.0,18.209999
2016-02-08,18.219999,18.219999,18.219999,18.219999,0.0,18.219999
2016-02-05,18.219999,18.219999,18.219999,18.219999,0.0,18.219999
2016-02-04,18.27,18.27,18.27,18.27,0.0,18.27
2016-02-03,18.18,18.18,18.18,18.18,0.0,18.18
2016-02-02,18.030001,18.030001,18.030001,18.030001,0.0,18.030001
2016-02-01,18.030001,18.030001,18.030001,18.030001,0.0,18.030001
2016-01-29,18.02,18.02,18.02,18.02,0.0,18.02
2016-01-28,18.040001,18.040001,18.040001,18.040001,0.0,18.040001
2016-01-27,17.969999,17.969999,17.969999,17.969999,0.0,17.969999
2016-01-26,17.959999,17.959999,17.959999,17.959999,0.0,17.959999
2016-01-25,17.93,17.93,17.93,17.93,0.0,17.93
2016-01-22,17.92,17.92,17.92,17.92,0.0,17.92
2016-01-21,17.889999,17.889999,17.889999,17.889999,0.0,17.889999
2016-01-20,17.9,17.9,17.9,17.9,0.0,17.9
2016-01-19,18.030001,18.030001,18.030001,18.030001,0.0,18.030001
2016-01-15,18.030001,18.030001,18.030001,18.030001,0.0,18.030001
2016-01-14,18.059999,18.059999,18.059999,18.059999,0.0,18.059999
2016-01-13,18.129999,18.129999,18.129999,18.129999,0.0,18.129999
2016-01-12,18.120001,18.120001,18.120001,18.120001,0.0,18.120001
2016-01-11,18.16,18.16,18.16,18.16,0.0,18.16
2016-01-08,18.24,18.24,18.24,18.24,0.0,18.24
2016-01-07,18.24,18.24,18.24,18.24,0.0,18.24
2016-01-06,18.209999,18.209999,18.209999,18.209999,0.0,18.209999
2016-01-05,18.18,18.18,18.18,18.18,0.0,18.18
2016-01-04,18.17,18.17,18.17,18.17,0.0,18.17
2015-12-31,18.18,18.18,18.18,18.18,0.0,18.18
2015-12-30,18.190001,18.190001,18.190001,18.190001,0.0,18.190001
2015-12-29,18.200001,18.200001,18.200001,18.200001,0.0,18.200001
2015-12-28,18.23,18.23,18.23,18.23,0.0,18.23
2015-12-24,18.48,18.48,18.48,18.48,0.0,18.203999
2015-12-23,18.440001,18.440001,18.440001,18.440001,0.0,18.164598
2015-12-22,18.43,18.43,18.43,18.43,0.0,18.154747
2015-12-21,18.43,18.43,18.43,18.43,0.0,18.154747
2015-12-18,18.42,18.42,18.42,18.42,0.0,18.144896
2015-12-17,18.389999,18.389999,18.389999,18.389999,0.0,18.115343
2015-12-16,18.389999,18.389999,18.389999,18.389999,0.0,18.115343
2015-12-15,18.41,18.41,18.41,18.41,0.0,18.135045
2015-12-14,18.43,18.43,18.43,18.43,0.0,18.154747
2015-12-11,18.559999,18.559999,18.559999,18.559999,0.0,18.282804
2015-12-10,18.58,18.58,18.58,18.58,0.0,18.302506
2015-12-09,18.67,18.67,18.67,18.67,0.0,18.391162
2015-12-08,18.549999,18.549999,18.549999,18.549999,0.0,18.272954
2015-12-07,18.620001,18.620001,18.620001,18.620001,0.0,18.34191
2015-12-04,18.67,18.67,18.67,18.67,0.0,18.391162
2015-12-03,18.709999,18.709999,18.709999,18.709999,0.0,18.430564
2015-12-02,18.65,18.65,18.65,18.65,0.0,18.37146
2015-12-01,18.690001,18.690001,18.690001,18.690001,0.0,18.410864
2015-11-30,18.639999,18.639999,18.639999,18.639999,0.0,18.36161
2015-11-27,18.68,18.68,18.68,18.68,0.0,18.401013
2015-11-25,18.700001,18.700001,18.700001,18.700001,0.0,18.420715
2015-11-24,18.709999,18.709999,18.709999,18.709999,0.0,18.430564
2015-11-23,18.709999,18.709999,18.709999,18.709999,0.0,18.430564
2015-11-20,18.74,18.74,18.74,18.74,0.0,18.460116
2015-11-19,18.780001,18.780001,18.780001,18.780001,0.0,18.49952
