Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,10.35,10.35,10.35,10.35,0.0,10.35
2016-03-14,10.35,10.35,10.35,10.35,0.0,10.35
2016-03-11,10.33,10.33,10.33,10.33,0.0,10.33
2016-03-10,10.34,10.34,10.34,10.34,0.0,10.34
2016-03-09,10.35,10.35,10.35,10.35,0.0,10.35
2016-03-08,10.37,10.37,10.37,10.37,0.0,10.37
2016-03-07,10.33,10.33,10.33,10.33,0.0,10.33
2016-03-04,10.34,10.34,10.34,10.34,0.0,10.34
2016-03-03,10.35,10.35,10.35,10.35,0.0,10.35
2016-03-02,10.34,10.34,10.34,10.34,0.0,10.34
2016-03-01,10.34,10.34,10.34,10.34,0.0,10.34
2016-02-29,10.37,10.37,10.37,10.37,0.0,10.37
2016-02-26,10.36,10.36,10.36,10.36,0.0,10.345
2016-02-25,10.38,10.38,10.38,10.38,0.0,10.364971
2016-02-24,10.36,10.36,10.36,10.36,0.0,10.345
2016-02-23,10.36,10.36,10.36,10.36,0.0,10.345
2016-02-22,10.35,10.35,10.35,10.35,0.0,10.335015
2016-02-19,10.35,10.35,10.35,10.35,0.0,10.335015
2016-02-18,10.36,10.36,10.36,10.36,0.0,10.345
2016-02-17,10.32,10.32,10.32,10.32,0.0,10.305058
2016-02-16,10.33,10.33,10.33,10.33,0.0,10.315044
2016-02-12,10.35,10.35,10.35,10.35,0.0,10.335015
2016-02-11,10.39,10.39,10.39,10.39,0.0,10.374957
2016-02-10,10.38,10.38,10.38,10.38,0.0,10.364971
2016-02-09,10.36,10.36,10.36,10.36,0.0,10.345
2016-02-08,10.37,10.37,10.37,10.37,0.0,10.354986
2016-02-05,10.34,10.34,10.34,10.34,0.0,10.325029
2016-02-04,10.34,10.34,10.34,10.34,0.0,10.325029
2016-02-03,10.33,10.33,10.33,10.33,0.0,10.315044
2016-02-02,10.34,10.34,10.34,10.34,0.0,10.325029
2016-02-01,10.3,10.3,10.3,10.3,0.0,10.285087
2016-01-29,10.32,10.32,10.32,10.32,0.0,10.305058
2016-01-28,10.3,10.3,10.3,10.3,0.0,10.26911
2016-01-27,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-26,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-25,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-22,10.28,10.28,10.28,10.28,0.0,10.24917
2016-01-21,10.28,10.28,10.28,10.28,0.0,10.24917
2016-01-20,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-19,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-15,10.3,10.3,10.3,10.3,0.0,10.26911
2016-01-14,10.28,10.28,10.28,10.28,0.0,10.24917
2016-01-13,10.3,10.3,10.3,10.3,0.0,10.26911
2016-01-12,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-11,10.26,10.26,10.26,10.26,0.0,10.22923
2016-01-08,10.29,10.29,10.29,10.29,0.0,10.25914
2016-01-07,10.28,10.28,10.28,10.28,0.0,10.24917
2016-01-06,10.27,10.27,10.27,10.27,0.0,10.239201
2016-01-05,10.24,10.24,10.24,10.24,0.0,10.20929
2016-01-04,10.25,10.25,10.25,10.25,0.0,10.21926
2015-12-31,10.23,10.23,10.23,10.23,0.0,10.19932
2015-12-30,10.22,10.22,10.22,10.22,0.0,10.170407
2015-12-29,10.21,10.21,10.21,10.21,0.0,10.160456
2015-12-28,10.25,10.25,10.25,10.25,0.0,10.200262
2015-12-24,10.24,10.24,10.24,10.24,0.0,10.19031
2015-12-23,10.23,10.23,10.23,10.23,0.0,10.180358
2015-12-22,10.24,10.24,10.24,10.24,0.0,10.19031
2015-12-21,10.26,10.26,10.26,10.26,0.0,10.210213
2015-12-18,10.26,10.26,10.26,10.26,0.0,10.210213
2015-12-17,10.38,10.38,10.38,10.38,0.0,10.202252
2015-12-16,10.36,10.36,10.36,10.36,0.0,10.182594
2015-12-15,10.37,10.37,10.37,10.37,0.0,10.192423
2015-12-14,10.38,10.38,10.38,10.38,0.0,10.202252
2015-12-11,10.44,10.44,10.44,10.44,0.0,10.261224
2015-12-10,10.42,10.42,10.42,10.42,0.0,10.241567
2015-12-09,10.42,10.42,10.42,10.42,0.0,10.241567
2015-12-08,10.42,10.42,10.42,10.42,0.0,10.241567
2015-12-07,10.43,10.43,10.43,10.43,0.0,10.251396
2015-12-04,10.42,10.42,10.42,10.42,0.0,10.241567
2015-12-03,10.39,10.39,10.39,10.39,0.0,10.212081
2015-12-02,10.46,10.46,10.46,10.46,0.0,10.280882
2015-12-01,10.48,10.48,10.48,10.48,0.0,10.300539
2015-11-30,10.45,10.45,10.45,10.45,0.0,10.271053
2015-11-27,10.44,10.44,10.44,10.44,0.0,10.245498
2015-11-25,10.44,10.44,10.44,10.44,0.0,10.245498
2015-11-24,10.44,10.44,10.44,10.44,0.0,10.245498
2015-11-23,10.43,10.43,10.43,10.43,0.0,10.235685
2015-11-20,10.44,10.44,10.44,10.44,0.0,10.245498
2015-11-19,10.44,10.44,10.44,10.44,0.0,10.245498
2015-11-18,10.43,10.43,10.43,10.43,0.0,10.235685
2015-11-17,10.43,10.43,10.43,10.43,0.0,10.235685
2015-11-16,10.43,10.43,10.43,10.43,0.0,10.235685
2015-11-13,10.43,10.43,10.43,10.43,0.0,10.235685
2015-11-12,10.42,10.42,10.42,10.42,0.0,10.225871
2015-11-11,10.41,10.41,10.41,10.41,0.0,10.216057
2015-11-10,10.42,10.42,10.42,10.42,0.0,10.225871
2015-11-09,10.41,10.41,10.41,10.41,0.0,10.216057
2015-11-06,10.42,10.42,10.42,10.42,0.0,10.225871
2015-11-05,10.47,10.47,10.47,10.47,0.0,10.27494
2015-11-04,10.47,10.47,10.47,10.47,0.0,10.27494
2015-11-03,10.48,10.48,10.48,10.48,0.0,10.284752
2015-11-02,10.5,10.5,10.5,10.5,0.0,10.30438
2015-10-30,10.5,10.5,10.5,10.5,0.0,10.30438
2015-10-29,10.49,10.49,10.49,10.49,0.0,10.277883
