Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,5.69,5.69,5.69,5.69,0.0,5.69
2016-03-14,5.7,5.7,5.7,5.7,0.0,5.7
2016-03-11,5.68,5.68,5.68,5.68,0.0,5.68
2016-03-10,5.68,5.68,5.68,5.68,0.0,5.68
2016-03-09,5.65,5.65,5.65,5.65,0.0,5.65
2016-03-08,5.64,5.64,5.64,5.64,0.0,5.64
2016-03-07,5.63,5.63,5.63,5.63,0.0,5.63
2016-03-04,5.61,5.61,5.61,5.61,0.0,5.61
2016-03-03,5.6,5.6,5.6,5.6,0.0,5.6
2016-03-02,5.6,5.6,5.6,5.6,0.0,5.6
2016-03-01,5.59,5.59,5.59,5.59,0.0,5.59
2016-02-29,5.58,5.58,5.58,5.58,0.0,5.58
2016-02-26,5.53,5.53,5.53,5.53,0.0,5.53
2016-02-25,5.54,5.54,5.54,5.54,0.0,5.54
2016-02-24,5.55,5.55,5.55,5.55,0.0,5.55
2016-02-23,5.54,5.54,5.54,5.54,0.0,5.54
2016-02-22,5.54,5.54,5.54,5.54,0.0,5.54
2016-02-19,5.54,5.54,5.54,5.54,0.0,5.54
2016-02-18,5.52,5.52,5.52,5.52,0.0,5.52
2016-02-17,5.5,5.5,5.5,5.5,0.0,5.5
2016-02-16,5.48,5.48,5.48,5.48,0.0,5.48
2016-02-12,5.48,5.48,5.48,5.48,0.0,5.48
2016-02-11,5.49,5.49,5.49,5.49,0.0,5.49
2016-02-10,5.52,5.52,5.52,5.52,0.0,5.52
2016-02-09,5.51,5.51,5.51,5.51,0.0,5.51
2016-02-08,5.51,5.51,5.51,5.51,0.0,5.51
2016-02-05,5.52,5.52,5.52,5.52,0.0,5.52
2016-02-04,5.55,5.55,5.55,5.55,0.0,5.55
2016-02-03,5.53,5.53,5.53,5.53,0.0,5.53
2016-02-02,5.48,5.48,5.48,5.48,0.0,5.48
2016-02-01,5.5,5.5,5.5,5.5,0.0,5.5
2016-01-29,5.5,5.5,5.5,5.5,0.0,5.5
2016-01-28,5.49,5.49,5.49,5.49,0.0,5.49
2016-01-27,5.48,5.48,5.48,5.48,0.0,5.48
2016-01-26,5.47,5.47,5.47,5.47,0.0,5.47
2016-01-25,5.46,5.46,5.46,5.46,0.0,5.46
2016-01-22,5.45,5.45,5.45,5.45,0.0,5.45
2016-01-21,5.41,5.41,5.41,5.41,0.0,5.41
2016-01-20,5.45,5.45,5.45,5.45,0.0,5.45
2016-01-19,5.47,5.47,5.47,5.47,0.0,5.47
2016-01-15,5.49,5.49,5.49,5.49,0.0,5.49
2016-01-14,5.53,5.53,5.53,5.53,0.0,5.53
2016-01-13,5.55,5.55,5.55,5.55,0.0,5.55
2016-01-12,5.55,5.55,5.55,5.55,0.0,5.55
2016-01-11,5.55,5.55,5.55,5.55,0.0,5.55
2016-01-08,5.58,5.58,5.58,5.58,0.0,5.58
2016-01-07,5.59,5.59,5.59,5.59,0.0,5.59
2016-01-06,5.6,5.6,5.6,5.6,0.0,5.6
2016-01-05,5.59,5.59,5.59,5.59,0.0,5.59
2016-01-04,5.59,5.59,5.59,5.59,0.0,5.59
2015-12-31,5.56,5.56,5.56,5.56,0.0,5.56
2015-12-30,5.56,5.56,5.56,5.56,0.0,5.56
2015-12-29,5.58,5.58,5.58,5.58,0.0,5.58
2015-12-28,5.58,5.58,5.58,5.58,0.0,5.58
2015-12-24,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-23,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-22,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-21,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-18,5.58,5.58,5.58,5.58,0.0,5.58
2015-12-17,5.59,5.59,5.59,5.59,0.0,5.59
2015-12-16,5.58,5.58,5.58,5.58,0.0,5.58
2015-12-15,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-14,5.57,5.57,5.57,5.57,0.0,5.57
2015-12-11,5.61,5.61,5.61,5.61,0.0,5.61
2015-12-10,5.6,5.6,5.6,5.6,0.0,5.6
2015-12-09,5.63,5.63,5.63,5.63,0.0,5.63
2015-12-08,5.62,5.62,5.62,5.62,0.0,5.62
2015-12-07,5.62,5.62,5.62,5.62,0.0,5.62
2015-12-04,5.61,5.61,5.61,5.61,0.0,5.61
2015-12-03,5.63,5.63,5.63,5.63,0.0,5.63
2015-12-02,5.63,5.63,5.63,5.63,0.0,5.63
2015-12-01,5.62,5.62,5.62,5.62,0.0,5.62
2015-11-30,5.63,5.63,5.63,5.63,0.0,5.63
2015-11-27,5.63,5.63,5.63,5.63,0.0,5.63
2015-11-25,5.63,5.63,5.63,5.63,0.0,5.63
2015-11-24,5.64,5.64,5.64,5.64,0.0,5.64
2015-11-23,5.64,5.64,5.64,5.64,0.0,5.64
2015-11-20,5.63,5.63,5.63,5.63,0.0,5.63
2015-11-19,5.64,5.64,5.64,5.64,0.0,5.64
2015-11-18,5.65,5.65,5.65,5.65,0.0,5.65
2015-11-17,5.64,5.64,5.64,5.64,0.0,5.64
2015-11-16,5.65,5.65,5.65,5.65,0.0,5.65
2015-11-13,5.65,5.65,5.65,5.65,0.0,5.65
2015-11-12,5.65,5.65,5.65,5.65,0.0,5.65
2015-11-11,5.66,5.66,5.66,5.66,0.0,5.66
2015-11-10,5.66,5.66,5.66,5.66,0.0,5.66
2015-11-09,5.65,5.65,5.65,5.65,0.0,5.65
2015-11-06,5.69,5.69,5.69,5.69,0.0,5.69
2015-11-05,5.7,5.7,5.7,5.7,0.0,5.7
2015-11-04,5.71,5.71,5.71,5.71,0.0,5.71
2015-11-03,5.72,5.72,5.72,5.72,0.0,5.72
2015-11-02,5.72,5.72,5.72,5.72,0.0,5.72
2015-10-30,5.72,5.72,5.72,5.72,0.0,5.72
2015-10-29,5.72,5.72,5.72,5.72,0.0,5.72
2015-10-28,5.75,5.75,5.75,5.75,0.0,5.75
2015-10-27,5.74,5.74,5.74,5.74,0.0,5.74
2015-10-26,5.76,5.76,5.76,5.76,0.0,5.76
2015-10-23,5.75,5.75,5.75,5.75,0.0,5.75
2015-10-22,5.76,5.76,5.76,5.76,0.0,5.76
2015-10-21,5.81,5.81,5.81,5.81,0.0,5.81
2015-10-20,5.81,5.81,5.81,5.81,0.0,5.81
2015-10-19,5.82,5.82,5.82,5.82,0.0,5.82
2015-10-16,5.82,5.82,5.82,5.82,0.0,5.82
2015-10-15,5.82,5.82,5.82,5.82,0.0,5.82
2015-10-14,5.84,5.84,5.84,5.84,0.0,5.84
2015-10-13,5.81,5.81,5.81,5.81,0.0,5.81
2015-10-12,5.81,5.81,5.81,5.81,0.0,5.81
2015-10-09,5.8,5.8,5.8,5.8,0.0,5.8
2015-10-08,5.79,5.79,5.79,5.79,0.0,5.79
2015-10-07,5.78,5.78,5.78,5.78,0.0,5.78
2015-10-06,5.77,5.77,5.77,5.77,0.0,5.77
2015-10-05,5.75,5.75,5.75,5.75,0.0,5.75
2015-10-02,5.75,5.75,5.75,5.75,0.0,5.75
2015-10-01,5.75,5.75,5.75,5.75,0.0,5.75
2015-09-30,5.74,5.74,5.74,5.74,0.0,5.74
2015-09-29,5.77,5.77,5.77,5.77,0.0,5.77
2015-09-28,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-25,5.77,5.77,5.77,5.77,0.0,5.77
2015-09-24,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-23,5.79,5.79,5.79,5.79,0.0,5.79
2015-09-22,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-21,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-18,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-17,5.79,5.79,5.79,5.79,0.0,5.79
2015-09-16,5.77,5.77,5.77,5.77,0.0,5.77
2015-09-15,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-14,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-11,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-10,5.79,5.79,5.79,5.79,0.0,5.79
2015-09-09,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-08,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-04,5.8,5.8,5.8,5.8,0.0,5.8
2015-09-03,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-02,5.78,5.78,5.78,5.78,0.0,5.78
2015-09-01,5.79,5.79,5.79,5.79,0.0,5.79
2015-08-31,5.78,5.78,5.78,5.78,0.0,5.78
2015-08-28,5.77,5.77,5.77,5.77,0.0,5.77
2015-08-27,5.77,5.77,5.77,5.77,0.0,5.77
2015-08-26,5.78,5.78,5.78,5.78,0.0,5.78
2015-08-25,5.78,5.78,5.78,5.78,0.0,5.78
2015-08-24,5.81,5.81,5.81,5.81,0.0,5.81
2015-08-21,5.81,5.81,5.81,5.81,0.0,5.81
2015-08-20,5.8,5.8,5.8,5.8,0.0,5.8
2015-08-19,5.8,5.8,5.8,5.8,0.0,5.8
2015-08-18,5.83,5.83,5.83,5.83,0.0,5.83
2015-08-17,5.82,5.82,5.82,5.82,0.0,5.82
2015-08-14,5.82,5.82,5.82,5.82,0.0,5.82
2015-08-13,5.83,5.83,5.83,5.83,0.0,5.83
2015-08-12,5.85,5.85,5.85,5.85,0.0,5.85
2015-08-11,5.84,5.84,5.84,5.84,0.0,5.84
2015-08-10,5.87,5.87,5.87,5.87,0.0,5.87
2015-08-07,5.87,5.87,5.87,5.87,0.0,5.87
2015-08-06,5.86,5.86,5.86,5.86,0.0,5.86
2015-08-05,5.86,5.86,5.86,5.86,0.0,5.86
2015-08-04,5.88,5.88,5.88,5.88,0.0,5.88
2015-08-03,5.88,5.88,5.88,5.88,0.0,5.88
2015-07-31,5.89,5.89,5.89,5.89,0.0,5.89
