Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,11.3,11.3,11.3,11.3,0.0,11.3
2016-03-14,11.48,11.48,11.48,11.48,0.0,11.48
2016-03-11,11.5,11.5,11.5,11.5,0.0,11.5
2016-03-10,11.36,11.36,11.36,11.36,0.0,11.36
2016-03-09,11.41,11.41,11.41,11.41,0.0,11.41
2016-03-08,11.31,11.31,11.31,11.31,0.0,11.31
2016-03-07,11.39,11.39,11.39,11.39,0.0,11.39
2016-03-04,11.39,11.39,11.39,11.39,0.0,11.39
2016-03-03,11.29,11.29,11.29,11.29,0.0,11.29
2016-03-02,11.27,11.27,11.27,11.27,0.0,11.27
2016-03-01,11.25,11.25,11.25,11.25,0.0,11.25
2016-02-29,11.08,11.08,11.08,11.08,0.0,11.08
2016-02-26,11.04,11.04,11.04,11.04,0.0,11.04
2016-02-25,10.98,10.98,10.98,10.98,0.0,10.98
2016-02-24,10.97,10.97,10.97,10.97,0.0,10.97
2016-02-23,10.99,10.99,10.99,10.99,0.0,10.99
2016-02-22,11.05,11.05,11.05,11.05,0.0,11.05
2016-02-19,10.93,10.93,10.93,10.93,0.0,10.93
2016-02-18,10.97,10.97,10.97,10.97,0.0,10.97
2016-02-17,10.98,10.98,10.98,10.98,0.0,10.98
2016-02-16,10.91,10.91,10.91,10.91,0.0,10.91
2016-02-12,10.87,10.87,10.87,10.87,0.0,10.84
2016-02-11,10.74,10.74,10.74,10.74,0.0,10.710359
2016-02-10,10.9,10.9,10.9,10.9,0.0,10.869917
2016-02-09,10.95,10.95,10.95,10.95,0.0,10.919779
2016-02-08,11.04,11.04,11.04,11.04,0.0,11.009531
2016-02-05,11.18,11.18,11.18,11.18,0.0,11.149145
2016-02-04,11.23,11.23,11.23,11.23,0.0,11.199006
2016-02-03,11.26,11.26,11.26,11.26,0.0,11.228924
2016-02-02,11.29,11.29,11.29,11.29,0.0,11.258841
2016-02-01,11.47,11.47,11.47,11.47,0.0,11.438345
2016-01-29,11.46,11.46,11.46,11.46,0.0,11.428372
2016-01-28,11.25,11.25,11.25,11.25,0.0,11.218951
2016-01-27,11.18,11.18,11.18,11.18,0.0,11.149145
2016-01-26,11.24,11.24,11.24,11.24,0.0,11.208979
2016-01-25,11.18,11.18,11.18,11.18,0.0,11.149145
2016-01-22,11.27,11.27,11.27,11.27,0.0,11.238897
2016-01-21,11.04,11.04,11.04,11.04,0.0,11.009531
2016-01-20,11.04,11.04,11.04,11.04,0.0,11.009531
2016-01-19,11.13,11.13,11.13,11.13,0.0,11.099283
2016-01-15,11.07,11.07,11.07,11.07,0.0,11.039448
2016-01-14,11.28,11.28,11.28,11.28,0.0,11.218951
2016-01-13,11.27,11.27,11.27,11.27,0.0,11.209006
2016-01-12,11.26,11.26,11.26,11.26,0.0,11.19906
2016-01-11,11.28,11.28,11.28,11.28,0.0,11.218951
2016-01-08,11.23,11.23,11.23,11.23,0.0,11.169222
2016-01-07,11.27,11.27,11.27,11.27,0.0,11.209006
2016-01-06,11.39,11.39,11.39,11.39,0.0,11.328357
2016-01-05,11.52,11.52,11.52,11.52,0.0,11.457653
2016-01-04,11.46,11.46,11.46,11.46,0.0,11.397977
2015-12-31,11.58,11.58,11.58,11.58,0.0,11.517328
2015-12-30,11.54,11.54,11.54,11.54,0.0,11.477544
2015-12-29,11.62,11.62,11.62,11.62,0.0,11.557111
2015-12-28,11.6,11.6,11.6,11.6,0.0,11.53722
2015-12-24,11.57,11.57,11.57,11.57,0.0,11.507382
2015-12-23,11.6,11.6,11.6,11.6,0.0,11.53722
2015-12-22,11.58,11.58,11.58,11.58,0.0,11.517328
2015-12-21,11.57,11.57,11.57,11.57,0.0,11.507382
2015-12-18,11.59,11.59,11.59,11.59,0.0,11.527274
2015-12-17,11.68,11.68,11.68,11.68,0.0,11.616787
2015-12-16,11.66,11.66,11.66,11.66,0.0,11.596895
2015-12-15,11.59,11.59,11.59,11.59,0.0,11.527274
2015-12-14,11.49,11.49,11.49,11.49,0.0,11.397977
2015-12-11,11.5,11.5,11.5,11.5,0.0,11.407897
2015-12-10,11.67,11.67,11.67,11.67,0.0,11.576536
2015-12-09,11.67,11.67,11.67,11.67,0.0,11.576536
2015-12-08,11.74,11.74,11.74,11.74,0.0,11.645975
2015-12-07,11.81,11.81,11.81,11.81,0.0,11.715415
2015-12-04,11.9,11.9,11.9,11.9,0.0,11.804693
2015-12-03,11.86,11.86,11.86,11.86,0.0,11.765013
2015-12-02,11.98,11.98,11.98,11.98,0.0,11.884052
2015-12-01,11.97,11.97,11.97,11.97,0.0,11.874133
2015-11-30,11.97,11.97,11.97,11.97,0.0,11.874133
2015-11-27,11.96,11.96,11.96,11.96,0.0,11.864213
2015-11-25,12.05,12.05,12.05,12.05,0.0,11.953492
2015-11-24,12.02,12.02,12.02,12.02,0.0,11.923733
2015-11-23,11.98,11.98,11.98,11.98,0.0,11.884052
2015-11-20,12.02,12.02,12.02,12.02,0.0,11.923733
2015-11-19,11.97,11.97,11.97,11.97,0.0,11.874133
2015-11-18,11.94,11.94,11.94,11.94,0.0,11.844373
2015-11-17,11.83,11.83,11.83,11.83,0.0,11.735254
2015-11-16,11.82,11.82,11.82,11.82,0.0,11.725334
2015-11-13,11.81,11.81,11.81,11.81,0.0,11.685655
2015-11-12,11.84,11.84,11.84,11.84,0.0,11.715338
2015-11-11,11.9,11.9,11.9,11.9,0.0,11.774706
2015-11-10,11.89,11.89,11.89,11.89,0.0,11.764812
2015-11-09,11.85,11.85,11.85,11.85,0.0,11.725233
2015-11-06,11.91,11.91,11.91,11.91,0.0,11.784601
2015-11-05,11.87,11.87,11.87,11.87,0.0,11.745022
2015-11-04,11.91,11.91,11.91,11.91,0.0,11.784601
2015-11-03,11.88,11.88,11.88,11.88,0.0,11.754917
2015-11-02,11.79,11.79,11.79,11.79,0.0,11.665865
2015-10-30,11.77,11.77,11.77,11.77,0.0,11.646076
2015-10-29,11.78,11.78,11.78,11.78,0.0,11.65597
2015-10-28,11.81,11.81,11.81,11.81,0.0,11.685655
2015-10-27,11.75,11.75,11.75,11.75,0.0,11.626286
2015-10-26,11.79,11.79,11.79,11.79,0.0,11.665865
2015-10-23,11.81,11.81,11.81,11.81,0.0,11.685655
2015-10-22,11.78,11.78,11.78,11.78,0.0,11.65597
2015-10-21,11.58,11.58,11.58,11.58,0.0,11.458076
2015-10-20,11.64,11.64,11.64,11.64,0.0,11.517444
2015-10-19,11.67,11.67,11.67,11.67,0.0,11.547128
2015-10-16,11.7,11.7,11.7,11.7,0.0,11.576812
2015-10-15,11.73,11.73,11.73,11.73,0.0,11.606496
2015-10-14,11.62,11.62,11.62,11.62,0.0,11.467971
2015-10-13,11.62,11.62,11.62,11.62,0.0,11.467971
2015-10-12,11.74,11.74,11.74,11.74,0.0,11.586401
2015-10-09,11.75,11.75,11.75,11.75,0.0,11.59627
2015-10-08,11.75,11.75,11.75,11.75,0.0,11.59627
2015-10-07,11.66,11.66,11.66,11.66,0.0,11.507447
2015-10-06,11.56,11.56,11.56,11.56,0.0,11.408756
2015-10-05,11.57,11.57,11.57,11.57,0.0,11.418625
2015-10-02,11.45,11.45,11.45,11.45,0.0,11.300195
2015-10-01,11.41,11.41,11.41,11.41,0.0,11.260718
2015-09-30,11.41,11.41,11.41,11.41,0.0,11.260718
2015-09-29,11.29,11.29,11.29,11.29,0.0,11.142288
2015-09-28,11.3,11.3,11.3,11.3,0.0,11.152158
2015-09-25,11.41,11.41,11.41,11.41,0.0,11.260718
2015-09-24,11.4,11.4,11.4,11.4,0.0,11.250849
2015-09-23,11.38,11.38,11.38,11.38,0.0,11.231111
2015-09-22,11.5,11.5,11.5,11.5,0.0,11.349541
2015-09-21,11.59,11.59,11.59,11.59,0.0,11.438364
2015-09-18,11.58,11.58,11.58,11.58,0.0,11.428494
2015-09-17,11.55,11.55,11.55,11.55,0.0,11.398887
2015-09-16,11.6,11.6,11.6,11.6,0.0,11.448233
2015-09-15,11.56,11.56,11.56,11.56,0.0,11.408756
