Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,10.56,10.56,10.56,10.56,0.0,10.56
2016-03-14,10.55,10.55,10.55,10.55,0.0,10.55
2016-03-11,10.53,10.53,10.53,10.53,0.0,10.53
2016-03-10,10.5,10.5,10.5,10.5,0.0,10.5
2016-03-09,10.49,10.49,10.49,10.49,0.0,10.49
2016-03-08,10.5,10.5,10.5,10.5,0.0,10.5
2016-03-07,10.48,10.48,10.48,10.48,0.0,10.48
2016-03-04,10.45,10.45,10.45,10.45,0.0,10.45
2016-03-03,10.38,10.38,10.38,10.38,0.0,10.38
2016-03-02,10.34,10.34,10.34,10.34,0.0,10.34
2016-03-01,10.33,10.33,10.33,10.33,0.0,10.33
2016-02-29,10.29,10.29,10.29,10.29,0.0,10.29
2016-02-26,10.28,10.28,10.28,10.28,0.0,10.28
2016-02-25,10.26,10.26,10.26,10.26,0.0,10.26
2016-02-24,10.26,10.26,10.26,10.26,0.0,10.26
2016-02-23,10.27,10.27,10.27,10.27,0.0,10.27
2016-02-22,10.26,10.26,10.26,10.26,0.0,10.26
2016-02-19,10.24,10.24,10.24,10.24,0.0,10.24
2016-02-18,10.25,10.25,10.25,10.25,0.0,10.25
2016-02-17,10.23,10.23,10.23,10.23,0.0,10.23
2016-02-16,10.21,10.21,10.21,10.21,0.0,10.21
2016-02-12,10.18,10.18,10.18,10.18,0.0,10.18
2016-02-11,10.18,10.18,10.18,10.18,0.0,10.18
2016-02-10,10.23,10.23,10.23,10.23,0.0,10.23
2016-02-09,10.22,10.22,10.22,10.22,0.0,10.22
2016-02-08,10.25,10.25,10.25,10.25,0.0,10.25
2016-02-05,10.29,10.29,10.29,10.29,0.0,10.29
2016-02-04,10.29,10.29,10.29,10.29,0.0,10.29
2016-02-03,10.28,10.28,10.28,10.28,0.0,10.28
2016-02-02,10.29,10.29,10.29,10.29,0.0,10.29
2016-02-01,10.31,10.31,10.31,10.31,0.0,10.31
2016-01-29,10.31,10.31,10.31,10.31,0.0,10.31
2016-01-28,10.3,10.3,10.3,10.3,0.0,10.3
2016-01-27,10.29,10.29,10.29,10.29,0.0,10.29
2016-01-26,10.29,10.29,10.29,10.29,0.0,10.29
2016-01-25,10.3,10.3,10.3,10.3,0.0,10.3
2016-01-22,10.31,10.31,10.31,10.31,0.0,10.31
2016-01-21,10.3,10.3,10.3,10.3,0.0,10.3
2016-01-20,10.4,10.4,10.4,10.4,0.0,10.4
2016-01-19,10.4,10.4,10.4,10.4,0.0,10.4
2016-01-15,10.44,10.44,10.44,10.44,0.0,10.44
2016-01-14,10.48,10.48,10.48,10.48,0.0,10.48
2016-01-13,10.5,10.5,10.5,10.5,0.0,10.5
2016-01-12,10.53,10.53,10.53,10.53,0.0,10.53
2016-01-11,10.54,10.54,10.54,10.54,0.0,10.54
2016-01-08,10.57,10.57,10.57,10.57,0.0,10.57
2016-01-07,10.59,10.59,10.59,10.59,0.0,10.59
2016-01-06,10.61,10.61,10.61,10.61,0.0,10.61
2016-01-05,10.61,10.61,10.61,10.61,0.0,10.61
2016-01-04,10.61,10.61,10.61,10.61,0.0,10.61
2015-12-31,10.6,10.6,10.6,10.6,0.0,10.6
2015-12-30,10.6,10.6,10.6,10.6,0.0,10.6
2015-12-29,10.6,10.6,10.6,10.6,0.0,10.6
2015-12-28,10.59,10.59,10.59,10.59,0.0,10.59
2015-12-24,10.58,10.58,10.58,10.58,0.0,10.58
2015-12-23,10.58,10.58,10.58,10.58,0.0,10.58
2015-12-22,10.57,10.57,10.57,10.57,0.0,10.57
2015-12-21,10.58,10.58,10.58,10.58,0.0,10.58
2015-12-18,10.6,10.6,10.6,10.6,0.0,10.6
2015-12-17,10.78,10.78,10.78,10.78,0.0,10.625
2015-12-16,10.77,10.77,10.77,10.77,0.0,10.615144
2015-12-15,10.79,10.79,10.79,10.79,0.0,10.634856
2015-12-14,10.81,10.81,10.81,10.81,0.0,10.654569
2015-12-11,10.86,10.86,10.86,10.86,0.0,10.703849
2015-12-10,10.88,10.88,10.88,10.88,0.0,10.723562
2015-12-09,10.9,10.9,10.9,10.9,0.0,10.743274
2015-12-08,10.91,10.91,10.91,10.91,0.0,10.753131
2015-12-07,10.95,10.95,10.95,10.95,0.0,10.792555
2015-12-04,10.94,10.94,10.94,10.94,0.0,10.782699
2015-12-03,10.95,10.95,10.95,10.95,0.0,10.792555
2015-12-02,10.95,10.95,10.95,10.95,0.0,10.792555
2015-12-01,10.96,10.96,10.96,10.96,0.0,10.802412
2015-11-30,10.98,10.98,10.98,10.98,0.0,10.822124
2015-11-27,10.98,10.98,10.98,10.98,0.0,10.822124
2015-11-25,10.98,10.98,10.98,10.98,0.0,10.822124
2015-11-24,10.99,10.99,10.99,10.99,0.0,10.83198
2015-11-23,10.99,10.99,10.99,10.99,0.0,10.83198
2015-11-20,11.0,11.0,11.0,11.0,0.0,10.841837
2015-11-19,11.0,11.0,11.0,11.0,0.0,10.841837
2015-11-18,11.0,11.0,11.0,11.0,0.0,10.841837
2015-11-17,11.01,11.01,11.01,11.01,0.0,10.851693
2015-11-16,11.02,11.02,11.02,11.02,0.0,10.86155
2015-11-13,11.01,11.01,11.01,11.01,0.0,10.851693
2015-11-12,11.03,11.03,11.03,11.03,0.0,10.871405
2015-11-11,11.05,11.05,11.05,11.05,0.0,10.891118
2015-11-10,11.05,11.05,11.05,11.05,0.0,10.891118
2015-11-09,11.05,11.05,11.05,11.05,0.0,10.891118
2015-11-06,11.05,11.05,11.05,11.05,0.0,10.891118
2015-11-05,11.06,11.06,11.06,11.06,0.0,10.900974
2015-11-04,11.06,11.06,11.06,11.06,0.0,10.900974
2015-11-03,11.06,11.06,11.06,11.06,0.0,10.900974
2015-11-02,11.04,11.04,11.04,11.04,0.0,10.881261
2015-10-30,11.05,11.05,11.05,11.05,0.0,10.891118
2015-10-29,11.05,11.05,11.05,11.05,0.0,10.891118
2015-10-28,11.05,11.05,11.05,11.05,0.0,10.891118
2015-10-27,11.06,11.06,11.06,11.06,0.0,10.900974
2015-10-26,11.05,11.05,11.05,11.05,0.0,10.891118
2015-10-23,11.04,11.04,11.04,11.04,0.0,10.881261
2015-10-22,11.04,11.04,11.04,11.04,0.0,10.881261
2015-10-21,11.03,11.03,11.03,11.03,0.0,10.871405
2015-10-20,11.03,11.03,11.03,11.03,0.0,10.871405
2015-10-19,11.03,11.03,11.03,11.03,0.0,10.871405
2015-10-16,11.02,11.02,11.02,11.02,0.0,10.86155
