DATE,VALUE
2016-03-14,636.68
2016-03-11,634.79
2016-03-10,635.16
2016-03-09,635.16
2016-03-08,636.76
2016-03-07,633.76
2016-03-04,633.52
2016-03-03,634.58
2016-03-02,633.03
2016-03-01,632.6
2016-02-29,635.33
2016-02-26,633.92
2016-02-25,636.0
2016-02-24,634.2
2016-02-23,634.19
2016-02-22,633.08
2016-02-19,633.26
2016-02-18,632.7
2016-02-17,629.97
2016-02-16,630.69
2016-02-15,631.56
2016-02-12,631.36
2016-02-11,634.83
2016-02-10,634.43
2016-02-09,633.65
2016-02-08,634.7
2016-02-05,631.72
2016-02-04,631.43
2016-02-03,630.79
2016-02-02,632.24
2016-02-01,629.14
2016-01-31,630.62
2016-01-29,630.56
2016-01-28,628.86
2016-01-27,628.73
2016-01-26,629.19
2016-01-25,628.51
2016-01-22,627.88
2016-01-21,628.56
2016-01-20,629.96
2016-01-19,630.13
2016-01-18,630.68
2016-01-15,630.48
2016-01-14,629.41
2016-01-13,632.34
2016-01-12,630.72
2016-01-11,628.85
2016-01-08,629.93
2016-01-07,629.37
2016-01-06,628.84
2016-01-05,626.21
2016-01-04,626.52
2015-12-31,625.24
2015-12-30,624.39
2015-12-29,624.1
2015-12-28,627.2
2015-12-24,626.33
2015-12-23,625.33
2015-12-22,626.16
2015-12-21,627.6
2015-12-18,627.65
2015-12-17,626.55
2015-12-16,624.54
2015-12-15,625.05
2015-12-14,626.29
2015-12-11,630.46
2015-12-10,627.72
2015-12-09,628.96
2015-12-08,628.11
2015-12-07,629.2
2015-12-04,627.19
2015-12-03,625.08
2015-12-02,630.73
2015-12-01,630.84
2015-11-30,628.16
2015-11-27,627.66
2015-11-26,627.53
2015-11-25,627.46
2015-11-24,627.15
2015-11-23,626.9
2015-11-20,626.27
2015-11-19,626.68
2015-11-18,625.5
2015-11-17,625.54
2015-11-16,624.64
2015-11-13,624.44
2015-11-12,623.34
2015-11-11,623.55
2015-11-10,623.48
2015-11-09,622.61
2015-11-06,622.74
2015-11-05,625.63
2015-11-04,626.03
2015-11-03,626.14
2015-11-02,627.42
2015-10-31,628.28
2015-10-30,628.27
2015-10-29,627.38
2015-10-28,630.56
2015-10-27,632.35
2015-10-26,631.39
2015-10-23,629.83
2015-10-22,631.21
2015-10-21,630.43
2015-10-20,628.42
2015-10-19,629.6
2015-10-16,629.69
2015-10-15,629.51
2015-10-14,630.83
2015-10-13,628.44
2015-10-12,626.67
2015-10-09,626.47
2015-10-08,625.77
2015-10-07,627.41
2015-10-06,627.48
2015-10-05,626.08
2015-10-02,627.98
2015-10-01,626.13
2015-09-30,625.72
2015-09-29,626.55
2015-09-28,626.16
2015-09-25,623.81
2015-09-24,625.66
2015-09-23,625.02
2015-09-22,625.63
2015-09-21,622.56
2015-09-18,625.72
2015-09-17,622.14
2015-09-16,618.71
2015-09-15,619.35
2015-09-14,623.3
2015-09-11,623.17
2015-09-10,621.64
2015-09-09,622.92
2015-09-08,621.93
2015-09-07,624.3
2015-09-04,624.1
2015-09-03,622.17
2015-09-02,620.83
2015-09-01,621.61
