Date,Open,High,Low,Close,Volume,Adjusted Close
2016-03-15,3.51,3.51,3.51,3.51,0.0,3.51
2016-03-14,3.51,3.51,3.51,3.51,0.0,3.51
2016-03-11,3.51,3.51,3.51,3.51,0.0,3.51
2016-03-10,3.5,3.5,3.5,3.5,0.0,3.5
2016-03-09,3.51,3.51,3.51,3.51,0.0,3.51
2016-03-08,3.5,3.5,3.5,3.5,0.0,3.5
2016-03-07,3.5,3.5,3.5,3.5,0.0,3.5
2016-03-04,3.5,3.5,3.5,3.5,0.0,3.5
2016-03-03,3.49,3.49,3.49,3.49,0.0,3.49
2016-03-02,3.48,3.48,3.48,3.48,0.0,3.48
2016-03-01,3.48,3.48,3.48,3.48,0.0,3.48
2016-02-29,3.47,3.47,3.47,3.47,0.0,3.47
2016-02-26,3.47,3.47,3.47,3.47,0.0,3.47
2016-02-25,3.47,3.47,3.47,3.47,0.0,3.47
2016-02-24,3.46,3.46,3.46,3.46,0.0,3.46
2016-02-23,3.46,3.46,3.46,3.46,0.0,3.46
2016-02-22,3.46,3.46,3.46,3.46,0.0,3.46
2016-02-19,3.45,3.45,3.45,3.45,0.0,3.45
2016-02-18,3.45,3.45,3.45,3.45,0.0,3.45
2016-02-17,3.45,3.45,3.45,3.45,0.0,3.45
2016-02-16,3.43,3.43,3.43,3.43,0.0,3.43
2016-02-12,3.42,3.42,3.42,3.42,0.0,3.42
2016-02-11,3.42,3.42,3.42,3.42,0.0,3.42
2016-02-10,3.44,3.44,3.44,3.44,0.0,3.436
2016-02-09,3.44,3.44,3.44,3.44,0.0,3.436
2016-02-08,3.45,3.45,3.45,3.45,0.0,3.445989
2016-02-05,3.45,3.45,3.45,3.45,0.0,3.445989
2016-02-04,3.46,3.46,3.46,3.46,0.0,3.455977
2016-02-03,3.45,3.45,3.45,3.45,0.0,3.445989
2016-02-02,3.45,3.45,3.45,3.45,0.0,3.445989
2016-02-01,3.46,3.46,3.46,3.46,0.0,3.455977
2016-01-29,3.46,3.46,3.46,3.46,0.0,3.455977
2016-01-28,3.45,3.45,3.45,3.45,0.0,3.445989
2016-01-27,3.44,3.44,3.44,3.44,0.0,3.436
2016-01-26,3.43,3.43,3.43,3.43,0.0,3.426012
2016-01-25,3.43,3.43,3.43,3.43,0.0,3.426012
2016-01-22,3.43,3.43,3.43,3.43,0.0,3.426012
2016-01-21,3.42,3.42,3.42,3.42,0.0,3.416023
2016-01-20,3.42,3.42,3.42,3.42,0.0,3.416023
2016-01-19,3.44,3.44,3.44,3.44,0.0,3.436
2016-01-15,3.44,3.44,3.44,3.44,0.0,3.436
2016-01-14,3.46,3.46,3.46,3.46,0.0,3.455977
2016-01-13,3.46,3.46,3.46,3.46,0.0,3.451982
2016-01-12,3.46,3.46,3.46,3.46,0.0,3.451982
2016-01-11,3.47,3.47,3.47,3.47,0.0,3.461958
2016-01-08,3.47,3.47,3.47,3.47,0.0,3.461958
2016-01-07,3.47,3.47,3.47,3.47,0.0,3.461958
2016-01-06,3.48,3.48,3.48,3.48,0.0,3.471935
2016-01-05,3.48,3.48,3.48,3.48,0.0,3.471935
2016-01-04,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-31,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-30,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-29,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-28,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-24,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-23,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-22,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-21,3.47,3.47,3.47,3.47,0.0,3.461958
2015-12-18,3.47,3.47,3.47,3.47,0.0,3.461958
2015-12-17,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-16,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-15,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-14,3.48,3.48,3.48,3.48,0.0,3.471935
2015-12-11,3.49,3.49,3.49,3.49,0.0,3.481912
2015-12-10,3.51,3.51,3.51,3.51,0.0,3.501866
2015-12-09,3.53,3.53,3.53,3.53,0.0,3.505856
2015-12-08,3.53,3.53,3.53,3.53,0.0,3.505856
2015-12-07,3.54,3.54,3.54,3.54,0.0,3.515788
2015-12-04,3.55,3.55,3.55,3.55,0.0,3.525719
2015-12-03,3.55,3.55,3.55,3.55,0.0,3.525719
2015-12-02,3.56,3.56,3.56,3.56,0.0,3.535651
2015-12-01,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-30,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-27,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-25,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-24,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-23,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-20,3.58,3.58,3.58,3.58,0.0,3.555514
2015-11-19,3.58,3.58,3.58,3.58,0.0,3.555514
2015-11-18,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-17,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-16,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-13,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-12,3.57,3.57,3.57,3.57,0.0,3.545583
2015-11-11,3.58,3.58,3.58,3.58,0.0,3.548562
2015-11-10,3.58,3.58,3.58,3.58,0.0,3.548562
2015-11-09,3.58,3.58,3.58,3.58,0.0,3.548562
2015-11-06,3.59,3.59,3.59,3.59,0.0,3.558474
2015-11-05,3.6,3.6,3.6,3.6,0.0,3.568386
2015-11-04,3.6,3.6,3.6,3.6,0.0,3.568386
2015-11-03,3.6,3.6,3.6,3.6,0.0,3.568386
2015-11-02,3.59,3.59,3.59,3.59,0.0,3.558474
2015-10-30,3.59,3.59,3.59,3.59,0.0,3.558474
2015-10-29,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-28,3.59,3.59,3.59,3.59,0.0,3.558474
2015-10-27,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-26,3.59,3.59,3.59,3.59,0.0,3.558474
2015-10-23,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-22,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-21,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-20,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-19,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-16,3.58,3.58,3.58,3.58,0.0,3.548562
2015-10-15,3.57,3.57,3.57,3.57,0.0,3.53865
2015-10-14,3.57,3.57,3.57,3.57,0.0,3.531711
2015-10-13,3.57,3.57,3.57,3.57,0.0,3.531711
2015-10-12,3.58,3.58,3.58,3.58,0.0,3.541604
2015-10-09,3.57,3.57,3.57,3.57,0.0,3.531711
2015-10-08,3.56,3.56,3.56,3.56,0.0,3.521819
2015-10-07,3.56,3.56,3.56,3.56,0.0,3.521819
2015-10-06,3.55,3.55,3.55,3.55,0.0,3.511926
2015-10-05,3.53,3.53,3.53,3.53,0.0,3.49214
2015-10-02,3.52,3.52,3.52,3.52,0.0,3.482248
2015-10-01,3.51,3.51,3.51,3.51,0.0,3.472355
2015-09-30,3.52,3.52,3.52,3.52,0.0,3.482248
2015-09-29,3.51,3.51,3.51,3.51,0.0,3.472355
2015-09-28,3.51,3.51,3.51,3.51,0.0,3.472355
2015-09-25,3.52,3.52,3.52,3.52,0.0,3.482248
2015-09-24,3.53,3.53,3.53,3.53,0.0,3.49214
2015-09-23,3.53,3.53,3.53,3.53,0.0,3.49214
2015-09-22,3.54,3.54,3.54,3.54,0.0,3.502033
2015-09-21,3.56,3.56,3.56,3.56,0.0,3.521819
2015-09-18,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-17,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-16,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-15,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-14,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-11,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-10,3.57,3.57,3.57,3.57,0.0,3.531711
2015-09-09,3.58,3.58,3.58,3.58,0.0,3.534679
2015-09-08,3.58,3.58,3.58,3.58,0.0,3.534679
2015-09-04,3.57,3.57,3.57,3.57,0.0,3.524806
2015-09-03,3.58,3.58,3.58,3.58,0.0,3.534679
2015-09-02,3.58,3.58,3.58,3.58,0.0,3.534679
2015-09-01,3.59,3.59,3.59,3.59,0.0,3.544553
2015-08-31,3.59,3.59,3.59,3.59,0.0,3.544553
2015-08-28,3.59,3.59,3.59,3.59,0.0,3.544553
2015-08-27,3.58,3.58,3.58,3.58,0.0,3.534679
2015-08-26,3.57,3.57,3.57,3.57,0.0,3.524806
2015-08-25,3.57,3.57,3.57,3.57,0.0,3.524806
2015-08-24,3.57,3.57,3.57,3.57,0.0,3.524806
2015-08-21,3.6,3.6,3.6,3.6,0.0,3.554426
2015-08-20,3.61,3.61,3.61,3.61,0.0,3.564299
2015-08-19,3.62,3.62,3.62,3.62,0.0,3.574173
2015-08-18,3.63,3.63,3.63,3.63,0.0,3.584046
2015-08-17,3.63,3.63,3.63,3.63,0.0,3.584046
2015-08-14,3.63,3.63,3.63,3.63,0.0,3.584046
2015-08-13,3.63,3.63,3.63,3.63,0.0,3.584046
2015-08-12,3.64,3.64,3.64,3.64,0.0,3.587008
2015-08-11,3.65,3.65,3.65,3.65,0.0,3.596863
2015-08-10,3.65,3.65,3.65,3.65,0.0,3.596863
2015-08-07,3.65,3.65,3.65,3.65,0.0,3.596863
2015-08-06,3.65,3.65,3.65,3.65,0.0,3.596863
2015-08-05,3.66,3.66,3.66,3.66,0.0,3.606717
2015-08-04,3.66,3.66,3.66,3.66,0.0,3.606717
2015-08-03,3.66,3.66,3.66,3.66,0.0,3.606717
2015-07-31,3.67,3.67,3.67,3.67,0.0,3.616572
2015-07-30,3.66,3.66,3.66,3.66,0.0,3.606717
2015-07-29,3.66,3.66,3.66,3.66,0.0,3.606717
2015-07-28,3.66,3.66,3.66,3.66,0.0,3.606717
2015-07-27,3.66,3.66,3.66,3.66,0.0,3.606717
2015-07-24,3.67,3.67,3.67,3.67,0.0,3.616572
2015-07-23,3.68,3.68,3.68,3.68,0.0,3.626426
2015-07-22,3.68,3.68,3.68,3.68,0.0,3.626426
2015-07-21,3.69,3.69,3.69,3.69,0.0,3.636281
2015-07-20,3.69,3.69,3.69,3.69,0.0,3.636281
2015-07-17,3.69,3.69,3.69,3.69,0.0,3.636281
2015-07-16,3.69,3.69,3.69,3.69,0.0,3.636281
2015-07-15,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-14,3.71,3.71,3.71,3.71,0.0,3.647096
2015-07-13,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-10,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-09,3.69,3.69,3.69,3.69,0.0,3.627435
2015-07-08,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-07,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-06,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-02,3.7,3.7,3.7,3.7,0.0,3.637266
2015-07-01,3.7,3.7,3.7,3.7,0.0,3.637266
2015-06-30,3.7,3.7,3.7,3.7,0.0,3.637266
2015-06-29,3.7,3.7,3.7,3.7,0.0,3.637266
2015-06-26,3.71,3.71,3.71,3.71,0.0,3.647096
2015-06-25,3.71,3.71,3.71,3.71,0.0,3.647096
2015-06-24,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-23,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-22,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-19,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-18,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-17,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-16,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-15,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-12,3.72,3.72,3.72,3.72,0.0,3.656927
2015-06-11,3.73,3.73,3.73,3.73,0.0,3.666757
2015-06-10,3.73,3.73,3.73,3.73,0.0,3.65791
2015-06-09,3.73,3.73,3.73,3.73,0.0,3.65791
2015-06-08,3.73,3.73,3.73,3.73,0.0,3.65791
2015-06-05,3.73,3.73,3.73,3.73,0.0,3.65791
2015-06-04,3.74,3.74,3.74,3.74,0.0,3.667716
2015-06-03,3.74,3.74,3.74,3.74,0.0,3.667716
2015-06-02,3.75,3.75,3.75,3.75,0.0,3.677523
2015-06-01,3.75,3.75,3.75,3.75,0.0,3.677523
2015-05-29,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-28,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-27,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-26,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-22,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-21,3.77,3.77,3.77,3.77,0.0,3.697137
2015-05-20,3.76,3.76,3.76,3.76,0.0,3.68733
2015-05-19,3.76,3.76,3.76,3.76,0.0,3.68733
