Date,Value
2015-09-30,270034.0
2015-06-30,264118.0
2015-03-31,259844.0
2014-12-31,252149.0
2014-09-30,244607.0
2014-06-30,239420.0
2014-03-31,229707.0
2013-12-31,229156.0
2013-09-30,223886.0
2013-06-30,212597.0
2013-03-31,201977.0
2012-12-31,198331.0
2012-09-30,196603.0
2012-06-30,189377.0
2012-03-31,188192.0
2011-12-31,188380.0
2011-09-30,176982.0
2011-06-30,176975.0
2011-03-31,179553.0
2010-12-31,172654.0
2010-09-30,166933.0
2010-06-30,164517.0
2010-03-31,149757.0
2009-12-31,155203.0
2009-09-30,154021.0
2009-06-30,178483.0
2009-03-31,208920.0
2008-12-31,222537.0
2008-09-30,233360.0
2008-06-30,223943.0
2008-03-31,239948.0
2007-12-31,251457.0
2007-09-30,249071.0
2007-06-30,236429.0
2007-03-31,227080.0
2006-12-31,217257.0
2006-09-30,218565.0
2006-06-30,209041.0
2006-03-31,200010.0
2005-12-31,195379.0
2005-09-30,187083.0
2005-06-30,182300.0
2005-03-31,175829.0
2004-12-31,175765.0
2004-09-30,171846.0
2004-06-30,160435.0
2004-03-31,152853.0
2003-12-31,145704.0
2003-09-30,147340.0
2003-06-30,149168.0
2003-03-31,147901.0
2002-12-31,142461.0
2002-09-30,138657.0
2002-06-30,135835.0
2002-03-31,137412.0
2001-12-31,135620.0
2001-09-30,141041.0
2001-06-30,138573.0
2001-03-31,139499.0
2000-12-31,141452.0
2000-09-30,136751.0
2000-06-30,123751.0
2000-03-31,125379.0
1999-12-31,126965.0
1999-09-30,123231.0
1999-06-30,121109.0
1999-03-31,125766.0
1998-12-31,124251.0
1998-09-30,121585.0
1998-06-30,118195.0
1998-03-31,119698.0
1997-12-31,111902.0
1997-09-30,104933.0
1997-06-30,102102.0
1997-03-31,101677.0
1996-12-31,91285.0
1996-09-30,89385.0
1996-06-30,90779.0
1996-03-31,92508.0
1995-12-31,92103.0
1995-09-30,91234.0
1995-06-30,90517.0
1995-03-31,90609.0
1994-12-31,90361.0
1994-09-30,89332.0
1994-06-30,88371.0
1994-03-31,87355.0
1993-12-31,86351.0
1993-09-30,86432.0
1993-06-30,86514.0
1993-03-31,87385.0
1992-12-31,88264.0
1992-09-30,90705.0
1992-06-30,93214.0
1992-03-31,95396.0
1991-12-31,97629.0
1991-09-30,101038.0
1991-06-30,104565.0
1991-03-31,105565.0
1990-12-31,106574.0
1990-09-30,107014.0
1990-06-30,107456.0
1990-03-31,108414.0
1989-12-31,109380.0
1989-09-30,108981.0
1989-06-30,108583.0
1989-03-31,107602.0
1988-12-31,106630.0
1988-09-30,106366.0
1988-06-30,106102.0
1988-03-31,104925.0
1987-12-31,103761.0
1987-09-30,103197.0
1987-06-30,102637.0
1987-03-31,100624.0
1986-12-31,98651.0
1986-09-30,97275.0
1986-06-30,95917.0
1986-03-31,94072.0
1985-12-31,92263.0
