Date;EI10y;RRP;IRP
01.01.82;6.1976115;1.2368608;0.4232992
01.02.82;6.0792322;1.2317813;0.3466207
01.03.82;5.6481299;1.1657249;0.3298441
01.04.82;5.7131884;1.2578395;0.4040005
01.05.82;5.6899798;1.157556;0.328358
01.06.82;5.6023786;1.1411042;0.3017158
01.07.82;5.9160055;1.2513304;0.3655436
01.08.82;5.6967159;1.1723375;0.2800865
01.09.82;5.733214;1.09978;0.180274
01.10.82;5.3410651;1.0966023;0.2378697
01.11.82;4.7173264;1.163714;0.3106571
01.12.82;4.8624209;1.2608313;0.3562076
01.01.83;4.717531;1.213813;0.37095
01.02.83;4.8609296;1.2934019;0.409499
01.03.83;4.6099924;1.2272405;0.4053341
01.04.83;4.7379918;1.251615;0.4081102
01.05.83;4.5383586;1.2071457;0.3943521
01.06.83;4.7208859;1.2804237;0.4180947
01.07.83;4.8680949;1.3026097;0.4354794
01.08.83;5.0178961;1.4394496;0.52705
01.09.83;5.1079768;1.424579;0.5041145
01.10.83;4.9742005;1.344574;0.4691074
01.11.83;5.0693748;1.3561477;0.4821815
01.12.83;5.0893714;1.3389832;0.4768328
01.01.84;5.0640591;1.3194472;0.4680037
01.02.84;5.0342412;1.2695955;0.4130959
01.03.84;5.1736894;1.3442575;0.4805385
01.04.84;5.3137983;1.3886424;0.5196546
01.05.84;5.4463469;1.4228445;0.5285705
01.06.84;5.735139;1.5326237;0.5789113
01.07.84;5.7354156;1.5154585;0.5784885
01.08.84;5.4270067;1.3717457;0.4827603
01.09.84;5.4416381;1.3728822;0.5009028
01.10.84;5.2147606;1.3031195;0.4651115
01.11.84;5.0159744;1.190929;0.2682071
01.12.84;5.0342399;1.1976941;0.3095733
01.01.85;5.1142968;1.2221949;0.3477185
01.02.85;5.0420932;1.1686435;0.352354
01.03.85;5.262634;1.2922764;0.4271116
01.04.85;5.0197753;1.2505305;0.425375
01.05.85;4.984325;1.1922227;0.3327895
01.06.85;4.5913278;1.2031861;0.3636911
01.07.85;4.5623268;1.2402847;0.4039801
01.08.85;4.7152609;1.3051207;0.4413298
01.09.85;4.6239161;1.2682198;0.4359783
01.10.85;4.6152271;1.2518228;0.4366386
01.11.85;4.4988455;1.208638;0.4221665
01.12.85;4.3655158;1.1702904;0.4062858
01.01.86;4.1387884;1.1386211;0.2625895
01.02.86;4.1181726;1.171821;0.2931736
01.03.86;3.7367611;1.120938;0.2738488
01.04.86;3.5536733;1.0964864;0.277201
01.05.86;3.6077332;1.1165299;0.3093187
01.06.86;3.9272729;1.3756669;0.463871
01.07.86;3.6712197;1.2814314;0.4198777
01.08.86;3.6324582;1.2570825;0.409531
01.09.86;3.4359002;1.2057601;0.3942505
01.10.86;3.6344365;1.2995179;0.4370162
01.11.86;3.5555861;1.2552941;0.4283965
01.12.86;3.4800833;1.224047;0.4259676
01.01.87;3.5240979;1.2122082;0.3950548
01.02.87;3.5218239;1.209387;0.4056393
01.03.87;3.3855791;1.1741446;0.4345937
01.04.87;3.6251496;1.2412331;0.4113311
01.05.87;3.9809201;1.4457568;0.5180904
01.06.87;3.9050188;1.4115333;0.5182284
01.07.87;3.9670631;1.3652149;0.4632988
01.08.87;4.0511275;1.3933172;0.5030676
01.09.87;4.1489692;1.3994592;0.5205173
01.10.87;4.2518415;1.4699546;0.5544365
01.11.87;4.1747832;1.309898;0.2793631
01.12.87;4.2591451;1.3077499;0.334727
01.01.88;4.2204345;1.2807886;0.3680157
01.02.88;3.8472522;1.2265382;0.3866773
01.03.88;3.8109943;1.2130518;0.3928376
01.04.88;4.0198724;1.307799;0.4332644
01.05.88;4.0553785;1.3195633;0.460759
01.06.88;4.1290591;1.3230759;0.4693093
01.07.88;4.0784464;1.2755766;0.4530967
01.08.88;4.0871682;1.2944214;0.4622338
01.09.88;4.1697337;1.3242448;0.4869946
01.10.88;4.0496883;1.2693917;0.4596157
01.11.88;4.0008188;1.2388278;0.4323994
01.12.88;4.1229057;1.3179001;0.4909862
01.01.89;4.2885136;1.3576515;0.4871891
01.02.89;4.1899346;1.3152199;0.4768804
01.03.89;4.3288816;1.3584696;0.5039928
01.04.89;4.2662182;1.2933644;0.4279872
01.05.89;4.0993473;1.2448791;0.4163362
01.06.89;3.9601983;1.1982318;0.375048
01.07.89;3.7419337;1.1655714;0.3725232
01.08.89;3.5784885;1.1320191;0.3467572
01.09.89;3.797509;1.3813578;0.4916107
01.10.89;3.8261876;1.3694802;0.4972085
01.11.89;3.6877522;1.2964492;0.4417103
01.12.89;3.6632645;1.270562;0.4458994
01.01.90;3.790805;1.2400685;0.3555717
01.02.90;3.9721427;1.3089052;0.4125747
01.03.90;3.9572843;1.3158344;0.4519094
01.04.90;3.9574181;1.3178255;0.4554618
01.05.90;4.1366521;1.3765565;0.4725315
01.06.90;3.9542983;1.283277;0.412364
01.07.90;3.8638041;1.2621513;0.4299261
01.08.90;3.8256958;1.2012863;0.3677158
01.09.90;4.0734267;1.2685928;0.4228613
01.10.90;3.9925768;1.2356491;0.4175479
01.11.90;3.9799187;1.2008361;0.3656533
01.12.90;3.8566272;1.1822384;0.3749228
01.01.91;3.8045971;1.1584319;0.3297383
01.02.91;3.7259127;1.1628351;0.3464582
01.03.91;3.8681694;1.2593148;0.4035459
01.04.91;3.7655984;1.245588;0.4177505
01.05.91;3.7827617;1.2133788;0.3709778
01.06.91;3.865324;1.2376717;0.3991723
01.07.91;3.8906803;1.2551133;0.4344667
01.08.91;3.8552348;1.2319479;0.4219753
01.09.91;3.6904141;1.1920914;0.4076709
01.10.91;3.589857;1.1603064;0.3875425
01.11.91;3.5532004;1.1447264;0.3725258
01.12.91;3.4956178;1.1333078;0.3726428
01.01.92;3.3688217;1.1103382;0.3344421
01.02.92;3.5751286;1.3164416;0.4540872
01.03.92;3.6100297;1.3109107;0.4723628
01.04.92;3.641295;1.3165834;0.4784324
01.05.92;3.6711864;1.286606;0.4366702
01.06.92;3.5871738;1.2487062;0.4372743
01.07.92;3.4468602;1.204761;0.4097369
01.08.92;3.3154797;1.1717759;0.3896315
01.09.92;3.2081161;1.1526615;0.3853355
01.10.92;3.0892278;1.1301904;0.360802
01.11.92;3.3433578;1.4375489;0.5400828
01.12.92;3.4364061;1.4423493;0.5465536
01.01.93;3.3294652;1.3632307;0.5033691
01.02.93;3.1872819;1.2949589;0.464536
01.03.93;3.0120671;1.2341053;0.4469842
01.04.93;3.0608057;1.2436588;0.4416245
01.05.93;3.0064162;1.2146697;0.4218108
01.06.93;2.9998339;1.2340816;0.426444
01.07.93;2.946292;1.199791;0.402573
01.08.93;2.9933546;1.2273243;0.4274508
01.09.93;2.8470506;1.1880888;0.4053732
01.10.93;2.8473516;1.171702;0.3907468
01.11.93;2.9136774;1.2172098;0.4267773
01.12.93;2.9813298;1.2413972;0.4409927
01.01.94;3.0223498;1.255398;0.4478011
01.02.94;2.9679993;1.2149225;0.3987562
01.03.94;3.2001088;1.3349257;0.496656
01.04.94;3.4756939;1.5290367;0.5883688
01.05.94;3.4511028;1.4826293;0.5696544
01.06.94;3.4930951;1.4406124;0.5457114
01.07.94;3.6032277;1.4373035;0.533456
01.08.94;3.4472497;1.3657941;0.5028638
01.09.94;3.4803927;1.3559275;0.5021788
01.10.94;3.669374;1.4293506;0.547579
01.11.94;3.7800547;1.4304565;0.5364845
01.12.94;3.8150244;1.4121225;0.5467659
01.01.95;3.86664;1.4047222;0.5298207
01.02.95;3.7690674;1.3411806;0.4922886
01.03.95;3.5760654;1.274066;0.4610747
01.04.95;3.5231408;1.2467378;0.4494254
01.05.95;3.3296496;1.1928045;0.3546792
01.06.95;3.015143;1.1732997;0.3589949
01.07.95;3.0816679;1.1978512;0.3907152
01.08.95;3.1708179;1.2633617;0.4394443
01.09.95;3.1177132;1.233461;0.4228728
01.10.95;3.0711001;1.2301618;0.4352902
01.11.95;3.0207028;1.2002966;0.4009967
01.12.95;2.8370533;1.1722757;0.4044711
01.01.96;2.8814735;1.1463834;0.3546206
01.02.96;2.8671836;1.1463859;0.3568036
01.03.96;2.9629321;1.2123163;0.4407888
01.04.96;3.1097521;1.2850024;0.4622078
01.05.96;3.2719934;1.3264712;0.457054
01.06.96;3.3646355;1.3579119;0.4863573
01.07.96;3.2589758;1.3175889;0.4789493
01.08.96;3.2637507;1.2953274;0.4605929
01.09.96;3.3520617;1.3245966;0.4908139
01.10.96;3.2741396;1.273487;0.4580568
01.11.96;3.1953407;1.2299947;0.4274061
01.12.96;3.040501;1.1974524;0.4232505
01.01.97;3.2421093;1.3013279;0.4703688
01.02.97;3.2370082;1.2808118;0.4594129
01.03.97;3.2576053;1.2956654;0.4582251
01.04.97;3.3733109;1.3511825;0.4931562
01.05.97;3.3054865;1.3124939;0.4721599
01.06.97;3.2962754;1.2487939;0.3442836
01.07.97;3.1968296;1.2346052;0.3780074
01.08.97;3.1381246;1.2095454;0.3847096
01.09.97;3.1400638;1.2280311;0.4183686
01.10.97;3.1142757;1.2007877;0.3951615
01.11.97;3.0902691;1.1941008;0.3997875
01.12.97;2.9939903;1.1899752;0.4014545
01.01.98;2.9523563;1.1730054;0.3957871
01.02.98;2.9135125;1.1648698;0.3874602
01.03.98;2.9446482;1.2084732;0.4175886
01.04.98;2.9271605;1.2065972;0.421301
01.05.98;2.9741111;1.2064414;0.4083568
01.06.98;2.9159772;1.1987847;0.4221392
01.07.98;2.9275565;1.1852977;0.4083063
01.08.98;2.9154367;1.1941355;0.4198985
01.09.98;2.7392548;1.1636277;0.403769
01.10.98;2.407417;1.1821559;0.36492569
01.11.98;2.5441109;1.2734585;0.4350848
