,Mkt-RF,SMB,HML,RMW,CMA,RF
199007    ,4.37    ,0.40   ,-1.16   ,-0.02    ,1.19    ,0.68
199008  ,-10.86   ,-0.18   ,-0.30   ,-0.68    ,1.74    ,0.66
199009  ,-12.34    ,1.87    ,1.10   ,-0.29    ,1.77    ,0.60
199010    ,6.59   ,-2.61   ,-1.31    ,1.00   ,-0.80    ,0.68
199011   ,-0.40   ,-2.52    ,0.57   ,-0.24   ,-0.46    ,0.57
199012   ,-1.55    ,0.61    ,0.79    ,0.77    ,0.28    ,0.60
199101    ,1.60   ,-4.46   ,-0.26    ,0.60   ,-0.37    ,0.52
199102    ,7.30    ,1.05    ,0.85    ,1.07   ,-2.20    ,0.48
199103   ,-6.78    ,2.68   ,-0.56    ,2.03   ,-1.46    ,0.44
199104   ,-0.74   ,-0.36   ,-0.92    ,1.02    ,1.22    ,0.53
199105    ,0.66   ,-3.23    ,0.47    ,1.26    ,2.10    ,0.47
199106   ,-7.44    ,0.80   ,-0.34    ,0.70    ,0.86    ,0.42
199107    ,5.45   ,-3.23   ,-0.44    ,2.97   ,-0.29    ,0.49
199108    ,1.40   ,-0.62   ,-0.32    ,2.81    ,0.04    ,0.46
199109    ,2.96    ,2.10   ,-0.61    ,2.25   ,-0.99    ,0.46
199110   ,-2.75   ,-0.79   ,-0.61    ,1.79    ,0.17    ,0.42
199111   ,-2.28    ,0.32   ,-1.71    ,0.31   ,-0.52    ,0.39
199112    ,6.23   ,-3.71   ,-1.78    ,1.14   ,-0.78    ,0.38
199201   ,-0.37   ,-0.59    ,1.03    ,0.74    ,0.30    ,0.34
199202   ,-0.13   ,-0.97    ,0.12    ,1.29   ,-0.23    ,0.28
199203   ,-3.61    ,0.01    ,0.35    ,0.63    ,0.75    ,0.34
199204    ,5.13   ,-0.92   ,-0.80    ,2.77    ,1.76    ,0.32
199205    ,5.15    ,0.38    ,0.77    ,0.80    ,0.79    ,0.28
199206   ,-1.22   ,-0.17   ,-0.17   ,-0.38    ,0.32    ,0.32
199207   ,-4.12   ,-1.69   ,-0.99    ,2.92   ,-0.47    ,0.31
199208   ,-0.61   ,-1.78   ,-0.41    ,1.15   ,-1.51    ,0.26
199209   ,-2.93   ,-3.70   ,-2.09    ,1.37    ,0.72    ,0.26
199210   ,-7.62   ,-2.27    ,1.12   ,-3.02   ,-1.27    ,0.23
199211   ,-0.47   ,-2.58   ,-0.32    ,0.02    ,1.06    ,0.23
199212    ,1.13    ,0.35   ,-1.68    ,2.12    ,0.64    ,0.28
199301    ,0.90    ,3.16    ,3.34   ,-1.45    ,1.07    ,0.23
199302    ,1.26   ,-1.01    ,1.59   ,-0.76    ,0.30    ,0.22
199303    ,5.58    ,1.37    ,0.74   ,-0.04    ,2.58    ,0.25
199304    ,1.93    ,3.64    ,2.18   ,-1.99    ,1.07    ,0.24
199305    ,0.88    ,0.45    ,1.47   ,-0.76    ,0.90    ,0.22
199306   ,-3.15   ,-1.62    ,1.64   ,-0.69    ,1.93    ,0.25
199307    ,1.03   ,-0.96    ,2.81   ,-1.07    ,1.23    ,0.24
199308    ,8.64    ,0.86    ,2.18    ,0.54   ,-0.31    ,0.25
199309   ,-0.69    ,1.31    ,0.30    ,0.68    ,0.39    ,0.26
199310    ,2.44   ,-1.98    ,0.84    ,0.43   ,-0.21    ,0.22
199311   ,-2.26    ,1.00   ,-1.94    ,0.56    ,0.76    ,0.25
199312    ,6.97   ,-2.42    ,3.18   ,-0.15    ,0.53    ,0.23
199401    ,6.03    ,5.46    ,4.30   ,-2.63    ,2.71    ,0.25
199402   ,-3.44    ,3.91    ,1.03    ,0.44    ,1.30    ,0.21
199403   ,-2.55    ,0.73    ,1.45    ,1.07   ,-0.26    ,0.27
199404    ,3.75   ,-0.52    ,1.10   ,-0.62    ,0.77    ,0.27
199405   ,-4.01    ,1.88    ,0.36   ,-0.49    ,0.53    ,0.31
199406   ,-1.15   ,-0.11   ,-1.01    ,0.40    ,0.35    ,0.31
199407    ,4.65   ,-3.04    ,1.18    ,0.94    ,0.50    ,0.28
199408    ,1.96   ,-0.59   ,-2.61    ,2.95   ,-0.57    ,0.37
199409   ,-3.60    ,2.61    ,0.24   ,-0.09   ,-0.12    ,0.37
199410    ,3.64   ,-3.03   ,-0.54    ,1.77   ,-0.20    ,0.38
199411   ,-4.51   ,-0.30    ,0.35   ,-1.16   ,-0.37    ,0.37
199412    ,0.08    ,0.24   ,-0.63    ,0.37   ,-0.37    ,0.44
199501   ,-1.49    ,1.51    ,1.03    ,0.10    ,0.20    ,0.42
199502    ,1.98   ,-0.87   ,-0.98    ,1.29   ,-0.74    ,0.40
199503    ,3.44   ,-1.62   ,-2.21    ,3.34   ,-0.24    ,0.46
199504    ,2.56   ,-1.67    ,0.61    ,0.16   ,-1.10    ,0.44
199505    ,1.74   ,-0.20    ,0.64   ,-0.16   ,-0.91    ,0.54
