This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,1.76
199012    ,0.54
199101   ,-1.92
199102   ,-7.76
199103   ,-0.76
199104    ,1.39
199105   ,-0.95
199106    ,0.43
199107    ,5.91
199108    ,1.73
199109    ,4.26
199110    ,3.08
199111    ,0.36
199112    ,1.54
199201    ,0.63
199202    ,1.89
199203    ,0.46
199204    ,2.01
199205    ,1.21
199206    ,3.62
199207    ,2.11
199208    ,3.88
199209    ,4.52
199210   ,-3.37
199211   ,-0.27
199212    ,1.48
199301   ,-1.08
199302   ,-1.14
199303    ,2.93
199304   ,-2.11
199305    ,1.11
199306    ,1.67
199307    ,0.27
199308   ,-1.26
199309    ,1.84
199310    ,1.78
199311   ,-0.58
199312    ,0.94
199401    ,2.27
199402   ,-1.09
199403   ,-2.14
199404    ,0.20
199405   ,-0.28
199406   ,-1.02
199407    ,0.39
199408   ,-0.48
199409    ,1.37
199410    ,0.26
199411   ,-1.05
199412    ,0.85
199501    ,2.21
199502    ,1.62
199503    ,0.01
199504    ,0.00
199505   ,-0.56
199506    ,3.73
199507    ,1.06
199508    ,2.20
199509    ,5.74
199510    ,4.26
199511    ,2.44
199512   ,-0.10
199601   ,-0.82
199602    ,1.78
199603    ,2.69
199604    ,1.05
199605    ,2.08
199606    ,1.40
199607   ,-1.93
199608    ,2.71
199609    ,2.43
199610    ,3.43
199611    ,1.44
199612    ,1.60
199701    ,0.55
199702    ,0.27
199703   ,-0.93
199704    ,2.05
199705    ,2.16
199706    ,1.02
199707    ,2.38
199708   ,-2.08
199709    ,4.04
199710   ,-0.71
199711   ,-0.62
199712    ,2.85
199801    ,3.91
199802    ,1.46
199803    ,2.21
199804   ,-1.50
199805    ,0.75
199806    ,2.25
199807    ,6.27
199808   ,-2.01
199809   ,-5.19
199810    ,0.46
199811    ,3.39
199812    ,4.68
199901    ,6.18
199902   ,-1.76
199903   ,-7.71
199904   ,-7.47
199905    ,3.50
199906    ,0.99
199907    ,4.09
199908    ,4.73
199909    ,1.71
199910    ,5.45
199911   ,12.88
199912    ,6.49
200001    ,5.81
200002    ,8.50
200003  ,-11.38
200004   ,-9.01
200005   ,-6.77
200006   ,-0.62
200007   ,-1.20
200008    ,3.25
200009   ,-3.89
200010   ,-4.82
200011   ,-5.19
200012    ,0.83
200101   ,-6.41
200102    ,7.55
200103    ,3.93
200104   ,-4.22
200105    ,6.73
200106    ,9.49
200107    ,1.42
200108    ,8.07
200109    ,9.89
200110   ,-6.63
200111   ,-9.68
200112    ,2.74
200201    ,5.91
200202    ,5.90
200203   ,-2.56
200204    ,6.11
200205    ,4.84
200206    ,8.11
200207    ,4.63
200208    ,2.26
200209   ,13.80
200210   ,-6.03
200211   ,-8.82
200212   ,11.67
200301    ,2.38
200302    ,6.42
200303    ,2.07
200304  ,-13.91
200305   ,-2.30
200306   ,-4.35
200307   ,-4.57
200308   ,-2.35
200309    ,1.17
200310    ,5.59
200311   ,-0.10
200312   ,-0.57
200401    ,3.67
200402    ,0.51
200403   ,-2.33
200404   ,-1.78
200405   ,-0.40
200406    ,2.04
200407    ,0.39
200408    ,1.31
200409    ,2.44
200410    ,0.04
200411    ,0.78
200412    ,0.92
200501    ,0.98
200502    ,1.57
200503    ,0.30
200504    ,0.86
200505    ,1.57
200506    ,3.43
200507    ,1.20
200508    ,2.70
200509    ,3.07
200510   ,-1.77
200511    ,1.41
200512    ,1.31
200601    ,4.41
200602    ,0.76
200603    ,2.24
200604    ,3.11
200605   ,-3.07
200606   ,-1.24
200607    ,0.10
200608   ,-0.19
200609    ,1.15
200610    ,0.73
200611    ,1.77
200612    ,2.86
200701    ,0.96
200702    ,0.98
200703    ,2.02
200704    ,0.47
200705    ,1.31
200706   ,-0.39
200707    ,1.60
200708   ,-0.14
200709    ,3.73
200710    ,3.97
200711    ,1.89
200712    ,2.24
200801    ,0.60
200802    ,1.75
200803    ,0.20
200804    ,0.27
200805    ,4.60
200806    ,9.66
200807   ,-2.13
200808   ,-4.92
200809    ,3.83
200810    ,9.87
200811    ,2.71
200812   ,-0.85
200901    ,3.41
200902    ,4.50
200903  ,-10.03
200904  ,-25.96
200905   ,-7.72
200906    ,2.50
200907   ,-1.75
200908   ,-9.33
200909   ,-3.06
200910    ,3.66
200911    ,2.00
200912    ,0.43
201001    ,0.54
201002    ,0.33
201003    ,5.05
201004    ,2.06
201005    ,1.30
201006    ,1.67
201007   ,-1.68
201008    ,3.51
201009    ,5.04
201010    ,0.04
201011    ,7.82
201012    ,1.48
201101   ,-5.56
201102   ,-0.18
201103    ,2.00
201104    ,2.44
201105    ,0.55
201106    ,2.31
201107    ,0.86
201108   ,-0.49
201109   ,-1.44
201110    ,0.18
201111    ,6.06
201112    ,2.85
201201   ,-8.61
201202   ,-1.81
201203    ,3.50
201204    ,6.62
201205    ,7.37
201206   ,-3.94
201207    ,4.47
201208   ,-3.52
201209   ,-0.98
201210    ,0.50
201211    ,2.11
201212   ,-0.99
201301   ,-0.60
201302    ,4.30
201303    ,2.61
201304    ,0.86
201305    ,0.75
201306    ,1.13
201307    ,3.53
201308   ,-2.18
201309    ,2.44
201310    ,2.02
201311    ,2.61
201312    ,1.64
201401    ,2.60
201402    ,2.50
201403   ,-1.07
201404   ,-3.40
201405   ,-0.36
201406    ,0.17
201407   ,-0.68
201408    ,0.33
201409    ,2.53
201410    ,0.92
201411   ,-0.69
201412    ,2.13
201501    ,3.20
201502   ,-3.75
201503    ,1.67
201504   ,-2.07
201505    ,3.83
201506    ,1.07
201507    ,3.53
201508    ,2.16
201509    ,4.32
201510   ,-1.60
201511    ,2.74
201512    ,3.88
201601    ,1.04
201602   ,-0.83
201603   ,-1.66



 Annual Factors: January-December
,WML
1991    ,8.12
