This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011   ,-0.32
199012   ,-3.00
199101   ,-1.72
199102   ,-7.88
199103    ,1.78
199104   ,-0.13
199105    ,0.92
199106    ,1.27
199107    ,3.70
199108    ,3.27
199109    ,1.15
199110    ,2.16
199111    ,1.24
199112    ,2.98
199201    ,0.32
199202    ,1.37
199203    ,1.16
199204    ,0.35
199205   ,-0.28
199206    ,3.09
199207    ,0.94
199208   ,-3.63
199209    ,2.65
199210    ,1.79
199211    ,0.73
199212    ,1.39
199301    ,2.61
199302    ,0.65
199303    ,0.06
199304   ,-1.11
199305    ,0.40
199306    ,2.71
199307    ,2.23
199308    ,0.39
199309    ,0.40
199310   ,-0.19
199311   ,-4.68
199312    ,1.78
199401    ,1.57
199402    ,0.68
199403   ,-1.58
199404   ,-0.58
199405   ,-0.80
199406   ,-0.21
199407   ,-0.63
199408    ,0.53
199409    ,1.19
199410    ,1.17
199411   ,-0.60
199412    ,1.58
199501   ,-1.18
199502    ,0.51
199503   ,-0.49
199504    ,1.05
199505    ,0.81
199506    ,2.88
199507    ,0.64
199508   ,-0.18
199509    ,3.17
199510    ,2.39
199511    ,0.38
199512   ,-1.08
199601   ,-0.42
199602    ,0.78
199603    ,0.20
199604    ,0.04
199605    ,1.54
199606    ,0.09
199607   ,-2.47
199608    ,1.69
199609    ,1.86
199610    ,2.41
199611   ,-0.10
199612    ,0.64
199701    ,2.63
199702   ,-1.23
199703    ,0.93
199704    ,4.15
199705   ,-2.19
199706    ,0.90
199707    ,6.37
199708   ,-0.19
199709    ,5.65
199710   ,-1.37
199711    ,2.57
199712    ,5.15
199801   ,-2.88
199802   ,-1.70
199803    ,2.31
199804    ,0.83
199805    ,1.16
199806    ,4.66
199807    ,3.77
199808    ,0.25
199809   ,-0.42
199810   ,-3.41
199811    ,0.60
199812    ,7.39
199901    ,4.72
199902   ,-0.98
199903   ,-2.38
199904   ,-6.96
199905   ,-0.79
199906    ,5.83
199907    ,1.89
199908    ,4.27
199909    ,4.67
199910    ,4.87
199911   ,11.24
199912   ,12.10
200001    ,2.77
200002   ,17.87
200003  ,-11.80
200004  ,-10.58
200005  ,-10.91
200006    ,6.74
200007   ,-2.93
200008    ,6.15
200009   ,-3.64
200010   ,-6.54
200011   ,-7.08
200012    ,3.26
200101  ,-13.51
200102    ,8.48
200103    ,5.39
200104   ,-4.99
200105    ,3.51
200106    ,4.44
200107    ,3.81
200108    ,6.61
200109    ,9.22
200110   ,-5.81
200111   ,-8.89
200112    ,1.44
200201    ,3.40
200202    ,5.05
200203   ,-2.11
200204    ,5.80
200205    ,2.45
200206    ,6.46
200207    ,3.14
200208    ,2.11
200209    ,8.81
200210   ,-4.29
200211  ,-10.40
200212    ,9.32
200301    ,1.57
200302    ,3.23
200303    ,1.59
200304   ,-8.01
200305   ,-5.39
200306   ,-2.78
200307   ,-2.33
200308   ,-0.97
200309   ,-0.03
200310    ,4.56
200311    ,0.15
200312   ,-1.95
200401    ,2.70
200402   ,-0.27
200403    ,0.57
200404   ,-3.07
200405   ,-0.13
200406    ,2.08
200407   ,-1.76
200408    ,0.37
200409    ,2.65
200410   ,-0.29
200411    ,1.80
200412   ,-0.62
200501    ,2.52
200502    ,2.53
200503    ,0.99
200504    ,0.28
200505    ,0.32
200506    ,2.63
200507    ,1.02
200508    ,3.13
200509    ,3.36
200510   ,-1.24
200511    ,0.85
200512    ,2.58
200601    ,3.89
200602   ,-1.77
200603    ,2.17
200604    ,1.54
200605   ,-3.16
200606   ,-0.19
200607   ,-0.45
200608   ,-1.31
200609   ,-0.42
200610    ,0.60
200611    ,0.40
200612    ,1.35
200701    ,0.66
200702   ,-0.11
200703    ,1.66
200704    ,0.88
200705    ,0.72
200706    ,0.38
200707    ,2.43
200708   ,-0.97
200709    ,4.85
200710    ,3.76
200711   ,-0.21
200712    ,2.76
200801   ,-4.61
200802    ,5.01
200803    ,0.47
200804   ,-0.29
200805    ,2.80
200806    ,9.22
200807   ,-4.39
200808   ,-3.66
200809   ,-0.06
200810    ,7.50
200811    ,4.50
200812   ,-2.27
200901    ,0.13
200902    ,2.40
200903   ,-8.82
200904  ,-23.89
200905  ,-10.27
200906    ,2.70
200907   ,-2.74
200908   ,-6.39
200909   ,-2.25
200910    ,1.81
200911    ,0.84
200912    ,2.04
201001   ,-2.23
201002    ,1.59
201003    ,4.26
201004    ,1.60
201005   ,-0.56
201006   ,-1.14
201007    ,0.20
201008    ,2.06
201009    ,1.97
201010    ,0.54
201011    ,4.50
201012   ,-0.72
201101   ,-1.74
201102    ,1.32
201103    ,1.46
201104    ,1.33
201105    ,0.27
201106    ,1.48
201107    ,1.92
201108   ,-0.95
201109   ,-2.64
201110   ,-1.07
201111    ,4.10
201112    ,1.91
201201   ,-6.54
201202   ,-1.71
201203    ,2.43
201204    ,4.14
201205    ,6.11
201206   ,-0.99
201207    ,3.69
201208   ,-1.51
201209   ,-1.20
201210    ,0.07
201211    ,1.29
201212   ,-1.80
201301   ,-0.06
201302    ,3.00
201303    ,3.34
201304    ,2.83
201305    ,1.10
201306    ,1.17
201307    ,1.62
201308   ,-1.31
201309    ,3.36
201310    ,0.42
201311    ,2.24
201312    ,1.13
201401    ,1.28
201402    ,1.58
201403   ,-2.31
201404   ,-3.55
201405    ,0.45
201406    ,0.16
201407    ,0.50
201408    ,0.39
201409    ,1.07
201410   ,-0.46
201411    ,0.65
201412    ,1.06
201501    ,4.50
201502   ,-1.93
201503    ,2.07
201504   ,-3.31
201505    ,4.24
201506    ,1.83
201507    ,3.43
201508   ,-0.53
201509    ,3.47
201510   ,-2.62
201511    ,2.11
201512    ,3.28
201601    ,0.51
201602   ,-2.92
201603   ,-2.71



 Annual Factors: January-December
,WML
1991   ,11.61
1992    ,9.72
1993    ,6.01
1994    ,2.27
1995   ,10.31
1996    ,6.66
1997   ,23.91
1998   ,14.67
1999   ,51.60
2000  ,-17.12
2001   ,12.80
2002   ,27.98
2003  ,-13.78
2004    ,4.38
2005   ,21.42
2006    ,2.46
2007   ,17.44
2008    ,9.35
2009  ,-55.73
2010   ,13.93
2011    ,6.30
2012    ,6.35
2013   ,23.68
2014    ,0.79
2015   ,17.10
