This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199007   ,-1.50   ,-2.37   ,-1.02    ,0.68
199008   ,-9.59   ,-2.39    ,0.24    ,0.66
199009   ,-6.01   ,-2.69   ,-0.43    ,0.60
199010   ,-2.01   ,-4.91   ,-1.45    ,0.68
199011    ,5.86   ,-0.45   ,-0.75    ,0.57
199012    ,2.51    ,0.65   ,-0.19    ,0.60
199101    ,4.21    ,2.04    ,0.69    ,0.52
199102    ,7.22    ,3.39   ,-0.25    ,0.48
199103    ,2.36    ,3.89   ,-2.00    ,0.44
199104   ,-0.19    ,0.40    ,0.80    ,0.53
199105    ,3.69   ,-0.56    ,0.85    ,0.47
199106   ,-4.69    ,0.71    ,0.84    ,0.42
199107    ,3.93   ,-0.91   ,-2.79    ,0.49
199108    ,2.16    ,1.14   ,-1.60    ,0.46
199109   ,-1.75    ,1.82   ,-0.76    ,0.46
199110    ,1.42    ,1.50   ,-0.73    ,0.42
199111   ,-4.15   ,-0.27   ,-2.21    ,0.39
199112    ,9.92   ,-2.79   ,-5.16    ,0.38
199201   ,-0.68    ,7.47    ,4.25    ,0.34
199202    ,1.00    ,0.59    ,5.17    ,0.28
199203   ,-2.64   ,-1.24    ,3.28    ,0.34
199204    ,1.21   ,-5.38    ,2.97    ,0.32
199205    ,0.37    ,0.09    ,0.44    ,0.28
199206   ,-2.13   ,-1.88    ,1.88    ,0.32
199207    ,3.68   ,-0.26   ,-1.41    ,0.31
199208   ,-2.30   ,-0.18   ,-0.77    ,0.26
199209    ,0.71    ,0.69   ,-0.79    ,0.26
199210    ,0.87    ,2.13   ,-3.07    ,0.23
199211    ,3.47    ,3.47   ,-2.83    ,0.23
199212    ,1.52    ,2.04    ,1.56    ,0.28
199301    ,0.76    ,2.08    ,5.03    ,0.23
199302    ,0.48   ,-3.43    ,6.80    ,0.22
199303    ,2.33    ,0.64    ,1.90    ,0.25
199304   ,-2.52   ,-0.17    ,2.91    ,0.24
199305    ,2.80    ,1.91   ,-2.99    ,0.22
199306    ,0.19    ,0.54    ,2.31    ,0.25
199307   ,-0.36    ,1.29    ,2.24    ,0.24
199308    ,3.53    ,0.46    ,0.11    ,0.25
199309   ,-0.44    ,2.87    ,0.24    ,0.26
199310    ,1.74    ,1.93   ,-2.62    ,0.22
199311   ,-1.77   ,-1.30   ,-0.70    ,0.25
199312    ,1.72    ,1.00    ,0.89    ,0.23
199401    ,2.90    ,0.11    ,1.98    ,0.25
199402   ,-2.57    ,2.09   ,-0.75    ,0.21
199403   ,-4.68   ,-0.61    ,1.41    ,0.27
199404    ,0.66   ,-1.17    ,1.67    ,0.27
199405    ,0.72   ,-2.16    ,0.76    ,0.31
199406   ,-3.12   ,-0.63    ,1.36    ,0.31
199407    ,2.76   ,-1.57    ,0.33    ,0.28
199408    ,4.01    ,0.67   ,-2.48    ,0.37
199409   ,-2.06    ,2.96   ,-1.35    ,0.37
199410    ,1.14   ,-1.64   ,-1.47    ,0.38
199411   ,-4.04   ,-0.12   ,-1.24    ,0.37
199412    ,0.89   ,-0.08   ,-0.35    ,0.44
199501    ,1.38   ,-2.40    ,1.52    ,0.42
