This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011   ,-2.56
199012   ,-1.30
199101   ,-2.14
199102   ,-2.65
199103    ,2.99
199104   ,-1.17
199105    ,0.29
199106   ,-0.18
199107    ,4.54
199108    ,2.63
199109    ,2.14
199110    ,1.92
199111    ,0.62
199112    ,7.94
199201   ,-0.87
199202   ,-0.26
199203    ,0.06
199204   ,-2.56
199205    ,0.39
199206   ,-0.54
199207    ,1.42
199208   ,-1.03
199209    ,2.36
199210    ,2.47
199211    ,1.94
199212    ,3.17
199301    ,5.12
199302    ,2.07
199303    ,3.77
199304   ,-0.20
199305    ,1.20
199306    ,4.88
199307    ,2.56
199308    ,2.32
199309    ,2.86
199310   ,-1.36
199311   ,-4.37
199312    ,2.27
199401    ,1.14
199402   ,-0.62
199403   ,-1.42
199404   ,-0.52
199405   ,-2.29
199406   ,-1.18
199407   ,-0.36
199408    ,1.40
199409    ,1.37
199410    ,0.92
199411   ,-0.48
199412    ,2.92
199501   ,-1.17
199502   ,-0.65
199503    ,0.22
199504    ,1.79
199505   ,-0.18
199506    ,3.78
199507    ,3.17
199508    ,0.16
199509    ,2.05
199510    ,2.91
199511   ,-0.50
199512    ,0.98
199601    ,0.91
199602    ,1.68
199603   ,-1.54
199604    ,0.16
199605    ,2.04
199606   ,-0.90
199607   ,-1.39
199608    ,0.81
199609    ,2.36
199610    ,2.45
199611   ,-2.03
199612    ,0.01
199701    ,2.54
199702   ,-3.07
199703    ,0.74
199704    ,4.60
199705   ,-3.82
199706    ,2.62
199707    ,3.78
199708   ,-1.65
199709    ,2.43
199710    ,0.04
199711    ,0.56
199712    ,2.61
199801   ,-0.12
199802   ,-0.25
199803    ,1.47
199804    ,0.72
199805    ,1.79
199806    ,7.42
199807    ,3.31
199808    ,0.52
199809   ,-0.25
199810   ,-3.62
199811    ,1.62
199812    ,9.91
199901    ,5.17
199902   ,-1.37
199903    ,1.80
199904   ,-8.07
199905   ,-1.96
199906    ,6.63
199907    ,1.77
199908    ,2.61
199909    ,6.36
199910    ,3.29
199911    ,9.44
199912   ,18.71
200001    ,3.17
200002   ,29.48
200003  ,-11.84
200004  ,-12.20
200005  ,-11.89
200006   ,16.98
200007   ,-4.37
200008    ,8.33
200009   ,-4.42
200010   ,-7.48
200011  ,-11.45
200012    ,4.42
200101  ,-21.92
200102   ,10.76
200103    ,7.97
200104   ,-8.81
200105    ,2.23
200106    ,0.29
200107    ,5.68
200108    ,5.85
200109   ,11.24
200110   ,-7.48
200111   ,-8.79
200112    ,0.01
200201    ,3.91
200202    ,6.04
200203   ,-1.21
200204    ,7.49
200205    ,3.48
200206    ,6.09
200207    ,3.05
200208    ,2.26
200209    ,9.28
200210   ,-5.59
200211  ,-15.37
200212    ,9.53
200301    ,1.71
200302    ,1.98
200303    ,0.81
200304   ,-8.72
200305   ,-6.65
200306   ,-0.72
200307   ,-0.59
200308    ,0.38
200309   ,-0.13
200310    ,4.58
200311    ,1.70
200312   ,-4.78
200401    ,2.33
200402   ,-0.64
200403    ,0.13
200404   ,-5.17
200405    ,1.98
200406    ,2.10
200407   ,-2.08
200408   ,-1.39
200409    ,5.18
200410   ,-0.81
200411    ,3.40
200412   ,-2.40
200501    ,3.27
200502    ,4.00
200503    ,1.04
200504   ,-0.94
200505    ,0.20
200506    ,2.81
200507    ,0.80
200508    ,3.60
200509    ,3.84
200510   ,-2.76
200511    ,0.74
200512    ,1.72
200601    ,4.86
200602   ,-2.79
200603    ,1.87
200604    ,1.34
200605   ,-2.85
200606    ,0.29
200607   ,-1.34
200608   ,-3.21
200609   ,-1.82
200610   ,-0.06
200611   ,-0.57
200612    ,0.52
200701    ,0.68
200702   ,-0.90
200703    ,2.11
200704    ,0.38
200705   ,-0.21
200706    ,0.64
200707    ,2.65
200708   ,-0.15
200709    ,5.16
200710    ,5.38
200711   ,-0.60
200712    ,5.22
200801   ,-8.36
200802    ,6.94
200803    ,0.74
200804    ,1.44
200805    ,3.24
200806   ,11.30
200807   ,-7.47
200808   ,-5.11
200809   ,-2.82
200810    ,5.78
200811    ,5.66
200812   ,-3.48
200901   ,-2.14
200902    ,2.72
200903   ,-8.18
200904  ,-24.83
200905  ,-11.06
200906    ,4.59
200907   ,-4.46
200908   ,-6.63
200909   ,-4.06
200910    ,0.72
200911    ,1.73
200912    ,2.46
201001   ,-4.21
201002    ,3.29
201003    ,4.02
201004    ,1.97
201005   ,-0.72
201006   ,-2.50
201007    ,1.53
201008    ,1.04
201009    ,1.22
