Year;Quarter;TightStand.lm;TightStand.s;IncSpreads.lm;IncSpreads.s;StroDem.lm;StroDem.s
1990;Q2;56.9;52.6;12;7.2;NA;NA
1990;Q3;39.5;33.9;25.9;17.2;NA;NA
1990;Q4;48.9;40.7;51.8;33.9;NA;NA
1991;Q1;36;31.6;59;37.5;NA;NA
1991;Q2;15.5;6.9;45.5;25.4;NA;NA
1991;Q3;12.3;8.7;31.3;14;NA;NA
1991;Q4;9;5.2;31.5;12;-29.7;-25.4
1992;Q1;5.3;0;11.4;11.9;-26.5;-11.6
1992;Q2;0.9;-7.3;11.7;7.1;6.3;25
1992;Q3;-1.7;-1.7;0;5.2;-8.6;6.9
1992;Q4;4.4;-5.4;-3.6;-7.1;6.2;-1.8
1993;Q1;2.7;-1.8;-0.9;0;20.2;32.2
1993;Q2;-7.9;-1.8;-23.7;-10.7;-0.1;12.3
1993;Q3;-19.5;-11.7;-39.4;-16.9;18.1;13.8
1993;Q4;-17.8;-8.5;-55.9;-31;9.3;17.2
1994;Q1;-13;-12.3;-46.6;-19.3;26.1;26.3
1994;Q2;-12.2;-8.9;-58.3;-26.8;38.1;38.1
1994;Q3;-7;-7;-52.2;-21.1;31.3;19.3
1994;Q4;-17.4;-17.5;-46.1;-24.5;31.4;31.6
1995;Q1;-6.9;-5.3;-44.5;-28.1;35.1;18.2
1995;Q2;-5.9;-6.9;-52.1;-29.3;28.6;17.2
1995;Q3;-6.1;-1.8;-45.7;-19.3;4.4;25
1995;Q4;-3.5;-1.8;-33.7;-12.2;3.5;7.2
1996;Q1;7;3.5;-30.7;-7;-3.5;14
1996;Q2;-0.9;1.8;-36.1;-17.4;10.2;24
1996;Q3;-3.7;-1.9;-28.8;-5.6;12.1;17.7
1996;Q4;-7.8;-12.2;-34.6;-27.2;0.9;3.6
1997;Q1;-5.5;-5.3;-33.3;-11.1;4.7;14.7
1997;Q2;-7;-3.5;-32.5;-12.3;5.4;10.7
1997;Q3;-5.7;-1.9;-38.5;-25.5;13.4;19.6
1997;Q4;-7;-3.5;-40.4;-40.4;19.3;19.3
1998;Q1;1.8;1.9;-25.4;-24.1;25.9;15.4
1998;Q2;-7.1;-1.8;-34;-25;28.5;21.8
1998;Q3;0;-5.2;-14.3;-30.4;-8.9;0
1998;Q4;36.4;14.8;47.3;18.9;27.7;7.7
1999;Q1;7.4;3.7;31.4;5.7;20.4;11.4
1999;Q2;10;8.3;7.1;1.8;0;10.1
1999;Q3;5.4;1.9;21.5;5.5;0;0.1
1999;Q4;9.1;1.9;23.6;-1.9;-1.8;-3.8
2000;Q1;10.9;9.4;25;10;9.1;-1.9
2000;Q2;24.6;21.4;35.2;16;-8.8;5.3
2000;Q3;33.9;23.6;35.8;25.4;-5.3;-3.6
2000;Q4;43.8;27.3;54.4;26.9;-22.8;-12.8
2001;Q1;59.7;45.4;57.1;28.9;-50;-29.7
2001;Q2;50.9;36.4;44.4;22.3;-40;-34.5
2001;Q3;40.4;31.6;50.8;38.2;-52.7;-42.1
2001;Q4;50.9;40.4;58.9;41.8;-70.2;-50
2002;Q1;45.4;41.8;40;36.4;-54.5;-45.4
2002;Q2;25;14.5;23.7;13.2;-35.7;-29
2002;Q3;21.4;5.5;41.1;20;-44.6;-36.4
2002;Q4;20;18.2;29.1;14.8;-52.7;-48.2
2003;Q1;22;13.8;27.1;15.5;-32.2;-20.6
2003;Q2;8.9;12.7;14.6;11.1;-39.3;-21.8
2003;Q3;3.5;3.5;-12.3;-3.6;-22.5;-12.3
2003;Q4;0;-1.8;-13.8;-10.5;-11.6;-3.9
2004;Q1;-17.9;-10.9;-26.8;-16.7;10.7;21.8
2004;Q2;-22.8;-19.3;-38.6;-25.5;28.1;37.5
2004;Q3;-20;-3.7;-30.8;-29.1;31.4;38.9
2004;Q4;-21.1;-18.2;-50;-38.2;26.3;25.5
2005;Q1;-23.6;-12.9;-45.5;-26;45.5;29.6
2005;Q2;-24.1;-24.1;-70.4;-54.7;37;37
2005;Q3;-16.7;-11.1;-46.3;-37.7;40.8;35.2
2005;Q4;-8.8;-5.3;-45.6;-36.8;14.3;8.9
2006;Q1;-10.7;-7.1;-42.5;-33.4;16.1;5.3
2006;Q2;-12.3;-7;-59.7;-45.6;3.5;3.5
2006;Q3;-8.9;-1.8;-41.8;-21.5;-1.8;0
2006;Q4;0;-1.8;-29.6;-31.5;-3.7;-13
2007;Q1;0;5.3;-44.6;-29.6;-1.8;-5.3
2007;Q2;-3.7;1.9;-52.8;-37.2;-22.6;-19.2
2007;Q3;7.5;7.7;-32.1;-32.7;-19.2;-11.8
2007;Q4;19.2;9.6;34.6;21.1;-17.3;-7.7
2008;Q1;32.2;30.4;43.6;40.1;-16.4;-23.6
2008;Q2;55.4;51.8;71;63.6;0;-16.1
2008;Q3;57.6;65.3;80.8;71.1;-3.8;-15.4
2008;Q4;83.6;74.5;98.2;92.7;-16.7;-7.4
2009;Q1;64.2;69.2;92.5;88.5;-60.4;-57.7
2009;Q2;39.6;42.3;79.2;75;-60.4;-63.5
2009;Q3;31.5;34;59.3;64.2;-44.4;-54.7
2009;Q4;14;16.1;40.4;42.9;-31.6;-35.7
2010;Q1;-5.5;3.7;9.1;14.8;-25.5;-29.6
2010;Q2;-7.1;0;-7.1;9.3;-7.1;-9.3
2010;Q3;-8.8;-9.1;-49.1;-32.7;1.8;-3.6
2010;Q4;-10.5;-7.1;-33.3;-21.4;-7;-21.4
2011;Q1;-10.5;-1.9;-47.4;-29.6;28.1;5.6
2011;Q2;-16.4;-13.5;-54.5;-50;27.3;9.6
2011;Q3;-21.8;-7.8;-54.5;-42.3;20;5.8
2011;Q4;-5.9;-6.3;-41.2;-47.9;-15.7;-18.8
2012;Q1;5.4;1.9;-46.4;-43.4;19.6;15.1
2012;Q2;-6.9;-1.8;-60.3;-50.9;31;21.8
2012;Q3;-9.5;-4.9;-60.3;-45.9;7.9;0
2012;Q4;-7.6;-7.6;-53.8;-50;-6.2;4.5
2013;Q1;-7.4;-7.7;-54.4;-50.8;19.1;15.4
2013;Q2;-19.1;-23.1;-63.2;-57.8;5.9;7.7
2013;Q3;-18.1;-10;-62.5;-51.4;15.3;24.3
2013;Q4;-8.3;-7.1;-54.2;-50;1.4;0
2014;Q1;-13.7;-4.2;-58.3;-51.4;16.4;14.1
2014;Q2;-11.1;-7;-59.7;-52.1;13.9;8.5
2014;Q3;-10.7;-8.3;-58.7;-44.4;30.7;25
2014;Q4;-10.5;-8.2;-47.4;-41.7;15.8;5.5
2015;Q1;-5.5;-5.7;-35.6;-35.7;17.8;5.7
2015;Q2;-5.3;-1.4;-40;-39.4;0;4.1
2015;Q3;-7;-6;-42.9;-36.2;10;7.2
2015;Q4;7.4;1.5;-20.6;-25.8;2.9;3
2016;Q1;8.2;4.2;-16.7;-18.3;-11.1;-12.7
