Date,Value
2016-01-31,4614.0
2015-12-31,5007.0
2015-11-30,5109.0
2015-10-31,5054.0
2015-09-30,4620.0
2015-08-31,4777.0
2015-07-31,5128.0
2015-06-30,4987.0
2015-05-31,5070.0
2015-04-30,4941.0
2015-03-31,4901.0
2015-02-28,4964.0
2015-01-31,4635.0
2014-12-31,4736.0
2014-11-30,4792.0
2014-10-31,4631.0
2014-09-30,4493.0
2014-08-31,4580.0
2014-07-31,4370.0
2014-06-30,4408.0
2014-05-31,4243.0
2014-04-30,4115.0
2014-03-31,4199.0
2014-02-28,4308.0
2014-01-31,4104.0
2013-12-31,4177.0
2013-11-30,4060.0
2013-10-31,3920.0
2013-09-30,3771.0
2013-08-31,3590.0
2013-07-31,3626.0
2013-06-30,3403.0
2013-05-31,3456.0
2013-04-30,3329.0
2013-03-31,3268.0
2013-02-28,3160.0
2013-01-31,3142.0
2012-12-31,3020.0
2012-11-30,3010.0
2012-10-31,2977.0
2012-09-30,3116.0
2012-08-31,3067.0
2012-07-31,2940.0
2012-06-30,2935.0
2012-05-31,2827.0
2012-04-30,3046.0
2012-03-31,3092.0
2012-02-29,2967.0
2012-01-31,2814.0
2011-12-31,2605.0
2011-11-30,2620.0
2011-10-31,2684.0
2011-09-30,2415.0
2011-08-31,2579.0
2011-07-31,2756.0
2011-06-30,2774.0
2011-05-31,2835.0
2011-04-30,2874.0
2011-03-31,2781.0
2011-02-28,2782.0
2011-01-31,2700.0
2010-12-31,2653.0
2010-11-30,2498.0
2010-10-31,2507.0
2010-09-30,2369.0
2010-08-31,2114.0
2010-07-31,2255.0
2010-06-30,2109.0
2010-05-31,2278.0
2010-04-30,2461.0
2010-03-31,2398.0
2010-02-28,2238.0
2010-01-31,2147.0
2009-12-31,2269.0
2009-11-30,2145.0
2009-10-31,2045.0
2009-09-30,2122.0
2009-08-31,2009.0
2009-07-31,1979.0
2009-06-30,1835.0
2009-05-31,1774.0
2009-04-30,1717.0
2009-03-31,1529.0
2009-02-28,1378.0
2009-01-31,1476.0
2008-12-31,1577.0
2008-11-30,1532.0
2008-10-31,1721.0
2008-09-30,2082.0
2008-08-31,2368.0
2008-07-31,2326.0
2008-06-30,2293.0
2008-05-31,2523.0
2008-04-30,2413.0
2008-03-31,2279.0
2008-02-29,2271.0
2008-01-31,2390.0
2007-12-31,2652.0
2007-11-30,2661.0
2007-10-31,2859.0
2007-09-30,2702.0
2007-08-31,2596.0
2007-07-31,2546.0
2007-06-30,2603.0
2007-05-31,2605.0
2007-04-30,2525.0
2007-03-31,2422.0
2007-02-28,2416.0
2007-01-31,2464.0
2006-12-31,2415.0
2006-11-30,2432.0
2006-10-31,2367.0
2006-09-30,2258.0
2006-08-31,2184.0
2006-07-31,2091.0
2006-06-30,2172.0
2006-05-31,2179.0
2006-04-30,2323.0
2006-03-31,2340.0
2006-02-28,2287.0
2006-01-31,2306.0
2005-12-31,2205.0
2005-11-30,2233.0
2005-10-31,2120.0
