Date;Liq.Agg;Liq.Inno;Liq.Trade
196208;-0.017582514;0.004369717;-99
196209;-0.004085483;0.012918887;-99
196210;-0.104229891;-0.073161568;-99
196211;-0.019620252;0.029981742;-99
196212;-0.005288012;0.014404783;-99
196301;-0.055790672;0.011122411;-99
196302;0.014402543;0.027053589;-99
196303;-0.023372166;-0.019141465;-99
196304;0.054126597;0.079234762;-99
196305;0.003541092;-0.011961926;-99
196306;0.009591518;0.000741896;-99
196307;0.014324982;0.021518284;-99
196308;0.033767399;0.03973504;-99
196309;-0.007538195;0.02105525;-99
196310;0.02680561;0.033583738;-99
196311;-0.053130346;-0.058988034;-99
196312;-0.020570904;0.014605401;-99
196401;-0.071359366;-0.05382186;-99
196402;-0.0247466;0.014221107;-99
196403;0.031386002;0.043149673;-99
196404;-0.04066383;-0.026591069;-99
196405;-0.025722419;-0.005194967;-99
196406;-0.056559794;-0.009358857;-99
196407;0.058182491;0.057462901;-99
196408;-0.048509276;-0.04335968;-99
196409;-0.008161616;0.013877366;-99
196410;0.012932947;0.03946073;-99
196411;0.014885003;-0.003152234;-99
196412;-0.02672873;-0.012541742;-99
196501;0.037920508;0.071350974;-99
196502;-0.016425606;0.022854387;-99
196503;0.033963327;0.018409615;-99
196504;0.022358717;0.041755112;-99
196505;-0.012941827;0.034924332;-99
196506;-0.163392854;-0.111751959;-99
196507;-0.08096848;-0.048103791;-99
196508;-0.034744624;0.073397751;-99
196509;0.026999793;0.06303229;-99
196510;0.006197337;-0.024249082;-99
196511;0.044465972;0.067586061;-99
196512;0.040876306;0.024960458;-99
196601;0.039968854;0.023017653;-99
196602;0.035016761;0.046530211;-99
196603;-0.066238824;-0.064349508;-99
196604;0.026812452;0.055853512;-99
196605;-0.121194404;-0.07678293;-99
196606;-0.053360838;-0.011378901;-99
196607;-0.032997534;0.008687024;-99
196608;-0.10665391;-0.085180211;-99
196609;-0.08781642;-0.043973168;-99
196610;-0.206519452;-0.083348007;-99
196611;-0.054098778;0.049927042;-99
196612;-0.023814897;0.045989933;-99
196701;-0.027405442;0.01245218;-99
196702;-0.07257262;0.015600615;-99
196703;-0.008628792;0.036097925;-99
196704;-0.001526762;0.020229015;-99
196705;0.01392071;0.025157754;-99
196706;-0.06197855;-0.047570903;-99
196707;-0.028372898;0.01509419;-99
196708;0.029069793;0.070750976;-99
196709;0.023541225;0.031171782;-99
196710;-0.030537222;-0.040763241;-99
196711;-0.030663795;-0.010481742;-99
196712;0.001591165;0.034866932;-99
196801;-0.021520523;0.003332585;-0.020730968
196802;-0.034595809;-0.017993905;0.021893099
196803;-0.116931838;-0.081136424;0.010261132
196804;0.022450908;0.088876583;0.009063504
196805;-0.020611245;0.010883113;-0.017026481
196806;0.008224888;0.033759908;-0.000337573
196807;-0.010495543;0.009209016;-0.036022655
196808;-0.020198654;-0.007453155;0.0056594
196809;-0.008706623;0.015489874;0.009775848
196810;0.006605193;0.027440751;-0.001356843
196811;-0.000225964;0.016725445;-0.009035536
196812;-0.028572054;-0.009602626;0.012288868
196901;-0.033784758;-0.006449324;0.022415343
196902;-0.025028028;0.01220952;0.05730402
196903;-0.022565304;0.007740719;-0.015186961
196904;-0.012528958;0.010161674;0.015200954
196905;0.011488125;0.046792485;0.008663908
196906;-0.047358946;-0.037913959;0.057603871
196907;-0.122444028;-0.090365356;0.03232117
196908;-0.087129504;-0.044005294;-0.012760972
196909;0.013156871;0.090432993;0.020723512
196910;-0.060644336;-0.025135288;-0.059202497
196911;0.016293009;0.041255978;0.031732891
196912;-0.019720936;-0.023985345;0.026402553
197001;-0.110173381;-0.066478607;0.02112288
197002;-0.081388086;-0.009081718;-0.054682738
197003;-0.138437526;-0.063300579;0.002420451
197004;-0.094261287;-0.028662288;0.040201197
197005;-0.240558562;-0.195967479;-0.077147995
197006;-0.187612336;-0.137169391;-0.033266361
197007;-0.013782635;0.064776009;-0.002497175
197008;-0.066604502;0.008246665;0.000257556
197009;-0.066822888;-0.01326328;-0.01664897
197010;0.096239916;0.097390324;-0.015394011
197011;-0.059825074;-0.045282967;-0.00483046
197012;-0.073008798;-0.01431726;0.048682921
197101;0.017755938;0.043966244;-0.046709163
197102;-0.064480661;-0.036416635;-0.011862921
197103;0.031698493;0.063326185;0.015863635
197104;-0.009982746;0.007500502;0.027683706
197105;-0.019406459;-0.025406693;0.011454419
197106;-0.044140681;-0.011377691;-0.029699577
197107;-0.101409812;-0.032050201;0.001183329
197108;-0.04506365;-0.006498995;0.027211918
197109;0.019807744;0.061556618;0.005094309
197110;-0.056367665;-0.011811065;0.040043327
197111;-0.091977306;-0.036562838;0.007584999
197112;0.00849982;0.047979479;-0.002679788
197201;-0.094112914;-0.080864618;-0.033743274
197202;-0.030595308;0.018010044;0.009939841
197203;-0.011371745;0.025405431;0.033091154
197204;-0.002956203;0.018954821;0.015085179
197205;-0.064446317;-0.042181836;-0.001481258
197206;0.006107311;0.004265882;0.013726388
197207;-0.08958325;-0.066268606;0.016229716
197208;0.014350504;0.023063234;-0.031049819
197209;-0.018951562;0.026945111;-0.014889735
197210;-0.039857779;-0.02254572;-0.015453609
197211;-0.016865767;-0.031427926;-0.007762048
197212;-0.073530578;-0.034671195;0.008821112
197301;-0.056352759;-0.026586283;-0.014858086
197302;-0.048319001;0.027334659;-0.01091379
197303;-0.030718751;-0.013495308;-0.012799924
197304;-0.040650607;-0.009661754;0.023191603
197305;-0.11566844;-0.063965378;-0.00294238
197306;-0.199889288;-0.16375222;-0.032431208
197307;-0.096582013;-0.009063752;0.002582805
197308;-0.097435637;-0.027736075;0.015779524
197309;-0.121543296;-0.000963334;0.017045213
197310;-0.053238019;0.023924678;-0.04302758
197311;-0.300163745;-0.237732106;-0.026586581
197312;-0.13413745;-0.081447581;-0.01694581
197401;-0.162189172;-0.069074629;0.101318032
197402;-0.120028221;-0.054894407;0.039670348
197403;-0.001286667;0.114047669;0.043549255
197404;-0.041920825;0.001412138;0.022131511
197405;-0.101753842;-0.083092056;0.061045419
197406;-0.069363139;-0.064184237;-0.007755686
197407;-0.231121871;-0.135643443;-0.00460426
197408;-0.101842067;-0.06313382;-0.031422272
197409;-0.110298281;-0.066901562;0.023200311
197410;-0.085646798;0.006795614;-0.073523006
197411;-0.083564545;0.033670717;-0.025351189
197412;-0.104666031;-0.042440214;0.019079861
197501;-0.113622803;-0.076244967;0.10827995
197502;-0.075727911;0.018326434;0.037053744
197503;-0.130484163;0.005686604;0.060094361
197504;7.97E-05;0.034417412;0.001324092
197505;-0.066735432;-0.011704934;-0.028674225
197506;0.023377436;0.024938589;-0.01416778
197507;-0.059402694;-0.026405387;-0.007415209
197508;-0.127523121;-0.120493076;-0.010687388
197509;-0.089978793;-0.052629673;-0.015319912
197510;-0.064972768;0.025405036;0.089329308
197511;0.007609221;0.027946344;0.03543367
197512;-0.024581841;-0.020271215;-0.000583791
197601;-6.03E-02;-0.033480916;0.018283675
197602;-0.018513659;0.051754784;-0.041270491
197603;-0.018564972;0.008770703;-0.015108296
197604;-0.030321213;-0.049179113;-0.020499969
197605;-0.090128;-0.087120892;-0.039583348
197606;-0.064945927;-0.022576013;-0.007014727
197607;-0.091403456;-0.053703463;-0.027984653
197608;-0.01440666;0.032058621;0.016797949
197609;-0.037756972;0.018178296;-0.015747828
197610;-0.087291914;-0.043673801;0.00618418
197611;-0.081945316;-0.021850704;-0.025275238
197612;-0.025285674;0.055372513;-0.011187865
197701;-0.062479771;-0.044784358;-0.031086581
197702;-0.000435197;0.036986369;-0.010684413
197703;-0.056292351;0.032393078;0.011027483
197704;-0.01072424;-0.009381715;-0.02967022
197705;-0.03332807;-0.013240495;0.017666677
197706;-0.008645491;0.017653082;0.020515988
197707;-0.048158005;-0.013032423;0.000975073
197708;-0.0475812;0.005971323;0.031103583
197709;-0.047210173;-0.019143504;0.011882371
197710;-0.033288915;-0.001323718;-0.011411602
197711;-0.012713391;0.029138627;0.00407468
197712;0.019317685;0.03491643;-0.005269147
197801;-0.042218779;-0.006090059;0.005290181
197802;-0.019297252;0.013963495;-0.001978663
197803;-0.010491407;0.003799096;0.016379695
197804;-0.0078029;0.019992508;0.034562452
197805;0.018013515;0.022652037;0.011628716
197806;0.010747892;0.014635159;0.009079551
197807;-0.043481563;-0.034588949;0.027464859
197808;0.020908268;0.037998007;-0.001042025
197809;-0.005565764;-0.010750622;-0.026364863
197810;-0.108156643;-0.100391276;0.044412279
197811;-0.075025642;-0.030383814;-0.035608554
197812;-0.033950702;0.03694903;0.00197454
197901;-0.014406977;0.025194551;-0.009022415
197902;-0.03296287;0.008205599;-0.028603079
