"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","Yield1.US","Yield10.US","Yield1.EU","Yield10.EU","Y.US.EU.Date","HYspread","HYspread.Date","MSCI.Return","ES50.Return","SP500.Return","NASDAQ.Return","Comm.Return","VTM.Return","WRA.Return","RE.US.com.Return","PuPri.NAV.scaled","PuPri.Com.scaled","PuPri.wc.scaled","Pri.wc.scaled"
"1",1995-03-31,1996-03-31,1.25939243061139,1.250039709346,"0.1-1.7-1.6-1.3-0.2-0.5-0.2",7.47760424319759,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-VC-RE-VC-SEC-RE",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.19529558856764,1.19356360314812,1.19356360314812,1.250039709346
"2",1995-03-31,1996-03-31,0.875026406410328,0.982725943935946,"0.1-1.3-1.8-1.8-0.3-0.5-4",7.02393703327155,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-BO-VC-BO-VC-VC-MEZZ",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.12411669519707,1.14406105399811,1.12411669519707,0.875026406410328
"3",1995-03-31,1996-03-31,1.28353450050567,1.39522188346063,"0.2-3-1.9-3.7-0.1-0.9-2.3",7.89909163851176,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-VC-BO-BO-VC-BO-BO",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.19976634225176,1.22044919094712,1.19976634225176,1.28353450050567
"4",1995-03-31,1996-03-31,0.905010220144308,0.972645551613445,"0.1-2.1-1.1-2-0.7-0.9-1.1",4.39032543748858,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-BO-VC-BO-BO-BO-NatRes",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.12966925329595,1.14219431467913,1.12966925329595,0.905010220144308
"5",1995-03-31,1996-03-31,1.33019998935747,1.33808948223681,"0.1-2-1-2.6-0.3-1.1-4",6.63682106383158,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-VC-BO-VC-BO-MEZZ",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.20840809944654,1.20986911664642,1.20840809944654,1.33019998935747
"6",1995-03-31,1996-03-31,NA,NA,"0.2-1.9-1-2.8-0.3-1-NA",NA,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-BO-BO-VC-BO-VC",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,NA,NA,NA,NA
"7",1995-03-31,1996-03-31,1.28781019782887,1.33323473618198,"0.1-1.9-35-2.8-0.5-1-2.1",8.96449098312633,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-VC-BO-VC-BO-VC",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.20055813805235,1.20897008959923,1.20055813805235,1.28781019782887
"8",1995-03-31,1996-03-31,1.49643197872495,1.41140025189431,"0.2-3-1.1-2.1-0.5-0.4-5.5",6.85948373030844,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-VC-VC-BO-VC-MEZZ",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.23919180118126,1.22344518510151,1.22344518510151,1.41140025189431
"9",1995-03-31,1996-03-31,1.02171150271994,1.09192596169135,"0.1-3.5-0.4-1.3-0.2-0.9-1.1",6.54411166572731,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-VC-BO-RE-BO-VC-NatRes",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.15128060192107,1.16428327950837,1.15128060192107,1.02171150271994
"10",1995-03-31,1996-03-31,1.40421163848206,1.27250668325258,"0.2-2.3-1.1-2.7-0.4-2.7-0.1",7.7430365860623,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-DD-BO-BO-VC-BO-BO",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.22211396039554,1.19772415387156,1.19772415387156,1.27250668325258
"11",1995-03-31,1996-03-31,1.31658699561022,1.44003236609149,"0.2-3.2-0.5-1.5-1.1-0.6-0.5",5.17048399503815,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-BO-BO-VC-MEZZ-MEZZ-VC",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.20588717467853,1.22874742847136,1.20588717467853,1.31658699561022
"12",1995-03-31,1996-03-31,0.972557501918585,1.0191447336859,"0.7-2.5-2.3-6.5-0.5-0.9-6.2",6.6007339639184,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-VC-BO-BO-BO-VC-BO",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,1.14217800918008,1.15080527432217,1.14217800918008,0.972557501918585
