"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","FID","Yield1.US","Yield10.US","Yield1.EU","Yield10.EU","Y.US.EU.Date","HYspread","HYspread.Date","MSCI.Return","ES50.Return","SP500.Return","NASDAQ.Return","Comm.Return","VTM.Return","WRA.Return","RE.US.com.Return","CFSI","ASSET.BACKED.SECURITY.SPREAD","BANK.BOND.SPREAD","COMMERCIAL.MBS.SPREAD","COMMERCIAL.PAPER...T.BILL.SPREAD","COMMERCIAL.REAL.ESTATE.SPREAD","CORPORATE.BOND.SPREAD","COVERED.INTEREST.SPREAD","CREDIT.MARKETS","EQUITY.MARKETS","FINANCIAL.BETA","FOREIGN.EXCHANGE.MARKETS","INTERBANK.COST.OF.BORROWING","INTERBANK.LIQUIDITY.SPREAD","INTERBANK.MARKETS","LIQUIDITY.SPREAD","REAL.ESTATE.MARKET","RESIDENTIAL.MBS.SPREAD","RESIDENTIAL.REAL.ESTATE.SPREAD","SECURITIZATION.MARKET","STOCK.MARKET.CRASHES","TREASURY.YIELD.CURVE.SPREAD","WEIGHTED.DOLLAR.CRASHES","Liq.Agg","Liq.Inno","Liq.Trade","Yield1.World","Yield10.World","PuPri.NAV.scaled","PuPri.Com.scaled","PuPri.wc.scaled","Pri.wc.scaled"
"1",1995-03-31,1996-03-31,1.47081655003916,1.32540530665393,"0.2-1.8-2.2-2-0.4-0.2-0.1-0.7-1-1.1",8.95912797930579,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"DD-BO-NatRes-VC-BO-BO-BO-BO-VC-VC","951632-951072-95600-951237-95148-95629-94998-951978-951634-951578",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.23444820327648,1.20752019524218,1.20752019524218,1.32540530665393
"2",1995-03-31,1996-03-31,1.2513344601767,1.12023360048597,"2.3-6.5-0.8-2.8-0.5-1.6-0.3-2.8-0.7-0.6",8.22171786734956,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-VC-VC-BO-VC-BO-BO-VC-VC-BO","95386-95090-951208-951658-951408-955144-951434-951634-951773-955609",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.19380337182047,1.16952543484071,1.16952543484071,1.12023360048597
"3",1995-03-31,1996-03-31,1.40598314228628,1.12025176929428,"0.9-4.3-1.8-2.6-0.3-0.3-0.2-3-0.6-0.7",9.0907700257457,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-BO-BO-VC-BO-BO-VC-BO-VC-FOF","95073-951769-95150-95051-95657-95693-9513613-951434-951254-95413",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.22244201665558,1.16952879943484,1.16952879943484,1.12025176929428
"4",1995-03-31,1996-03-31,1.28145809390604,1.51885867830484,"0.9-0.7-0.6-3-0.3-0.3-5-0.8-0.5-1.6",7.47515125423652,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-VC-RE-VC-BO-BO-VC-BO-VC-BO","95073-950974-951920-951635-95624-951978-9513614-951837-95445-955144",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.19938182251109,1.24334489369605,1.19938182251109,1.28145809390604
"5",1995-03-31,1996-03-31,1.51517023286036,1.27853069484876,"0.3-1.8-1.6-3.1-0.2-1-0.2-2.9-0.2-25",12.5050655091278,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-BO-BO-VC-VC-BO-VC-VC-BO-VC","95821-951072-951072-951507-95390-95148-951272-951408-95629-9513614",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.24266184824337,1.19883971157455,1.19883971157455,1.27853069484876
"6",1995-03-31,1996-03-31,1.06218201142089,1.01132123562843,"0.3-0.9-3.2-1.2-0.3-0.7-0.1-1.9-0.5-1.3",8.11540385904194,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-VC-BO-BO-BO-BO-BO-VC-BO-BO","95304-951101-797-950925-94998-951468-95693-951272-955609-951985",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.15877514056939,1.1493564783856,1.1493564783856,1.01132123562843
"7",1995-03-31,1996-03-31,1.06424872714502,1.0098797010214,"0.8-4.4-3.2-1.9-0.3-0.7-0.1-1.9-0.6-0.3",9.72963794373954,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"VC-VC-BO-BO-VC-BO-VC-VC-FOF-BO","95090-95393-797-951816-951254-951468-952024-951272-95413-95693",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.15915786570349,1.14908952753245,1.14908952753245,1.0098797010214
"8",1995-03-31,1996-03-31,1.27211916515357,1.39438003378044,"0.3-3.2-1.7-3-0.3-2.6-0.1-1.5-0.7-0.3",10.4245463525821,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-VC-MEZZ-VC-VC-MEZZ-BO-BO-VC-BO","95821-951579-95330-951635-951272-95310-95657-95624-95537-951978",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.19765239126063,1.2202932928582,1.19765239126063,1.27211916515357
"9",1995-03-31,1996-03-31,1.25704304933724,1.24334400448902,"4.3-2-0.7-4.5-0.3-1-0.2-1.5-1.1-1.1",7.42201072845132,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-BO-SEC-NatRes-BO-BO-VC-BO-BO-VC","951029-95150-951003-95600-94998-95148-9513613-94998-951434-951578",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.19486051796131,1.19232365780423,1.19232365780423,1.24334400448902
"10",1995-03-31,1996-03-31,1.13266086129925,1.16619675032236,"2.3-1-1.1-1.2-0.5-1.4-0.3-1.9-0.4-0.8",5.12542125040124,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-BO-BO-VC-BO-VC-VC-VC-MEZZ","95230-951442-95102-950925-951634-951434-951634-951272-951753-951795",6.49,7.2,5.802,7.852,"1995-03-31",NA,NA,1.18072812446678,1.24006060932368,1.28916940265328,1.34761321909425,1.01837270341207,1.10669986781847,1.1358197255895,1.02095818296196,-1.19,0.419077169,1.0848051387,2.75051239,2.407592689,1.641953306,1.05754246,0.055197001,3.53660491,3.691445192,7.4819183,4.25834,9.982743,6.661987,4.25834,7.4819183,3.55160981,0.429421542,3.122188265,0.388154618,NA,NA,0.388154618,0.031559674,0.0522328,0.012784812,6.26066666666667,7.41733333333333,1.17182677943576,1.17803712925485,1.17182677943576,1.13266086129925
