"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","FID"
"1","2004-12-31","2006-01-01",1.21208114363471,1.24613692830808,"0.6-2.4-0.7-7.3-0.4-1.2-0.2-0-0.9-2.8",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-MEZZ-DD-RE-VC-VC","954554-951149-955127-952117-951839-951705-951247-951903-951576-951112"
"2","1998-03-31","1999-04-01",1.15458619366365,1.1084801143851,"1-2.3-0.8-1.6-0.2-0.5-1.2-78.6-0.8-12.6",11.1321750179899,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-RE-DD-VC-BO-MEZZ","95494-951593-956269-951560-95304-951920-953786-951254-955609-951795"
"3","2002-09-30","2003-10-01",0.954520878540527,1.11869208379089,"0.5-3.5-1-2.2-0.2-0.7-0.1-3.5-1.2-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-NatRes-RE-SEC-VC-BO","951615-95782-951930-951496-951213-952015-954574-951006-950975-95102"
"4","2003-09-30","2004-09-30",0.986589359575984,1.15756162978951,"0.7-1-1.6-3-0.3-0.8-0.3-4.9-2.3-312.5",12.7231288190468,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-SEC-MEZZ-SEC-VC-VC","952092-951830-954568-953061-9359-951007-952013-951034-951172-95501"
"5","2004-03-31","2005-04-01",1.12644262594644,1.11675344672653,"0.9-2.3-1.2-3.1-0.5-0.8-0.1-22-0.6-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-DD-VC-BO-MEZZ-RE-DD-VC-BO","950968-95583-953673-950895-95823-95716-956281-951415-951560-950954"
"6","2000-03-31","2001-04-01",1.26478626155211,0.592006190239988,"0.4-1.5-1.3-0.9-0.3-1-0.1-2.3-0-81.8",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-NatRes-VC-BO-MEZZ-RE-DD-VC-BO","95003-954567-95134-95687-952012-951443-951920-956897-95501-951973"
"7","2013-06-30","2014-07-01",1.14470596707498,1.17110700593559,"0.8-1.1-1.1-2.1-0.2-0.7-0.2-1.6-0.4-3.7",7.42587920522924,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-MEZZ-VC-BO-FOF-RE-FOF-VC-VC","9523103-9516864-9515015-9519553-9513567-958783-9510878-953454-954217-95538"
"8","2011-03-31","2012-03-31",1.20570805472941,1.20317688575772,"0.8-7.6-1.3-6.5-0.3-0.7-0.1-1.9-1-2.6",9.84605641243412,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-Infrastructure-VC-BO-MEZZ-FOF-MEZZ-VC-VC","9518677-9513756-9510469-9511767-956609-958142-957903-954482-951087-95247"
"9","2011-06-30","2012-06-30",1.0325830533778,1.03701547722199,"0.5-1.5-1.6-2.2-0.3-0.5-0.1-1.3-0.8-40.6",10.7460542385474,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-FOF-Infrastructure-FOF-VC-BO","9516455-9511425-9513934-956557-958785-956339-954050-953936-9389-951619"
"10","2010-12-31","2012-01-01",1.17149273140148,1.09553570167616,"0.3-1-3.9-1.8-0.2-0.5-0.8-0-0.6-16.3",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-SEC-VC-BO-raus-RE-RE-VC-BO","9516661-9510320-9512847-958093-958724-955722-953478-953458-95125-94961"
