Date;Index
12.31.69;100.00
01.30.70;94.25
02.27.70;96.98
03.31.70;97.08
04.30.70;87.80
05.29.70;82.06
06.30.70;79.84
07.31.70;84.59
08.31.70;87.18
09.30.70;89.79
10.30.70;88.26
11.30.70;90.04
12.31.70;94.29
01.29.71;98.42
02.26.71;99.26
03.31.71;103.41
04.30.71;106.59
05.31.71;103.86
06.30.71;104.71
07.30.71;102.84
08.31.71;104.88
09.30.71;103.68
10.29.71;99.54
11.30.71;100.18
12.31.71;108.99
01.31.72;112.77
02.29.72;116.89
03.31.72;118.30
04.28.72;119.65
05.31.72;121.88
06.30.72;118.84
07.31.72;120.47
08.31.72;123.68
09.29.72;121.59
10.31.72;122.38
11.30.72;128.59
12.29.72;130.74
01.31.73;130.83
02.28.73;131.52
03.30.73;131.48
04.30.73;124.63
05.31.73;124.05
06.29.73;124.61
07.31.73;127.35
08.31.73;121.82
09.28.73;125.11
10.31.73;126.14
11.30.73;109.55
12.31.73;108.41
01.31.74;109.01
02.28.74;110.46
03.29.74;107.42
04.30.74;105.38
05.31.74;100.89
06.28.74;97.48
07.31.74;91.46
08.30.74;82.39
09.30.74;74.45
10.31.74;81.33
11.29.74;79.81
12.31.74;78.24
01.31.75;89.40
02.28.75;97.05
03.31.75;97.51
04.30.75;101.30
05.30.75;103.45
06.30.75;104.50
07.31.75;98.48
08.29.75;96.72
09.30.75;92.43
10.31.75;98.56
11.28.75;101.01
12.31.75;100.86
01.30.76;109.64
02.27.76;108.58
03.31.76;109.62
04.30.76;108.58
05.31.76;106.53
06.30.76;109.56
07.30.76;108.29
08.31.76;107.79
09.30.76;108.44
10.29.76;104.40
11.30.76;103.72
12.31.76;111.26
01.31.77;107.26
02.28.77;106.52
03.31.77;105.58
04.29.77;106.46
05.31.77;104.73
06.30.77;108.40
07.29.77;106.66
08.31.77;106.77
09.30.77;107.81
10.31.77;105.68
11.30.77;106.71
12.30.77;108.52
01.31.78;105.02
02.28.78;103.90
03.31.78;108.28
04.28.78;112.83
05.31.78;113.93
06.30.78;114.74
07.31.78;122.68
08.31.78;125.16
09.29.78;126.27
10.31.78;123.46
11.30.78;118.76
12.29.78;122.28
01.31.79;125.06
02.28.79;122.35
03.30.79;127.07
04.30.79;126.52
05.31.79;123.96
06.29.79;127.17
07.31.79;127.75
08.31.79;132.49
09.28.79;135.08
10.31.79;124.64
11.30.79;128.08
12.31.79;131.10
01.31.80;138.59
02.29.80;138.25
03.31.80;122.96
04.30.80;130.58
05.30.80;136.57
06.30.80;142.68
07.31.80;146.63
08.29.80;149.05
09.30.80;153.09
10.31.80;157.10
11.28.80;163.23
12.31.80;159.23
01.30.81;154.16
02.27.81;154.17
03.31.81;159.20
04.30.81;158.84
05.29.81;155.30
06.30.81;154.58
07.31.81;151.51
08.31.81;148.10
09.30.81;136.53
10.30.81;140.27
11.30.81;150.25
12.31.81;146.62
01.29.82;144.02
02.26.82;134.87
03.31.82;130.75
04.30.82;136.72
05.31.82;132.83
06.30.82;126.40
07.30.82;124.34
08.31.82;132.93
09.30.82;133.11
10.29.82;141.83
11.30.82;148.92
12.31.82;155.16
01.31.83;158.03
02.28.83;160.91
03.31.83;166.14
04.29.83;177.56
05.31.83;175.38
06.30.83;180.45
07.29.83;176.80
08.31.83;177.31
09.30.83;180.47
10.31.83;177.91
11.30.83;182.06
12.30.83;183.95
01.31.84;185.04
02.29.84;181.54
03.30.84;189.61
04.30.84;188.45
05.31.84;173.85
06.29.84;174.88
07.31.84;168.27
08.31.84;184.68
09.28.84;183.52
10.31.84;185.01
11.30.84;183.85
12.31.84;187.21
01.31.85;197.06
02.28.85;196.96
03.29.85;203.30
04.30.85;202.24
05.31.85;212.13
06.28.85;215.40
07.31.85;219.31
08.30.85;220.59
09.30.85;221.70
10.31.85;233.10
11.29.85;245.57
12.31.85;256.51
01.31.86;259.75
02.28.86;282.58
03.31.86;309.60
04.30.86;317.50
05.30.86;315.98
06.30.86;328.04
07.31.86;330.05
08.29.86;358.26
09.30.86;343.35
10.31.86;336.82
11.28.86;350.46
12.31.86;356.83
01.30.87;398.11
02.27.87;410.59
03.31.87;435.35
04.30.87;460.21
05.29.87;460.18
06.30.87;459.24
07.31.87;467.74
08.31.87;494.70
09.30.87;485.40
10.30.87;402.28
11.30.87;391.77
12.31.87;407.99
01.29.88;417.21
02.29.88;440.68
03.31.88;453.23
04.29.88;458.16
05.31.88;448.23
06.30.88;446.84
07.29.88;454.48
08.31.88;428.75
09.30.88;446.17
10.31.88;475.07
11.30.88;490.80
12.30.88;494.43
01.31.89;511.51
02.28.89;507.48
03.31.89;503.41
04.28.89;514.19
05.31.89;500.76
06.30.89;494.29
07.31.89;549.30
08.31.89;535.17
09.29.89;549.42
10.31.89;530.23
11.30.89;550.53
12.29.89;567.34
01.31.90;539.94
02.28.90;515.89
03.30.90;483.82
04.30.90;475.92
05.31.90;525.10
06.29.90;520.41
07.31.90;524.18
08.31.90;474.13
09.28.90;423.15
10.31.90;461.64
11.30.90;453.05
12.31.90;461.53
01.31.91;477.39
02.28.91;520.57
03.29.91;504.26
04.30.91;507.24
05.31.91;517.76
06.28.91;484.85
07.31.91;506.78
08.30.91;504.20
09.30.91;516.43
10.31.91;523.82
11.29.91;499.99
12.31.91;535.36
01.31.92;524.45
02.28.92;514.40
03.31.92;489.18
04.30.92;494.99
05.29.92;513.67
06.30.92;495.42
07.31.92;495.65
08.31.92;506.64
09.30.92;500.95
10.30.92;486.38
11.30.92;494.11
12.31.92;497.13
01.29.93;497.83
02.26.93;508.67
03.31.93;537.20
04.30.93;561.12
05.31.93;573.07
06.30.93;567.29
07.30.93;578.02
08.31.93;603.56
09.30.93;591.44
10.29.93;606.77
11.30.93;571.49
12.31.93;598.50
01.31.94;637.01
02.28.94;627.79
03.31.94;599.74
04.29.94;617.30
05.31.94;617.91
06.30.94;615.19
07.29.94;625.89
08.31.94;643.74
09.30.94;625.81
10.31.94;642.57
11.30.94;613.68
12.30.94;618.59
01.31.95;608.26
02.28.95;616.07
03.31.95;644.67
04.28.95;666.04
05.31.95;670.64
06.30.95;669.32
07.31.95;701.69
08.31.95;684.96
09.29.95;703.80
10.31.95;691.60
11.30.95;714.51
12.29.95;734.28
01.31.96;746.45
02.29.96;749.86
03.29.96;761.18
04.30.96;777.93
05.31.96;777.44
06.28.96;780.20
07.31.96;751.45
08.30.96;758.90
09.30.96;787.44
10.31.96;791.75
11.29.96;834.93
12.31.96;820.36
01.31.97;829.08
02.28.97;837.44
03.31.97;819.68
04.30.97;845.28
05.30.97;896.24
06.30.97;939.75
07.31.97;981.85
08.29.97;914.97
09.30.97;963.49
10.31.97;911.57
11.28.97;926.50
12.31.97;936.59
01.30.98;961.49
02.27.98;1025.30
03.31.98;1067.35
04.30.98;1076.53
05.29.98;1061.79
06.30.98;1085.74
07.31.98;1082.74
08.31.98;937.09
09.30.98;952.39
10.30.98;1037.21
11.30.98;1097.62
12.31.98;1149.95
01.29.99;1173.84
02.26.99;1141.33
03.31.99;1187.55
04.30.99;1233.06
05.31.99;1186.70
06.30.99;1240.75
07.30.99;1235.70
08.31.99;1232.16
09.30.99;1218.90
10.29.99;1280.94
11.30.99;1315.68
12.31.99;1420.89
01.31.00;1338.25
02.29.00;1340.58
03.31.00;1431.94
04.28.00;1370.11
05.31.00;1334.14
06.30.00;1377.72
07.31.00;1337.65
08.31.00;1379.87
09.29.00;1305.25
10.31.00;1282.14
11.30.00;1203.05
12.29.00;1221.25
01.31.01;1244.22
02.28.01;1137.88
03.30.01;1061.26
04.30.01;1138.09
05.31.01;1121.09
06.29.01;1084.79
07.31.01;1069.67
08.31.01;1016.73
09.28.01;926.02
10.31.01;943.20
11.30.01;997.93
12.31.01;1003.52
01.31.02;972.42
02.28.02;962.73
03.29.02;1003.60
04.30.02;968.25
05.31.02;967.85
06.28.02;907.81
07.31.02;830.55
08.30.02;830.58
09.30.02;738.18
10.31.02;791.88
11.29.02;833.47
12.31.02;792.22
01.31.03;767.48
02.28.03;752.86
03.31.03;748.63
04.30.03;813.30
05.30.03;857.65
06.30.03;871.07
07.31.03;887.78
08.29.03;905.32
09.30.03;909.64
10.31.03;962.71
11.28.03;976.02
12.31.03;1036.32
01.30.04;1052.29
02.27.04;1068.65
03.31.04;1059.16
04.30.04;1035.66
05.31.04;1042.63
06.30.04;1062.51
07.30.04;1026.99
08.31.04;1029.63
09.30.04;1047.86
10.29.04;1072.70
11.30.04;1127.34
12.31.04;1169.34
01.31.05;1142.35
02.28.05;1176.70
03.31.05;1151.18
04.29.05;1123.64
05.31.05;1140.68
06.30.05;1148.81
07.29.05;1188.17
08.31.05;1194.81
09.30.05;1224.31
10.31.05;1193.88
11.30.05;1231.41
12.30.05;1257.78
01.31.06;1313.21
02.28.06;1309.45
03.31.06;1335.07
04.28.06;1373.38
05.31.06;1322.25
06.30.06;1319.93
07.31.06;1327.23
08.31.06;1358.87
09.29.06;1373.37
10.31.06;1422.93
11.30.06;1455.17
12.29.06;1483.58
01.31.07;1500.23
02.28.07;1490.44
03.30.07;1514.18
04.30.07;1577.86
05.31.07;1616.87
06.29.07;1602.36
07.31.07;1565.81
08.31.07;1561.59
09.28.07;1633.58
10.31.07;1682.35
11.30.07;1610.94
12.31.07;1588.80
01.31.08;1466.35
02.29.08;1455.56
03.31.08;1437.40
04.30.08;1508.99
05.30.08;1525.73
06.30.08;1402.13
07.31.08;1366.70
08.29.08;1344.87
09.30.08;1182.44
10.31.08;957.25
11.28.08;892.93
12.31.08;920.23
01.30.09;838.83
02.27.09;750.86
03.31.09;805.22
04.30.09;893.03
05.29.09;970.00
06.30.09;964.05
07.31.09;1044.75
08.31.09;1085.60
09.30.09;1126.99
10.30.09;1106.17
11.30.09;1149.01
12.31.09;1168.47
01.29.10;1119.54
02.26.10;1133.35
03.31.10;1200.53
04.30.10;1198.56
05.31.10;1079.80
06.30.10;1041.32
07.30.10;1124.83
08.31.10;1080.70
09.30.10;1179.19
10.29.10;1222.23
11.30.10;1193.56
12.31.10;1280.07
01.31.11;1308.08
02.28.11;1351.65
03.31.11;1334.93
04.29.11;1388.62
05.31.11;1354.61
06.30.11;1331.18
07.29.11;1306.05
08.31.11;1211.22
09.30.11;1104.07
10.31.11;1217.30
11.30.11;1184.60
12.30.11;1182.60
01.31.12;1240.89
02.29.12;1298.72
03.30.12;1312.01
04.30.12;1293.99
05.31.12;1177.65
06.29.12;1235.72
07.31.12;1250.57
08.31.12;1279.21
09.28.12;1311.50
10.31.12;1301.52
11.30.12;1315.49
12.31.12;1338.50
01.31.13;1405.47
02.28.13;1405.18
03.29.13;1434.52
04.30.13;1476.14
05.31.13;1471.93
06.28.13;1433.55
07.31.13;1507.91
08.30.13;1472.74
09.30.13;1543.67
10.31.13;1602.86
11.29.13;1628.42
12.31.13;1661.07
01.31.14;1598.46
02.28.14;1675.40
03.31.14;1673.87
04.30.14;1687.74
05.30.14;1715.18
06.30.14;1743.42
07.31.14;1714.35
08.29.14;1748.69
09.30.14;1698.41
10.31.14;1708.09
11.28.14;1739.50
12.31.14;1709.67
01.30.15;1677.54
02.27.15;1772.86
03.31.15;1740.81
04.30.15;1778.40
05.29.15;1779.31
06.30.15;1735.61
07.31.15;1765.60
08.31.15;1645.43
09.30.15;1581.92
10.30.15;1705.80
11.30.15;1694.40
