"","Date","Fund.ID","NAV","NAV.date","NCF","CD","CC","Age.week","NAV.date.diff","delta.CC","delta.CD","delta.NCF","delta.NAV","delta.NAV.NCF","Return.NAV","Return.EVB","TVPI","RVPI","CD2CC","NAV2Com","Fuel.Level"
"1",2003-12-31,"953905",NA,NA,NA,NA,NA,-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-12-31,"953905",672180,"2004-12-31",-1000000,0,1000000,13,0,1500000,0,-1500000,1203820,-296180,0.5594,0.8636,0.6722,0.6722,0,0.0672,0.9655
"3",2005-12-31,"953905",1876000,"2005-12-31",-2500000,0,2500000,65,0,390323,0,-390323,812000,421677,1.2248,1.1861,0.7504,0.7504,0,0.1876,0.9343
"4",2006-12-31,"953905",2688000,"2006-12-31",-2890323,0,2890323,117,0,3109677,329636,-2780041,1757780,-1022261,0.6197,0.8237,0.93,0.93,0,0.2688,0.9787
"5",2007-12-31,"953905",4445780,"2007-12-31",-5670364,329636,6000000,170,0,1000000,0,-1000000,0,-1000000,0.7751,0.8164,0.7959,0.741,0.0549,0.4446,0.8364
"6",2008-12-31,"953905",4445780,"2007-12-31",-6670364,329636,7000000,222,52,1000000,0,-1000000,2075100,1075100,1.2418,1.1974,0.6822,0.6351,0.0471,0.4446,0.7311
"7",2009-12-31,"953905",6520880,"2009-12-31",-7670364,329636,8000000,274,0,1000000,670364,-329636,2479120,2149484,1.3296,1.2858,0.8563,0.8151,0.0412,0.6521,0.8443
"8",2010-12-31,"953905",9000000,"2010-12-31",-8000000,1000000,9000000,326,0,500000,-215560,-715560,-2388170,-3103730,0.6551,0.6733,1.1111,1,0.1111,0.9,1
"9",2011-12-31,"953905",6611830,"2011-12-31",-8715560,784440,9500000,378,0,0,166668,166668,275420,442088,1.0669,1.0669,0.7786,0.696,0.0826,0.6612,0.696
"10",2012-12-31,"953905",6887250,"2012-12-31",-8548892,951108,9500000,431,0,0,0,0,1005350,1005350,1.146,1.146,0.8251,0.725,0.1001,0.6887,0.725
"11",2013-12-31,"953905",7892600,"2013-12-31",-8548892,951108,9500000,483,0,0,604772,604772,-603200,1572,1.0002,1.0002,0.9309,0.8308,0.1001,0.7893,0.8308
"12",2014-12-31,"953905",7289400,"2014-12-31",-7944120,1555880,9500000,535,0,0,150000,150000,-2902860,-2752860,0.6223,0.6223,0.9311,0.7673,0.1638,0.7289,0.7673
"13",2015-12-31,"953905",4386540,"2015-06-30",-7794120,1705880,9500000,587,26,NA,NA,NA,NA,NA,NA,NA,0.6413,0.4617,0.1796,0.4387,0.4617
"14",1987-06-30,"95624",NA,NA,NA,NA,NA,-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1988-06-30,"95624",NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1989-06-30,"95624",853900,"1989-06-30",-957566,44905,1002471,46,0,2291575,79769,-2211806,2115870,-95936,0.8876,0.9695,0.8966,0.8518,0.0448,0.0854,0.9862
"17",1990-06-30,"95624",2969770,"1990-06-30",-3169372,124674,3294046,98,0,4340498,414656,-3925842,3932660,6818,1.0023,1.0009,0.9394,0.9016,0.0378,0.297,0.9699
"18",1991-06-30,"95624",6902430,"1991-06-30",-7095214,539330,7634544,150,0,402074,519937,117863,-120,117743,1.0171,1.0161,0.9747,0.9041,0.0706,0.6902,0.9321
"19",1992-06-30,"95624",6902310,"1992-06-30",-6977351,1059267,8036618,202,0,2754946,5386835,2631889,-2013940,617949,1.0895,1.064,0.9907,0.8589,0.1318,0.6902,0.8948
"20",1993-06-30,"95624",4888370,"1993-06-30",-4345462,6446102,10791564,254,0,38210,1996052,1957842,3825870,5783712,2.1832,2.174,1.0503,0.453,0.5973,0.453,0.4524
"21",1994-06-30,"95624",8714240,"1994-06-30",-2387620,8442154,10829774,306,0,20319,3122734,3102415,-583780,2518635,1.289,1.2884,1.5842,0.8047,0.7795,0.8047,0.8038
"22",1995-06-30,"95624",8130460,"1995-06-30",714795,11564888,10850093,359,0,-4617,695172,699789,-4516310,-3816521,0.5306,0.5303,1.8152,0.7493,1.0659,0.7493,0.7477
"23",1996-06-30,"95624",3614150,"1996-06-30",1414584,12260060,10845476,411,0,-7042,6025211,6032253,-3199610,2832643,1.7838,1.7853,1.4637,0.3332,1.1304,0.3332,0.3292
"24",1997-06-30,"95624",414540,"1997-06-30",7446837,18285271,10838434,463,0,-16853,2310277,2327130,4615700,6942830,17.7483,18.458,1.7253,0.0382,1.6871,0.0382,0.033
"25",1998-06-30,"95624",5030240,"1998-06-30",9773967,20595548,10821581,515,0,-13507,2086210,2099717,-926280,1173437,1.2333,1.2339,2.368,0.4648,1.9032,0.4648,0.4628
"26",1999-06-30,"95624",4103960,"1999-06-30",11873684,22681758,10808074,567,0,460,46060,45600,-830350,-784750,0.8088,0.8088,2.4783,0.3797,2.0986,0.3797,0.3781
"27",2000-06-30,"95624",3273610,"2000-06-30",11919284,22727818,10808534,620,0,-29206,3802785,3831991,-3233790,598201,1.1827,1.1844,2.4056,0.3029,2.1028,0.3029,0.301
"28",2001-06-30,"95624",39820,"2001-06-30",15751275,26530603,10779328,672,0,-924,40519,41443,-39820,1623,1.0408,1.0417,2.4649,0.0037,2.4612,0.0037,0.0038
"29",2002-06-30,"95624",0,"2002-06-30",15792718,26571122,10778404,724,0,0,0,0,0,0,NA,NA,2.4652,0,2.4652,0,1e-04
"30",2003-06-30,"95624",0,"2003-06-30",15792718,26571122,10778404,776,0,0,0,0,0,0,NA,NA,2.4652,0,2.4652,0,1e-04
"31",2004-06-30,"95624",0,"2003-12-31",15792718,26571122,10778404,828,26,NA,NA,NA,NA,NA,NA,NA,2.4652,0,2.4652,0,1e-04
"32",2003-12-31,"955150",NA,NA,NA,NA,NA,-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2004-12-31,"955150",0,"2004-12-31",-13970,0,13970,0,0,1768619,0,-1768619,1803330,34711,Inf,1.0196,0,0,0,0,0.9986
"34",2005-12-31,"955150",1803330,"2005-12-31",-1782589,0,1782589,52,0,4457106,0,-4457106,5323760,866654,1.4806,1.1384,1.0116,1.0116,0,0.1803,1.0021
"35",2006-12-31,"955150",7127090,"2006-12-31",-6239695,0,6239695,104,0,1203776,1492694,288918,3410840,3699758,1.5191,1.4441,1.1422,1.1422,0,0.7127,1.0887
"36",2007-12-31,"955150",10537930,"2007-12-31",-5950777,1492694,7443471,156,0,1823092,431863,-1391229,-1724800,-3116029,0.7043,0.7479,1.6163,1.4157,0.2005,1.0538,1.3094
"37",2008-12-31,"955150",8813130,"2008-12-31",-7342006,1924557,9266563,209,0,242201,0,-242201,-1258370,-1500571,0.8297,0.8343,1.1588,0.9511,0.2077,0.8813,0.9547
"38",2009-12-31,"955150",7554760,"2009-12-31",-7584207,1924557,9508764,261,0,280907,0,-280907,731020,450113,1.0596,1.0574,0.9969,0.7945,0.2024,0.7555,0.8046
"39",2010-12-31,"955150",8285780,"2010-12-31",-7865114,1924557,9789671,313,0,176334,0,-176334,1402450,1226116,1.148,1.1449,1.043,0.8464,0.1966,0.8286,0.8496
"40",2011-12-31,"955150",9688230,"2011-12-31",-8041448,1924557,9966005,365,0,33994,0,-33994,-1904260,-1938254,0.7999,0.8006,1.1652,0.9721,0.1931,0.9688,0.9722
"41",2012-12-31,"955150",7783970,"2012-12-31",-8075442,1924557,9999999,417,0,0,903701,903701,-3773240,-2869539,0.6314,0.6314,0.9709,0.7784,0.1925,0.7784,0.7784
"42",2013-12-31,"955150",4010730,"2013-12-31",-7171741,2828258,9999999,470,0,0,1460998,1460998,-2460300,-999302,0.7508,0.7508,0.6839,0.4011,0.2828,0.4011,0.4011
"43",2014-12-31,"955150",1550430,"2014-12-31",-5710743,4289256,9999999,522,0,0,0,0,-542470,-542470,0.6501,0.6501,0.584,0.155,0.4289,0.155,0.155
"44",2015-12-31,"955150",1007960,"2015-03-31",-5710743,4289256,9999999,574,39,NA,NA,NA,NA,NA,NA,NA,0.5297,0.1008,0.4289,0.1008,0.1008
"45",2013-06-30,"9548274",NA,NA,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2014-06-30,"9548274",NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2015-06-30,"9548274",1872110,"2015-03-31",-2000000,0,2000000,32,13,NA,NA,NA,NA,NA,NA,NA,0.9361,0.9361,0,0.1872,0.9361
